  I     	  II     	  LV     	  LV'		
-131.53   	 43.03   	 83.30   	 432.35		
-145.87   	 45.47   	 85.03   	 432.35		
-149.54   	 44.86   	 86.75   	 422.18		
-128.78   	 43.03   	 88.44   	 401.83		
-82.70   	 41.20   	 90.05   	 371.31		
-31.43   	 41.50   	 91.54   	 335.71		
 -1.53   	 45.78   	 92.88   	 300.10		
-10.38   	 54.32   	 94.08   	 264.50		
-52.80   	 66.22   	 95.14   	 228.89		
-103.76   	 77.21   	 96.05   	 198.37		
-131.84   	 85.14   	 96.85   	 178.03		
-122.38   	 89.42   	 97.56   	 162.77		
-80.87   	 92.47   	 98.21   	 157.68		
-25.02   	 94.30   	 98.84   	 147.51		
 25.94   	 94.60   	 99.43   	 152.59		
 55.85   	 93.38   	100.04   	 157.68		
 60.42   	 94.91   	100.67   	 157.68		
 44.56   	105.29   	101.30   	 167.85		
 20.14   	127.26   	101.97   	 167.85		
  3.97   	155.33   	102.64   	 178.03		
  5.49   	180.66   	103.36   	 172.94		
 20.75   	195.31   	104.05   	 178.03		
 38.45   	199.89   	104.76   	 178.03		
 51.88   	200.20   	105.47   	 172.94		
 64.70   	202.94   	106.16   	 178.03		
 80.57   	211.49   	106.88   	 167.85		
100.10   	222.78   	107.55   	 172.94		
120.54   	231.32   	108.24   	 172.94		
136.41   	233.76   	108.93   	 167.85		
142.52   	230.10   	109.60   	 167.85		
133.06   	222.17   	110.27   	 162.77		
105.29   	212.40   	110.93   	 152.59		
 66.53   	201.42   	111.54   	 152.59		
 34.18   	189.21   	112.15   	 137.33		
 20.75   	174.56   	112.70   	 127.16		
 22.28   	158.69   	113.20   	 111.90		
 21.67   	143.43   	113.65   	  96.64		
  7.02   	129.39   	114.04   	  81.38		
-14.95   	115.97   	114.36   	  71.21		
-32.65   	101.01   	114.65   	  50.86		
-45.47   	 84.23   	114.85   	  35.61		
-66.83   	 67.14   	114.99   	  20.35		
-104.98   	 52.49   	115.08   	  15.26		
-148.93   	 40.28   	115.14   	   5.09		
-176.70   	 28.69   	115.16(S)	   0.00		
-172.12   	 15.26   	115.16   	  -5.09		
-142.82   	  0.92   	115.14   	  -5.09		
-115.97   	-10.68   	115.12   	 -10.17		
-112.30   	-14.65   	115.08   	 -10.17		
-129.70   	-10.99   	115.04   	 -25.43		
-155.03   	 -5.80   	114.93   	 -35.61		
-174.56   	 -5.19   	114.79   	 -50.86		
-182.50   	-10.68   	114.59   	 -76.30		
-181.58   	-19.53   	114.28   	-101.73		
-176.70   	-26.86   	113.88   	-137.33		
-168.15   	-29.91   	113.33   	-167.85		
-155.64   	-29.30   	112.65   	-208.54		
-141.91   	-26.86   	111.82   	-239.06		
-130.31   	-24.72   	110.86   	-279.75		
-126.65   	-23.80   	109.75   	-305.19		
-132.75   	-25.33   	108.52   	-325.53		
-140.38   	-29.91   	107.22   	-330.62		
-135.50   	-35.40   	105.90   	-345.88		
-117.19   	-38.45   	104.52   	-371.31		
-101.01   	-38.15   	103.03   	-412.00		
-109.56   	-34.48   	101.38   	-493.39		
-150.15   	-30.52   	 99.41   	-590.03		
-202.94   	-28.08   	 97.05   	-707.02		
-232.24   	-28.99   	 94.22   	-839.26		
-219.12   	-32.35   	 90.86   	-971.51		
-176.39   	-36.93   	 86.98   	-1078.33		
-133.36   	-39.98   	 82.66   	-1159.71		
-106.81   	-41.20   	 78.03   	-1210.58		
-96.44   	-41.20   	 73.18   	-1220.75		
-99.79   	-39.37   	 68.30   	-1200.40		
-118.41   	-35.40   	 63.50   	-1139.36		
-148.32   	-28.99   	 58.94   	-1063.07		
-177.61   	-21.36   	 54.69   	-976.60		
-185.85   	-16.17   	 50.78   	-890.13		
-163.27   	-17.40   	 47.22   	-803.66		
-124.51   	-24.41   	 44.01   	-737.54		
-101.01   	-32.35   	 41.06   	-681.58		
-110.17   	-35.10   	 38.33   	-640.89		
-139.16   	-31.43   	 35.77   	-620.55		
-162.35   	-25.33   	 33.29   	-595.11		
-165.41   	-21.97   	 30.91   	-574.77		
-155.03   	-21.97   	 28.61   	-554.42		
-147.09   	-21.97   	 26.39   	-523.90		
-149.54   	-18.62   	 24.29   	-488.30		
-157.47   	-13.12   	 22.34   	-442.52		
-159.61   	-11.29   	 20.57   	-391.66		
-153.20   	-17.70   	 19.00   	-345.88		
-147.40   	-29.30   	 17.62   	-289.93		
-148.93   	-38.45   	 16.46   	-254.32		
-152.59   	-37.54   	 15.44   	-208.54		
-149.84   	-26.86   	 14.61   	-183.11		
-139.16   	-15.26   	 13.88   	-167.85		
-129.70   	-12.21   	 13.20   	-147.51		
-130.62   	-19.53   	 12.61   	-137.33		
-142.52   	-30.52   	 12.07   	-132.25		
-157.78   	-35.40   	 11.54   	-122.07		
-161.44   	-29.91   	 11.05   	-116.99		
-147.71   	-18.92   	 10.58   	-106.82		
-126.65   	-11.60   	 10.15   	 -96.64		
-116.58   	-13.12   	  9.77   	 -76.30		
-130.62   	-20.14   	  9.46   	 -61.04		
-163.57   	-26.86   	  9.22   	 -45.78		
-192.87   	-28.99   	  9.03   	 -35.61		
-193.48   	-27.77   	  8.89   	 -15.26		
-158.39   	-27.16   	  8.83   	  -5.09		
-109.56   	-28.38   	  8.81(D)	   0.00		
-82.70   	-29.60   	  8.81   	   5.09		
-96.74   	-27.77   	  8.83   	   5.09		
-139.47   	-21.67   	  8.85   	   5.09		
-171.81   	-14.95   	  8.87   	   5.09		
-160.22   	-13.73   	  8.89   	   5.09		
-114.44   	-20.75   	  8.91   	   0.00		
-76.29   	-31.74   	  8.91   	   0.00		
-81.79   	-38.15   	  8.91   	   0.00		
-133.97   	-33.87   	  8.91   	   5.09		
-196.84   	-21.36   	  8.93   	   5.09		
-222.17   	-10.07   	  8.95   	   5.09		
-194.40   	 -7.93   	  8.97   	  15.26		
-140.69   	-14.34   	  9.03   	  10.17		
-97.35   	-19.23   	  9.07   	  15.26		
-82.40   	-13.73   	  9.14   	  20.35		
-89.42   	  3.66   	  9.22   	  15.26		
-105.59   	 24.72   	  9.28   	  15.26		
-123.90   	 40.89   	  9.34   	  20.35		
-144.96   	 50.35   	  9.42   	  10.17		
-165.41   	 55.54   	  9.46   	  15.26		
-167.24   	 61.34   	  9.52   	   5.09		
-134.58   	 67.44   	  9.54   	  10.17		
-79.04   	 73.55   	  9.58   	   5.09		
-33.57   	 79.04   	  9.60   	   5.09		
-28.99   	 85.75   	  9.62   	   0.00		
-66.83   	 93.38   	  9.62   	   0.00		
-115.05   	 99.18   	  9.62   	   0.00		
-135.50   	100.10   	  9.62   	   0.00		
-113.53   	 93.38   	  9.62   	   5.09		
-69.58   	 81.18   	  9.64   	  -5.09		
-39.98   	 66.83   	  9.62   	   0.00		
-44.86   	 50.96   	  9.62   	   0.00		
-76.90   	 35.10   	  9.62   	   0.00		
-112.00   	 20.45   	  9.62   	   0.00		
-127.87   	  8.54   	  9.62   	   0.00		
-119.63   	  0.00   	  9.62   	  -5.09		
-104.06   	 -8.24   	  9.60   	   0.00		
-101.01   	-18.31   	  9.60   	  -5.09		
