  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-44.56   	 -4.27   	 66.10   	 -76.30		 69.11   	 -55.95		
-44.56   	 -3.97   	 65.80   	 -76.30		 68.89   	 -50.86		
-44.25   	 -5.49   	 65.49   	 -66.12		 68.69   	 -50.86		
-43.33   	 -8.24   	 65.23   	 -61.04		 68.48   	 -50.86		
-43.03   	-10.38   	 64.98   	 -50.86		 68.28   	 -50.86		
-43.95   	-11.60   	 64.78   	 -40.69		 68.08   	 -50.86		
-45.17   	-11.29   	 64.62   	 -35.61		 67.87   	 -45.78		
-45.78   	 -9.77   	 64.48   	 -40.69		 67.69   	 -50.86		
-44.86   	 -8.54   	 64.31   	 -40.69		 67.49   	 -45.78		
-42.72   	 -8.54   	 64.15   	 -45.78		 67.30   	 -50.86		
-40.28   	 -9.46   	 63.97   	 -50.86		 67.10   	 -45.78		
-39.06   	-10.38   	 63.76   	 -50.86		 66.92   	 -50.86		
-39.98   	-10.99   	 63.56   	 -45.78		 66.71   	 -45.78		
-42.11   	-10.99   	 63.38   	 -40.69		 66.53   	 -45.78		
-44.86   	-10.68   	 63.21   	 -35.61		 66.35   	 -45.78		
-46.39   	 -9.77   	 63.07   	 -30.52		 66.16   	 -45.78		
-46.69   	 -7.93   	 62.95   	 -20.35		 65.98   	 -45.78		
-45.78   	 -5.49   	 62.87   	 -25.43		 65.80   	 -45.78		
-44.56   	 -3.05   	 62.77   	 -25.43		 65.62   	 -40.69		
-43.64   	 -2.14   	 62.67   	 -25.43		 65.45   	 -45.78		
-42.72   	 -3.36   	 62.56   	 -35.61		 65.27   	 -45.78		
-42.11   	 -6.41   	 62.42   	 -40.69		 65.09   	 -40.69		
-41.20   	 -9.46   	 62.26   	 -45.78		 64.92   	 -45.78		
-40.59   	-11.60   	 62.08   	 -50.86		 64.74   	 -40.69		
-40.59   	-12.21   	 61.87   	 -45.78		 64.58   	 -40.69		
-40.28   	-12.21   	 61.69   	 -50.86		 64.41   	 -45.78		
-39.37   	-11.60   	 61.49   	 -45.78		 64.23   	 -40.69		
-37.23   	-10.68   	 61.30   	 -45.78		 64.07   	 -40.69		
-34.79   	 -9.16   	 61.12   	 -40.69		 63.91   	 -35.61		
-33.26   	 -7.93   	 60.96   	 -40.69		 63.76   	 -40.69		
-33.26   	 -7.63   	 60.79   	 -35.61		 63.60   	 -40.69		
