  I     	  AOp     	  AOp'		  AO     	  AO'		
 16.78   	 83.32   	 -45.78		 86.86   	 -50.86		
 14.04   	 83.13   	 -40.69		 86.65   	 -50.86		
  2.44   	 82.97   	 -30.52		 86.45   	 -55.95		
-17.40   	 82.85   	 -30.52		 86.23   	 -50.86		
-41.20   	 82.73   	 -20.35		 86.02   	 -45.78		
-61.04   	 82.64   	 -20.35		 85.84   	 -50.86		
-71.11   	 82.56   	 -20.35		 85.64   	 -45.78		
-72.33   	 82.48   	 -20.35		 85.45   	 -45.78		
-69.89   	 82.40   	 -30.52		 85.27   	 -45.78		
-68.36   	 82.28   	 -30.52		 85.09   	 -40.69		
-70.50   	 82.16   	 -35.61		 84.92   	 -40.69		
-74.46   	 82.01   	 -35.61		 84.76   	 -40.69		
-76.90   	 81.87   	 -40.69		 84.60   	 -35.61		
-75.38   	 81.71   	 -40.69		 84.46   	 -40.69		
-69.89   	 81.55   	 -35.61		 84.29   	 -35.61		
-62.56   	 81.40   	 -35.61		 84.15   	 -35.61		
-56.46   	 81.26   	 -30.52		 84.01   	 -35.61		
-54.32   	 81.14   	 -30.52		 83.87   	 -35.61		
-57.68   	 81.02   	 -30.52		 83.72   	 -35.61		
-63.78   	 80.89   	 -30.52		 83.58   	 -40.69		
-69.58   	 80.77   	 -35.61		 83.42   	 -35.61		
-73.24   	 80.63   	 -30.52		 83.28   	 -35.61		
-78.74   	 80.51   	 -35.61		 83.13   	 -35.61		
-89.42   	 80.37   	 -30.52		 82.99   	 -35.61		
-105.29   	 80.24   	 -35.61		 82.85   	 -40.69		
-123.29   	 80.10   	 -35.61		 82.69   	 -35.61		
-136.11   	 79.96   	 -25.43		 82.54   	 -40.69		
-137.94   	 79.86   	 -25.43		 82.38   	 -35.61		
-124.51   	 79.76   	 -20.35		 82.24   	 -40.69		
-85.75   	 79.67   	 -10.17		 82.07   	 -30.52		
 -6.71   	 79.63   	 -10.17		 81.95   	 -35.61		
125.43   	 79.59   	 -10.17		 81.81   	 -30.52		
