  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
267.64   	253.30   	 18.68   	  50.86		 73.65   	 -25.43		
278.32   	252.69   	 18.88   	  45.78		 73.55   	 -20.35		
267.94   	249.33   	 19.06   	  40.69		 73.47   	 -25.43		
258.79   	253.60   	 19.23   	  20.35		 73.37   	 -20.35		
245.97   	260.01   	 19.31   	   5.09		 73.29   	 -25.43		
247.19   	276.79   	 19.33   	   0.00		 73.18   	 -25.43		
273.44   	301.51   	 19.33   	 -15.26		 73.08   	 -25.43		
273.74   	306.40   	 19.27   	 -10.17		 72.98   	 -25.43		
267.94   	301.21   	 19.23   	  -5.09		 72.88   	 -25.43		
264.28   	289.92   	 19.21   	   0.00		 72.78   	 -25.43		
238.95   	277.71   	 19.21   	  10.17		 72.68   	 -30.52		
224.91   	281.98   	 19.25   	  20.35		 72.55   	 -25.43		
214.23   	285.03   	 19.33   	  25.43		 72.45   	 -30.52		
187.38   	265.81   	 19.43   	  30.52		 72.33   	 -25.43		
161.74   	230.41   	 19.55   	  40.69		 72.23   	 -30.52		
138.24   	191.04   	 19.72   	  45.78		 72.11   	 -30.52		
114.14   	163.57   	 19.90   	  50.86		 71.98   	 -30.52		
 91.86   	155.94   	 20.10   	  66.12		 71.86   	 -35.61		
 80.87   	160.83   	 20.37   	  71.21		 71.72   	 -35.61		
 76.60   	157.17   	 20.65   	  91.56		 71.58   	 -35.61		
 75.38   	150.15   	 21.02   	 101.73		 71.43   	 -35.61		
 79.35   	145.26   	 21.42   	 116.99		 71.29   	 -40.69		
 76.29   	144.35   	 21.89   	 122.07		 71.13   	 -40.69		
 77.51   	152.89   	 22.38   	 137.33		 70.97   	 -40.69		
 74.46   	151.98   	 22.93   	 137.33		 70.80   	 -40.69		
 73.24   	151.98   	 23.48   	 147.51		 70.64   	 -40.69		
 78.13   	155.33   	 24.07   	 147.51		 70.48   	 -40.69		
