  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
-36.62   	-150.76   	 68.48   	 305.19		 44.62   	  -5.09		
-35.10   	-145.57   	 69.70   	 279.75		 44.60   	 -10.17		
-32.04   	-143.74   	 70.82   	 249.24		 44.56   	  50.86		
-31.13   	-147.71   	 71.82   	 213.63		 44.76   	 137.33		
-31.74   	-156.25   	 72.68   	 193.29		 45.31   	 167.85		
-31.74   	-164.49   	 73.45   	 172.94		 45.98   	 183.11		
-28.99   	-167.24   	 74.14   	 162.77		 46.71   	 254.32		
-24.41   	-162.05   	 74.79   	 147.51		 47.73   	 386.57		
-20.75   	-150.76   	 75.38   	 142.42		 49.28   	 539.16		
-21.06   	-139.77   	 75.95   	 137.33		 51.43   	 615.46		
-24.41   	-133.97   	 76.50   	 132.25		 53.90   	 584.94		
-28.69   	-135.19   	 77.03   	 132.25		 56.24   	 523.90		
-31.43   	-140.99   	 77.56   	 137.33		 58.33   	 462.87		
-32.35   	-147.40   	 78.11   	 157.68		 60.18   	 437.43		
-33.26   	-151.67   	 78.74   	 178.03		 61.93   	 452.69		
-38.45   	-153.50   	 79.45   	 198.37		 63.74   	 473.04		
-47.61   	-153.50   	 80.24   	 218.72		 65.64   	 447.61		
-54.93   	-151.37   	 81.12   	 233.98		 67.43   	 422.18		
-54.02   	-145.87   	 82.05   	 233.98		 69.11   	 417.09		
-43.64   	-136.72   	 82.99   	 223.80		 70.78   	 447.61		
-28.69   	-125.12   	 83.89   	 213.63		 72.57   	 467.95		
-18.62   	-114.75   	 84.74   	 203.46		 74.45   	 457.78		
-18.62   	-109.86   	 85.55   	 198.37		 76.28   	 432.35		
-25.94   	-110.47   	 86.35   	 213.63		 78.01   	 417.09		
-33.57   	-113.53   	 87.20   	 233.98		 79.67   	 437.43		
-37.54   	-115.05   	 88.14   	 264.50		 81.42   	 457.78		
-39.37   	-112.61   	 89.20   	 295.01		 83.26   	 457.78		
-41.50   	-107.12   	 90.38   	 320.45		 85.09   	 432.35		
-45.78   	-101.01   	 91.66   	 345.88		 86.82   	 381.48		
-49.44   	-95.21   	 93.04   	 350.97		 88.34   	 366.22		
-50.35   	-90.33   	 94.45   	 340.79		 89.81   	 371.31		
-48.83   	-85.14   	 95.81   	 315.36		 91.29   	 350.97		
-47.30   	-79.65   	 97.07   	 279.75		 92.70   	 300.10		
-47.30   	-73.24   	 98.19   	 233.98		 93.90   	 284.84		
-48.83   	-67.14   	 99.12   	 188.20		 95.04   	 249.24		
-50.66   	-61.04   	 99.88   	 147.51		 96.03   	 223.80		
-53.10   	-56.15   	100.47   	 122.07		 96.93   	 223.80		
-57.37   	-52.80   	100.96   	 106.82		 97.82   	 188.20		
-64.09   	-51.88   	101.38   	  96.64		 98.58   	 167.85		
-71.41   	-52.49   	101.77   	 106.82		 99.25   	 157.68		
-76.29   	-52.80   	102.20   	 111.90		 99.88   	 132.25		
-76.60   	-50.05   	102.64   	 122.07		100.41   	 111.90		
-71.41   	-43.33   	103.13   	 122.07		100.85   	 106.82		
-64.70   	-34.18   	103.62   	 106.82		101.28   	  55.95		
-60.12   	-26.25   	104.05   	  86.47		101.51   	  25.43		
-58.29   	-20.14   	104.39   	  50.86		101.61   	  40.69		
-57.07   	-16.48   	104.60   	  15.26		101.77   	  35.61		
-53.10   	-12.82   	104.66(S)	 -25.43		101.91(S)	   0.00		
-45.47   	 -8.54   	104.56   	 -61.04		101.91   	 -45.78		
-35.10   	 -5.49   	104.31   	 -91.56		101.73   	 -45.78		
-26.25   	 -4.58   	103.95   	-111.90		101.55   	 -40.69		
-19.84   	 -6.41   	103.50   	-116.99		101.38   	 -55.95		
-14.65   	 -8.24   	103.03   	-116.99		101.16   	 -86.47		
 -8.54   	 -8.24   	102.56   	-116.99		100.81   	-116.99		
 -1.53   	 -5.49   	102.10   	-111.90		100.35   	-122.07		
  5.49   	 -1.53   	101.65   	-116.99		 99.86   	-106.82		
 11.29   	  1.22   	101.18   	-122.07		 99.43   	-122.07		
 15.56   	  1.83   	100.69   	-132.25		 98.94   	-172.94		
 18.31   	  1.22   	100.16   	-147.51		 98.25   	-193.29		
 18.62   	  0.61   	 99.57   	-167.85		 97.48   	-203.46		
 15.56   	 -0.31   	 98.90   	-193.29		 96.66   	-193.29		
  9.16   	 -1.83   	 98.13   	-208.54		 95.89   	-203.46		
  2.44   	 -4.58   	 97.29   	-218.72		 95.08   	-203.46		
 -0.61   	 -6.41   	 96.42   	-228.89		 94.26   	-223.80		
  2.14   	 -4.88   	 95.50   	-228.89		 93.37   	-233.98		
 10.38   	  2.14   	 94.59   	-213.63		 92.43   	-249.24		
 19.84   	 12.21   	 93.73   	-193.29		 91.43   	-264.50		
 26.86   	 20.45   	 92.96   	-172.94		 90.38   	-269.58		
 28.99   	 22.58   	 92.27   	-152.59		 89.30   	-274.67		
 25.63   	 16.78   	 91.66   	-127.16		 88.20   	-264.50		
 18.92   	  5.49   	 91.15   	-106.82		 87.14   	-279.75		
 11.60   	 -5.19   	 90.72   	 -96.64		 86.02   	-289.93		
  7.63   	 -9.77   	 90.34   	 -91.56		 84.86   	-274.67		
  7.93   	 -7.32   	 89.97   	 -91.56		 83.76   	-289.93		
