  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-25.02   	-117.19   	 18.21   	 -25.43		 98.82   	-111.90		
-24.41   	-114.44   	 18.11   	 -15.26		 98.37   	-111.90		
-24.11   	-112.30   	 18.05   	 -20.35		 97.92   	-116.99		
-24.41   	-111.08   	 17.97   	 -15.26		 97.46   	-111.90		
-25.02   	-110.78   	 17.90   	 -10.17		 97.01   	-116.99		
-25.02   	-110.47   	 17.86   	 -10.17		 96.54   	-111.90		
-24.41   	-111.39   	 17.82   	  -5.09		 96.09   	-111.90		
-23.19   	-113.83   	 17.80   	  -5.09		 95.65   	-106.82		
-22.58   	-116.88   	 17.78   	  -5.09		 95.22   	-111.90		
-22.28   	-119.02   	 17.76   	   0.00		 94.77   	-106.82		
-21.97   	-118.71   	 17.76   	   0.00		 94.34   	-106.82		
-21.67   	-116.27   	 17.76   	   0.00		 93.92   	-106.82		
-23.80   	-113.83   	 17.76   	   0.00		 93.49   	-101.73		
-31.43   	-112.92   	 17.76   	   5.09		 93.08   	-106.82		
-46.08   	-117.19   	 17.78   	   0.00		 92.65   	 -96.64		
-64.09   	-126.95   	 17.78   	   0.00		 92.27   	-101.73		
-76.60   	-133.36   	 17.78(E)	   5.09		 91.86   	 -96.64		
-72.33   	-111.08   	 17.80   	   0.00		 91.47   	 -91.56		
-38.76   	-20.45   	 17.80   	   5.09		 91.11   	 -96.64		
 31.43   	177.00   	 17.82   	   5.09		 90.72   	 -86.47		
137.63   	488.28   	 17.84   	  10.17		 90.38   	 -91.56		
267.94   	864.87   	 17.88   	  15.26		 90.01   	 -86.47		
399.48   	1205.75   	 17.94   	  45.78		 89.66   	-167.85		
548.40   	1414.18(R)	 18.13   	  30.52		 88.99   	 -76.30		
516.66   	1265.87   	 18.25   	  45.78		 88.69   	 -81.38		
409.24   	1034.55   	 18.43   	  55.95		 88.36   	 -71.21		
252.99   	792.54   	 18.66   	  76.30		 88.08   	 -76.30		
 90.33   	566.10   	 18.96   	  91.56		 87.77   	 -71.21		
-36.32   	347.60   	 19.33   	 127.16		 87.49   	 -66.12		
-104.37   	140.69   	 19.84   	 162.77		 87.22   	 -71.21		
-121.15   	-28.38   	 20.49   	 213.63		 86.94   	 -66.12		
-110.47   	-133.97   	 21.34   	 264.50		 86.67   	 -61.04		
