  I     	  II     	  AO     	  AO'		  AO     	  AO'		
 30.82   	140.38   	119.15   	-467.95		133.53   	-167.85		
 35.10   	140.69   	117.27   	-427.26		132.86   	-188.20		
 31.43   	140.08   	115.56   	-366.22		132.11   	-218.72		
 34.79   	145.57   	114.10   	-289.93		131.23   	-239.06		
 35.40   	146.18   	112.94   	-193.29		130.27   	-254.32		
 31.43   	142.52   	112.17   	-106.82		129.26   	-269.58		
 35.10   	146.18   	111.74   	 -25.43		128.18   	-279.75		
 35.10   	148.62   	111.64   	  20.35		127.06   	-284.84		
 36.32   	145.87   	111.72   	  55.95		125.92   	-284.84		
 43.03   	150.15   	111.94   	  50.86		124.78   	-279.75		
 40.89   	152.59   	112.15   	  25.43		123.66   	-274.67		
 39.06   	148.01   	112.25   	 -15.26		122.56   	-264.50		
 40.89   	147.09   	112.19   	 -66.12		121.51   	-254.32		
 32.65   	145.57   	111.92   	-111.90		120.49   	-239.06		
 31.74   	145.26   	111.47   	-147.51		119.53   	-228.89		
 34.48   	145.26   	110.88   	-172.94		118.62   	-213.63		
 34.18   	143.43   	110.19   	-183.11		117.76   	-203.46		
 36.32   	142.21   	109.46   	-172.94		116.95   	-183.11		
 35.10   	140.08   	108.77   	-157.68		116.22   	-178.03		
 34.48   	137.33   	108.14   	-122.07		115.50   	-167.85		
 35.71   	137.33   	107.65   	 -96.64		114.83   	-152.59		
 35.10   	136.11   	107.26   	 -71.21		114.22   	-147.51		
 38.15   	131.53   	106.98   	 -45.78		113.63   	-137.33		
 39.06   	126.65   	106.80   	 -35.61		113.08   	-132.25		
 36.32   	125.43   	106.65   	 -35.61		112.55   	-127.16		
 38.15   	124.21   	106.51   	 -40.69		112.04   	-122.07		
 37.23   	121.46   	106.35   	 -50.86		111.56   	-122.07		
 32.35   	120.24   	106.14   	 -71.21		111.07   	-116.99		
 31.43   	115.05   	105.86   	 -91.56		110.60   	-111.90		
 30.82   	110.17   	105.49   	-111.90		110.15   	-111.90		
 30.21   	109.86   	105.05   	-132.25		109.70   	-111.90		
 33.57   	113.83   	104.52   	-142.42		109.26   	-111.90		
 36.01   	114.14   	103.95   	-147.51		108.81   	-111.90		
 38.45   	113.53   	103.36   	-152.59		108.36   	-111.90		
 37.84   	112.92   	102.75   	-147.51		107.91   	-111.90		
 35.71   	106.81   	102.16   	-142.42		107.47   	-111.90		
 35.71   	107.12   	101.59   	-132.25		107.02   	-111.90		
 28.99   	107.42   	101.06   	-122.07		106.57   	-111.90		
 27.47   	111.39   	100.57   	-111.90		106.12   	-116.99		
 26.55   	113.83   	100.12   	-106.82		105.66   	-111.90		
 32.96   	116.58   	 99.69   	-101.73		105.21   	-116.99		
 39.37   	125.43   	 99.29   	-101.73		104.74   	-111.90		
 41.20   	133.36   	 98.88   	-101.73		104.29   	-116.99		
 49.13   	147.71   	 98.47   	-106.82		103.82   	-111.90		
 54.02   	173.03   	 98.05   	-111.90		103.38   	-116.99		
 61.95   	200.50   	 97.60   	-122.07		102.91   	-111.90		
 77.51   	230.10   	 97.11   	-127.16		102.46   	-116.99		
 84.23   	257.87   	 96.60   	-127.16		101.99   	-111.90		
 86.67   	269.47   	 96.09   	-132.25		101.55   	-116.99		
 87.89   	276.49   	 95.56   	-132.25		101.08   	-116.99		
 92.16   	279.24   	 95.04   	-122.07		100.61   	-111.90		
 96.13   	278.63   	 94.55   	-111.90		100.16   	-116.99		
 97.35   	282.29   	 94.10   	-101.73		 99.69   	-111.90		
 97.35   	272.22   	 93.69   	 -96.64		 99.25   	-111.90		
 86.36   	245.36   	 93.31   	 -86.47		 98.80   	-116.99		
 66.83   	204.47   	 92.96   	 -81.38		 98.33   	-111.90		
 59.81   	165.41   	 92.63   	 -81.38		 97.88   	-106.82		
 44.56   	134.58   	 92.31   	 -81.38		 97.46   	-111.90		
 37.84   	118.71   	 91.98   	 -91.56		 97.01   	-111.90		
 35.71   	120.85   	 91.62   	 -91.56		 96.56   	-106.82		
 29.30   	118.41   	 91.25   	-101.73		 96.13   	-106.82		
 28.99   	104.37   	 90.84   	-106.82		 95.71   	-106.82		
 24.72   	 85.45   	 90.42   	-111.90		 95.28   	-106.82		
 22.58   	 61.95   	 89.97   	-106.82		 94.85   	-106.82		
 24.41   	 43.33   	 89.54   	-106.82		 94.42   	-101.73		
 21.67   	 28.69   	 89.11   	 -96.64		 94.02   	-106.82		
 24.41   	 26.55   	 88.73   	 -96.64		 93.59   	-101.73		
 27.16   	 30.82   	 88.34   	 -81.38		 93.18   	-101.73		
 30.52   	 28.99   	 88.02   	 -76.30		 92.78   	 -96.64		
 34.48   	 37.54   	 87.71   	 -71.21		 92.39   	 -96.64		
 36.32   	 44.86   	 87.43   	 -61.04		 92.00   	 -96.64		
