  I     	  LVp     	  LVp'		  AO     	  AO'		
-53.41   	 12.76(D)	  10.17		 93.37   	   5.09		
-51.57   	 12.80   	  40.69		 93.39   	   0.00		
-53.41   	 12.96   	  76.30		 93.39   	  -5.09		
-57.07   	 13.27   	  96.64		 93.37   	 -10.17		
-59.81   	 13.65   	 106.82		 93.33   	 -20.35		
-60.12   	 14.08   	 106.82		 93.24   	 -20.35		
-59.51   	 14.51   	 101.73		 93.16   	 -25.43		
-59.20   	 14.91   	  86.47		 93.06   	 -35.61		
-59.51   	 15.26   	  71.21		 92.92   	 -35.61		
-59.20   	 15.54   	  66.12		 92.78   	 -35.61		
-58.29   	 15.81   	  61.04		 92.63   	 -40.69		
-56.46   	 16.05   	  55.95		 92.47   	 -45.78		
-55.85   	 16.28   	  66.12		 92.29   	 -45.78		
-56.76   	 16.54   	  66.12		 92.11   	 -45.78		
-58.29   	 16.81   	  71.21		 91.92   	 -50.86		
-59.81   	 17.09   	  71.21		 91.72   	 -45.78		
-60.12   	 17.38   	  71.21		 91.54   	 -50.86		
-58.90   	 17.66   	  66.12		 91.33   	 -50.86		
-57.07   	 17.92   	  61.04		 91.13   	 -45.78		
-55.24   	 18.17   	  50.86		 90.95   	 -50.86		
-53.41   	 18.37   	  40.69		 90.74   	 -45.78		
-51.57   	 18.54   	  35.61		 90.56   	 -50.86		
-50.35   	 18.68   	  30.52		 90.36   	 -45.78		
-49.74   	 18.80   	  25.43		 90.17   	 -50.86		
-49.74   	 18.90   	  20.35		 89.97   	 -45.78		
-50.05   	 18.98   	  25.43		 89.79   	 -45.78		
-48.52   	 19.08   	  15.26		 89.60   	 -50.86		
-44.56   	 19.15   	  25.43		 89.40   	 -45.78		
-38.76   	 19.25   	  20.35		 89.22   	 -40.69		
-33.26   	 19.33   	  25.43		 89.05   	 -45.78		
-29.91   	 19.43   	  25.43		 88.87   	 -40.69		
-27.77   	 19.53   	  25.43		 88.71   	 -40.69		
-24.72   	 19.63   	  25.43		 88.54   	 -40.69		
-17.40   	 19.74   	  30.52		 88.38   	 -40.69		
 -4.58   	 19.86   	  30.52		 88.22   	 -35.61		
 11.60   	 19.98   	  25.43		 88.08   	 -35.61		
 28.08   	 20.08   	  30.52		 87.93   	 -40.69		
 40.28   	 20.20   	  20.35		 87.77   	 -35.61		
 45.78   	 20.28   	  25.43		 87.63   	 -40.69		
 44.86   	 20.39   	  20.35		 87.47   	 -40.69		
 38.76   	 20.47   	  15.26		 87.30   	 -40.69		
 30.52   	 20.53   	  15.26		 87.14   	 -40.69		
 23.50   	 20.59   	  10.17		 86.98   	 -45.78		
 18.92   	 20.63   	  15.26		 86.80   	 -40.69		
 15.56   	 20.69   	  10.17		 86.63   	 -45.78		
 10.99   	 20.73   	  20.35		 86.45   	 -40.69		
  3.05   	 20.81   	  20.35		 86.29   	 -45.78		
 -9.77   	 20.90   	  25.43		 86.10   	 -45.78		
-26.55   	 21.00   	  30.52		 85.92   	 -40.69		
-44.56   	 21.12   	  35.61		 85.76   	 -45.78		
-61.04   	 21.26   	  35.61		 85.57   	 -40.69		
