  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-45.17   	-137.63   	  3.99   	  30.52		 57.92   	 -20.35		
-42.42   	-133.36   	  4.11   	  45.78		 57.84   	 -10.17		
-46.69   	-127.87   	  4.29   	  55.95		 57.80   	   5.09		
-49.13   	-126.95   	  4.52   	  66.12		 57.82   	  40.69		
-47.91   	-117.49   	  4.78   	  81.38		 57.99   	  55.95		
-48.83   	-123.90   	  5.11   	  76.30		 58.21   	  45.78		
-46.69   	-124.51   	  5.41   	  76.30		 58.39   	  10.17		
-46.69   	-122.07   	  5.72   	  71.21		 58.43   	 -20.35		
-50.05   	-124.82   	  6.00   	  50.86		 58.35   	 -61.04		
-50.05   	-113.53   	  6.21   	  40.69		 58.11   	 -91.56		
-50.05   	-109.86   	  6.37   	  15.26		 57.74   	-116.99		
-48.52   	-110.17   	  6.43   	   0.00		 57.27   	-152.59		
-51.88   	-110.17   	  6.43   	 -15.26		 56.66   	-178.03		
-49.13   	-109.56   	  6.37   	 -25.43		 55.95   	-183.11		
-47.61   	-109.25   	  6.27   	 -35.61		 55.22   	-178.03		
-50.05   	-110.17   	  6.12   	 -35.61		 54.51   	-157.68		
-47.30   	-109.25   	  5.98   	 -35.61		 53.88   	-127.16		
-51.88   	-112.61   	  5.84   	 -25.43		 53.37   	 -96.64		
-50.96   	-113.53   	  5.74   	 -15.26		 52.98   	 -66.12		
-45.78   	-109.86   	  5.68   	  -5.09		 52.72   	 -40.69		
-46.08   	-109.25   	  5.66   	   0.00		 52.55   	 -35.61		
-39.67   	-103.76   	  5.66   	  15.26		 52.41   	 -10.17		
-41.20   	-102.54   	  5.72   	  15.26		 52.37   	   0.00		
-44.56   	-102.54   	  5.78   	  25.43		 52.37   	   0.00		
-40.28   	-96.44   	  5.88   	  25.43		 52.37   	   5.09		
-42.72   	-90.94   	  5.98   	  25.43		 52.39   	   0.00		
-39.98   	-85.45   	  6.08   	  30.52		 52.39   	  -5.09		
-39.37   	-87.59   	  6.21   	  30.52		 52.37   	   0.00		
-41.81   	-92.77   	  6.33   	  35.61		 52.37   	   5.09		
-38.45   	-97.96   	  6.47   	  35.61		 52.39   	   0.00		
-39.06   	-100.10   	  6.61   	  45.78		 52.39   	   5.09		
-32.04   	-89.72   	  6.80   	  50.86		 52.41   	   5.09		
-26.86   	-78.74   	  7.00   	  55.95		 52.43   	   5.09		
-28.08   	-70.19   	  7.22   	  66.12		 52.45   	 -25.43		
-26.55   	-69.89   	  7.49   	  66.12		 52.35   	 -40.69		
-30.21   	-75.38   	  7.75   	  66.12		 52.19   	 -20.35		
-32.65   	-75.68   	  8.02   	  66.12		 52.11   	 -30.52		
-33.26   	-77.82   	  8.28   	  55.95		 51.98   	 -81.38		
-39.67   	-73.55   	  8.50   	  45.78		 51.66   	-116.99		
-55.24   	-62.87   	  8.69   	  35.61		 51.19   	-127.16		
-72.02   	-58.90   	  8.83   	  20.35		 50.68   	-142.42		
-81.79   	-50.05   	  8.91   	  10.17		 50.11   	-147.51		
-68.66   	-33.87   	  8.95   	   5.09		 49.52   	-122.07		
-24.41   	-20.45   	  8.97   	   0.00		 49.03   	 -96.64		
 45.47   	  8.85   	  8.97   	   5.09		 48.65   	 -81.38		
142.82   	 57.07   	  8.99   	   5.09		 48.32   	 -50.86		
278.63   	151.98   	  9.01   	  20.35		 48.12   	   0.00		
444.03   	268.55   	  9.09   	  30.52		 48.12   	  35.61		
642.40   	445.86   	  9.22   	  40.69		 48.26   	  40.69		
849.91   	664.06   	  9.38   	 111.90		 48.42   	  25.43		
892.64   	773.01(R)	  9.83(E)	  61.04		 48.52   	  10.17		
761.41   	628.97   	 10.07   	  71.21		 48.57   	   0.00		
469.06   	404.36   	 10.36   	  66.12		 48.57   	 -10.17		
204.16   	235.60   	 10.62   	  76.30		 48.52   	 -25.43		
