  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-88.81   	3610.23   	 16.85   	  35.61		 21.08   	 -40.69		
-100.40   	2916.57   	 16.99   	  50.86		 20.92   	 -40.69		
-119.93   	2601.32   	 17.19   	  66.12		 20.75   	 -50.86		
-144.96   	2792.97   	 17.46   	  76.30		 20.55   	 -55.95		
-170.90   	3242.19   	 17.76   	  86.47		 20.33   	 -50.86		
-190.73   	3588.56   	 18.11   	  91.56		 20.12   	 -50.86		
-196.23   	3547.67   	 18.47   	  86.47		 19.92   	 -25.43		
-175.17   	3169.86   	 18.82   	  76.30		 19.82   	  10.17		
-110.47   	2783.81   	 19.13   	  66.12		 19.86   	  40.69		
 11.90   	2693.18   	 19.39   	  55.95		 20.02   	  76.30		
195.01   	2992.86   	 19.61   	  45.78		 20.33   	 106.82		
420.23   	3508.30   	 19.80   	  30.52		 20.75   	 127.16		
639.34   	3898.62   	 19.92   	  30.52		 21.26   	 132.25		
784.00   	3909.61   	 20.04   	  30.52		 21.79   	 122.07		
800.17   	3596.19   	 20.16   	  35.61		 22.28   	 101.73		
685.73   	3224.49   	 20.31   	  55.95		 22.69   	  76.30		
499.27   	3019.10   	 20.53   	  71.21		 22.99   	  45.78		
333.25   	3033.45   	 20.81   	  96.64		 23.17   	  15.26		
253.30   	3137.21   	 21.20   	 122.07		 23.23   	 -15.26		
257.87   	3171.39   	 21.69   	 162.77		 23.17   	 -40.69		
289.92   	3152.77   	 22.34   	 203.46		 23.01   	 -66.12		
288.70   	3222.96   	 23.15   	 264.50		 22.75   	 -81.38		
230.10   	3430.79   	 24.21   	 330.62		 22.42   	 -86.47		
132.75   	3635.86   	 25.53   	 417.09		 22.08   	 -86.47		
 31.74   	3584.90   	 27.20   	 518.82		 21.73   	 -76.30		
-44.25   	3155.21   	 29.28   	 620.55		 21.42   	 -71.21		
-84.23   	2553.71   	 31.76   	 732.45		 21.14   	 -61.04		
-90.94   	2244.57   	 34.69   	 844.35		 20.90   	 -55.95		
-75.68   	2659.30   	 38.07   	 951.17		 20.67   	 -61.04		
-54.63   	3787.23   	 41.87   	1057.98		 20.43   	 -61.04		
-42.42   	5083.62   	 46.10   	1164.80		 20.18   	 -71.21		
-43.33   	5909.42   	 50.76   	1251.27		 19.90   	 -76.30		
-50.96   	5880.43   	 55.77   	1317.39		 19.59   	 -81.38		
-55.24   	5039.37   	 61.04   	1353.00		 19.27   	 -86.47		
-52.49   	3930.36   	 66.45   	1347.91		 18.92   	 -81.38		
-46.39   	3258.97   	 71.84   	1297.04		 18.60   	 -71.21		
-42.42   	3410.34   	 77.03   	1215.66		 18.31   	 -50.86		
-41.20   	4311.52   	 81.89   	1119.02		 18.11   	 -30.52		
-41.20   	5534.97   	 86.37   	1012.20		 17.99   	  -5.09		
-39.98   	6476.14   	 90.42   	 915.56		 17.97   	  10.17		
-36.01   	6698.61   	 94.08   	 834.18		 18.01   	  20.35		
-30.52   	6261.90   	 97.42   	 778.23		 18.09   	  20.35		
-24.41   	5582.58   	100.53   	 737.54		 18.17   	  25.43		
-18.62   	5024.41   	103.48   	 722.28		 18.27   	  15.26		
-13.12   	4758.61   	106.37   	 717.19		 18.33   	  10.17		
 -8.54   	4764.10   	109.24   	 717.19		 18.37   	  -5.09		
 -4.27   	4885.56   	112.11   	 712.10		 18.35   	 -10.17		
  0.61   	5063.17   	114.95   	 696.84		 18.31   	 -25.43		
  6.71   	5263.98   	117.74   	 681.58		 18.21   	 -30.52		
 14.04   	5357.67   	120.47   	 635.81		 18.09   	 -40.69		
 22.28   	5212.10   	123.01   	 590.03		 17.92   	 -50.86		
 30.52   	4785.77   	125.37   	 523.90		 17.72   	 -50.86		
 39.06   	4182.74   	127.47   	 457.78		 17.52   	 -55.95		
 47.91   	3673.71   	129.30   	 381.48		 17.29   	 -66.12		
 57.37   	3493.04   	130.82   	 310.27		 17.03   	 -71.21		
 66.83   	3670.35   	132.06   	 264.50		 16.74   	 -81.38		
 76.29   	4065.86   	133.12   	 239.06		 16.42   	-101.73		
 85.75   	4402.47   	134.08   	 244.15		 16.01   	-127.16		
 95.52   	4400.02   	135.06   	 259.41		 15.50   	-147.51		
105.90   	3954.16   	136.09   	 295.01		 14.91   	-167.85		
116.58   	3197.33   	137.27   	 315.36		 14.24   	-183.11		
127.56   	2436.52   	138.53   	 340.79		 13.51   	-172.94		
138.85   	1946.41   	139.90   	 330.62		 12.82   	-157.68		
150.45   	1781.92   	141.22   	 305.19		 12.19   	-122.07		
162.66   	1791.08   	142.44   	 259.41		 11.70   	 -76.30		
174.26   	1738.89   	143.48   	 188.20		 11.39   	 -25.43		
183.11   	1441.35   	144.23   	 111.90		 11.29   	  15.26		
187.99   	933.53   	144.68   	  40.69		 11.35   	  45.78		
187.68   	387.88   	144.84(S)	 -25.43		 11.54   	  50.86		
183.11   	-43.33   	144.74   	 -86.47		 11.74   	  35.61		
174.26   	-251.16   	144.39   	-142.42		 11.88   	  -5.09		
162.35   	-191.65   	143.82   	-198.37		 11.86   	 -50.86		
148.32   	 81.79   	143.03   	-244.15		 11.66   	 -91.56		
132.75   	449.52   	142.05   	-279.75		 11.29   	-127.16		
116.88   	863.34   	140.94   	-310.27		 10.78   	-142.42		
100.10   	1376.04   	139.69   	-320.45		 10.21   	-137.33		
 83.01   	1986.39   	138.41   	-315.36		  9.66   	-116.99		
 65.00   	2638.55   	137.15   	-305.19		  9.20   	 -96.64		
 46.39   	3210.14   	135.93   	-284.84		  8.81   	 -61.04		
 27.77   	3517.46   	134.79   	-284.84		  8.57   	 -30.52		
 10.38   	3480.53   	133.65   	-289.93		  8.44   	  -5.09		
 -5.49   	3204.35   	132.49   	-310.27		  8.42   	  15.26		
-19.53   	2867.13   	131.25   	-340.79		  8.48   	  30.52		
-32.04   	2578.74   	129.89   	-366.22		  8.61   	  50.86		
-43.33   	2364.50   	128.42   	-396.74		  8.81   	  61.04		
-53.41   	2228.70   	126.84   	-391.66		  9.05   	  61.04		
-62.26   	2168.27   	125.27   	-381.48		  9.30   	  45.78		
-68.97   	2175.90   	123.74   	-361.14		  9.48   	  45.78		
-74.16   	2253.72   	122.30   	-325.53		  9.66   	  50.86		
-77.82   	2391.36   	121.00   	-295.01		  9.87   	  71.21		
-79.96   	2592.47   	119.82   	-279.75		 10.15   	  66.12		
-81.79   	2847.29   	118.70   	-274.67		 10.42   	  55.95		
-83.62   	3045.96   	117.60   	-300.10		 10.64   	  30.52		
-86.06   	3037.72   	116.40   	-325.53		 10.76   	 -10.17		
-88.81   	2742.31   	115.10   	-371.31		 10.72   	 -50.86		
-90.64   	2266.54   	113.61   	-417.09		 10.52   	 -96.64		
-90.94   	1885.99   	111.94   	-467.95		 10.13   	-137.33		
-89.72   	1822.20   	110.07   	-518.82		  9.58   	-157.68		
-87.59   	2063.60   	108.00   	-569.68		  8.95   	-152.59		
-85.45   	2409.06   	105.72   	-615.46		  8.34   	-122.07		
-83.31   	2637.94   	103.25   	-676.50		  7.85   	 -50.86		
-81.48   	2662.05   	100.55   	-727.36		  7.65   	  30.52		
-80.26   	2545.17   	 97.64   	-788.40		  7.77   	 122.07		
-79.04   	2364.50   	 94.49   	-829.09		  8.26   	 213.63		
-78.43   	2147.22   	 91.17   	-864.70		  9.11   	 269.58		
-77.51   	1902.77   	 87.71   	-890.13		 10.19   	 289.93		
-76.29   	1679.08   	 84.15   	-925.73		 11.35   	 274.67		
-74.77   	1565.25   	 80.45   	-971.51		 12.45   	 208.54		
-73.55   	1629.03   	 76.56   	-1042.72		 13.29   	 122.07		
-72.94   	1849.67   	 72.39   	-1124.11		 13.77   	  15.26		
-72.63   	2121.58   	 67.89   	-1210.58		 13.84   	 -86.47		
-72.63   	2334.90   	 63.05   	-1286.87		 13.49   	-167.85		
-72.33   	2423.40   	 57.90   	-1337.74		 12.82   	-223.80		
-72.02   	2372.44   	 52.55   	-1358.08		 11.92   	-244.15		
-71.11   	2243.04   	 47.12   	-1327.56		 10.95   	-239.06		
-69.89   	2115.17   	 41.81   	-1256.35		  9.99   	-203.46		
-68.36   	2037.35   	 36.79   	-1139.36		  9.18   	-147.51		
-67.44   	2048.03   	 32.23   	-1007.12		  8.59   	 -86.47		
-66.83   	2161.87   	 28.20   	-854.52		  8.24   	 -25.43		
-67.14   	2329.41   	 24.78   	-707.02		  8.14   	  25.43		
-68.05   	2487.79   	 21.95   	-579.86		  8.24   	  61.04		
-68.97   	2568.36   	 19.63   	-478.13		  8.48   	  81.38		
-69.58   	2500.31   	 17.72   	-406.92		  8.81   	  81.38		
-70.50   	2270.51   	 16.09   	-366.22		  9.14   	  71.21		
-71.11   	1938.78   	 14.63   	-345.88		  9.42   	  45.78		
-71.41   	1642.15   	 13.25   	-340.79		  9.60   	  25.43		
-72.02   	1540.83   	 11.88   	-335.71		  9.70   	   5.09		
-72.94   	1689.15   	 10.54   	-330.62		  9.73   	 -15.26		
-73.85   	2010.50   	  9.22   	-310.27		  9.66   	 -20.35		
-74.16   	2331.85   	  7.98   	-284.84		  9.58   	 -20.35		
-73.85   	2453.00   	  6.84   	-239.06		  9.50   	 -15.26		
-73.85   	2295.23   	  5.88   	-193.29		  9.44   	  -5.09		
-74.46   	1989.44   	  5.11   	-142.42		  9.42   	   5.09		
-76.29   	1756.59   	  4.54   	 -91.56		  9.44   	  15.26		
-78.43   	1736.45   	  4.17   	 -50.86		  9.50   	  15.26		
-79.65   	1918.34   	  3.97   	 -10.17		  9.56   	  15.26		
-79.96   	2144.47   	  3.93(D)	  15.26		  9.62   	  15.26		
-78.74   	2231.14   	  3.99   	  35.61		  9.68   	   5.09		
-75.68   	2162.17   	  4.13   	  50.86		  9.70   	  -5.09		
-70.50   	2091.06   	  4.33   	  55.95		  9.68   	  -5.09		
-62.26   	2173.46   	  4.56   	  61.04		  9.66   	 -15.26		
-52.19   	2457.89   	  4.80   	  66.12		  9.60   	 -20.35		
-42.72   	2846.07   	  5.07   	  66.12		  9.52   	 -15.26		
-35.71   	3110.66   	  5.33   	  66.12		  9.46   	 -15.26		
-31.74   	3068.24   	  5.60   	  71.21		  9.40   	  -5.09		
-29.91   	2738.34   	  5.88   	  76.30		  9.38   	  -5.09		
-27.47   	2306.82   	  6.19   	  76.30		  9.36   	   0.00		
-23.80   	1981.51   	  6.49   	  76.30		  9.36   	   5.09		
-19.53   	1866.15   	  6.80   	  71.21		  9.38   	   5.09		
-17.40   	1897.58   	  7.08   	  66.12		  9.40   	   5.09		
-17.70   	1849.37   	  7.34   	  61.04		  9.42   	  -5.09		
-19.23   	1559.45   	  7.59   	  45.78		  9.40   	 -10.17		
-18.92   	1131.29   	  7.77   	  40.69		  9.36   	 -15.26		
-15.56   	834.96   	  7.93   	  35.61		  9.30   	 -25.43		
 -9.77   	894.17   	  8.08   	  25.43		  9.20   	 -30.52		
 -3.05   	1306.76   	  8.18   	  30.52		  9.07   	 -35.61		
  2.44   	1853.64   	  8.30   	  35.61		  8.93   	 -40.69		
  6.71   	2255.25   	  8.44   	  45.78		  8.77   	 -45.78		
  9.77   	2336.43   	  8.63   	  55.95		  8.59   	 -40.69		
  9.46   	2162.17   	  8.85   	  66.12		  8.42   	 -40.69		
  3.36   	1910.71   	  9.11   	  71.21		  8.26   	 -45.78		
 -9.77   	1673.89   	  9.40   	  81.38		  8.08   	 -35.61		
-29.60   	1490.48   	  9.73   	  76.30		  7.93   	 -40.69		
-51.88   	1406.56   	 10.03   	  76.30		  7.77   	 -35.61		
-72.02   	1440.12   	 10.34   	  61.04		  7.63   	 -35.61		
-86.67   	1564.94   	 10.58   	  55.95		  7.49   	 -30.52		
-94.60   	1695.25   	 10.80   	  40.69		  7.37   	 -25.43		
-97.66   	1725.16   	 10.97   	  25.43		  7.26   	 -20.35		
-97.66   	1629.94   	 11.07   	  15.26		  7.18   	 -15.26		
-96.13   	1502.38   	 11.13   	   5.09		  7.12   	   0.00		
-93.99   	1507.57   	 11.15   	  -5.09		  7.12   	   5.09		
-92.47   	1697.39   	 11.13   	  -5.09		  7.14   	  20.35		
-92.16   	1897.58   	 11.11   	 -15.26		  7.22   	  30.52		
-93.99   	1879.27   	 11.05   	 -15.26		  7.34   	  30.52		
-97.35   	1561.89   	 10.99   	 -15.26		  7.47   	  25.43		
-99.49   	1091.92   	 10.93   	 -25.43		  7.57   	  20.35		
-99.18   	777.59   	 10.82   	 -20.35		  7.65   	  10.17		
-95.52   	779.11   	 10.74   	 -30.52		  7.69   	  -5.09		
-90.94   	927.12   	 10.62   	 -30.52		  7.67   	 -15.26		
-88.20   	914.31   	 10.50   	 -35.61		  7.61   	 -20.35		
-89.11   	571.29   	 10.36   	 -35.61		  7.53   	 -30.52		
-96.13   	 23.19   	 10.21   	 -40.69		  7.41   	 -25.43		
-109.25   	-376.59   	 10.05   	 -35.61		  7.30   	 -25.43		
-128.17   	-382.69   	  9.91   	 -35.61		  7.20   	 -15.26		
-149.23   	-57.37   	  9.77   	 -30.52		  7.14   	 -20.35		
-169.37   	391.85   	  9.64   	 -30.52		  7.06   	 -10.17		
-184.63   	847.47   	  9.52   	 -20.35		  7.02   	 -15.26		
-189.82   	1311.04   	  9.44   	 -15.26		  6.96   	 -15.26		
-176.39   	1821.90   	  9.38   	 -10.17		  6.90   	 -15.26		
-128.48   	2340.39   	  9.34   	   0.00		  6.84   	 -10.17		
-31.74   	2696.84   	  9.34   	   0.00		  6.80   	 -15.26		
119.02   	2763.37(R)	  9.34(E)	  10.17		  6.73   	  -5.09		
306.70   	2564.09   	  9.38   	  20.35		  6.71   	  -5.09		
483.70   	2150.88   	  9.46   	  25.43		  6.69   	   0.00		
581.05   	1507.26   	  9.56   	  40.69		  6.69   	   5.09		
549.93   	584.11   	  9.73   	  55.95		  6.71   	   5.09		
395.20   	-572.81   	  9.95   	  71.21		  6.73   	   5.09		
185.85   	-1639.71   	 10.23   	  81.38		  6.75   	   0.00		
 19.53   	-2093.81   	 10.56   	 101.73		  6.75   	  -5.09		
-37.84   	-1632.69   	 10.97   	 122.07		  6.73   	 -10.17		
  6.41   	-431.82   	 11.45   	 147.51		  6.69   	 -15.26		
 86.67   	936.28   	 12.04   	 167.85		  6.63   	 -15.26		
134.58   	1812.74   	 12.72   	 208.54		  6.57   	 -10.17		
120.85   	1882.63   	 13.55   	 244.15		  6.53   	 -15.26		
 62.26   	1398.62   	 14.53   	 295.01		  6.47   	  -5.09		
 -5.19   	870.36   	 15.71   	 356.05		  6.45   	   0.00		
-52.80   	660.40   	 17.13   	 432.35		  6.45   	  15.26		
-70.19   	830.08   	 18.86   	 508.65		  6.51   	  30.52		
-61.34   	1187.13   	 20.90   	 595.11		  6.63   	  61.04		
-39.98   	1480.41   	 23.28   	 671.41		  6.88   	  86.47		
-21.06   	1620.18   	 25.96   	 737.54		  7.22   	 101.73		
-14.34   	1652.53   	 28.91   	 793.49		  7.63   	 101.73		
-19.23   	1615.91   	 32.09   	 834.18		  8.04   	  86.47		
-26.86   	1528.02   	 35.42   	 874.87		  8.38   	  50.86		
-28.69   	1435.24   	 38.92   	 910.47		  8.59   	  15.26		
-23.80   	1418.15   	 42.56   	 946.08		  8.65(A)	 -15.26		
-16.78   	1559.75   	 46.35   	 991.86		  8.59   	 -35.61		
-12.51   	1853.03   	 50.32   	1052.90		  8.44   	 -40.69		
-10.38   	2143.86   	 54.53   	1108.85		  8.28   	 -45.78		
 -8.24   	2264.40   	 58.96   	1159.71		  8.10   	 -35.61		
 -4.27   	2205.20   	 63.60   	1185.14		  7.96   	 -25.43		
  0.92   	2127.08   	 68.34   	1180.06		  7.85   	 -15.26		
  6.10   	2187.50   	 73.06   	1139.36		  7.79   	   0.00		
 11.60   	2375.18   	 77.62   	1073.24		  7.79   	   0.00		
 17.40   	2504.27   	 81.91   	 981.68		  7.79   	  10.17		
 23.50   	2399.60   	 85.84   	 890.13		  7.83   	  10.17		
 29.91   	2098.08   	 89.40   	 808.75		  7.87   	   5.09		
 36.32   	1808.47   	 92.63   	 737.54		  7.89   	   5.09		
 42.72   	1728.52   	 95.58   	 681.58		  7.91   	   5.09		
 48.52   	1835.94   	 98.31   	 651.07		  7.93   	  -5.09		
 54.32   	1812.74   	100.92   	 625.63		  7.91   	  -5.09		
 60.73   	1331.48   	103.42   	 605.29		  7.89   	 -10.17		
 68.66   	398.25   	105.84   	 584.94		  7.85   	 -15.26		
 77.21   	-606.08   	108.18   	 569.68		  7.79   	 -15.26		
 86.36   	-1156.92   	110.46   	 544.25		  7.73   	 -15.26		
 96.13   	-975.04   	112.63   	 508.65		  7.67   	 -15.26		
106.51   	-247.80   	114.67   	 467.95		  7.61   	 -10.17		
119.02   	518.80   	116.54   	 417.09		  7.57   	 -10.17		
133.36   	874.63   	118.21   	 366.22		  7.53   	 -10.17		
149.23   	776.37   	119.67   	 310.27		  7.49   	  -5.09		
164.49   	497.74   	120.92   	 259.41		  7.47   	 -10.17		
178.53   	273.13   	121.95   	 223.80		  7.43   	  -5.09		
191.35   	154.42   	122.85   	 183.11		  7.41   	 -15.26		
204.16   	 27.16   	123.58   	 157.68		  7.34   	 -10.17		
217.90   	-220.03   	124.21   	 142.42		  7.30   	 -20.35		
231.63   	-542.30   	124.78   	 142.42		  7.22   	 -20.35		
243.84   	-780.03   	125.35   	 152.59		  7.14   	 -25.43		
253.30   	-823.06   	125.96   	 157.68		  7.04   	 -25.43		
258.48   	-687.26   	126.59   	 162.77		  6.94   	 -30.52		
258.18   	-465.09   	127.24   	 152.59		  6.82   	 -30.52		
251.16   	-250.24   	127.85   	 122.07		  6.69   	 -30.52		
237.73   	-95.83   	128.34   	  91.56		  6.57   	 -30.52		
219.12   	 -4.58   	128.71   	  45.78		  6.45   	 -25.43		
197.45   	 14.04   	128.89(S)	 -10.17		  6.35   	 -30.52		
174.26   	-37.23   	128.85   	 -61.04		  6.23   	 -25.43		
150.76   	-129.09   	128.61   	-127.16		  6.12   	 -25.43		
126.95   	-276.49   	128.10   	-198.37		  6.02   	 -25.43		
103.15   	-484.92   	127.30   	-264.50		  5.92   	 -25.43		
 79.65   	-726.93   	126.25   	-340.79		  5.82   	 -25.43		
 56.46   	-956.12   	124.88   	-396.74		  5.72   	 -25.43		
 34.48   	-1093.44   	123.30   	-447.61		  5.62   	 -25.43		
 14.65   	-1097.41   	121.51   	-483.21		  5.51   	 -30.52		
 -2.14   	-1007.69   	119.57   	-498.47		  5.39   	 -25.43		
-15.56   	-908.51   	117.58   	-493.39		  5.29   	 -30.52		
-26.86   	-879.21   	115.60   	-462.87		  5.17   	 -25.43		
-37.54   	-939.33   	113.75   	-432.35		  5.07   	 -25.43		
-47.91   	-1068.12   	112.02   	-381.48		  4.96   	 -25.43		
-57.37   	-1300.66   	110.50   	-345.88		  4.86   	 -15.26		
-65.31   	-1719.67   	109.11   	-310.27		  4.80   	 -15.26		
-71.72   	-2298.58   	107.87   	-305.19		  4.74   	 -10.17		
-76.29   	-2872.92   	106.65   	-315.36		  4.70   	  -5.09		
-79.35   	-3221.74   	105.39   	-335.71		  4.68   	   0.00		
-80.87   	-3173.52   	104.05   	-371.31		  4.68   	   0.00		
-81.79   	-2730.41   	102.56   	-412.00		  4.68   	   5.09		
-83.01   	-2108.46   	100.92   	-452.69		  4.70   	  10.17		
-84.84   	-1613.46   	 99.10   	-488.30		  4.74   	  10.17		
-86.98   	-1443.48   	 97.15   	-518.82		  4.78   	  15.26		
-87.89   	-1614.38   	 95.08   	-544.25		  4.84   	  15.26		
-87.59   	-2008.36   	 92.90   	-564.60		  4.90   	  15.26		
-86.67   	-2393.49   	 90.64   	-600.20		  4.96   	  20.35		
-86.98   	-2516.78   	 88.24   	-640.89		  5.05   	  15.26		
-89.11   	-2335.82   	 85.68   	-681.58		  5.11   	  20.35		
-90.94   	-2004.09   	 82.95   	-732.45		  5.19   	  15.26		
-90.64   	-1719.36   	 80.02   	-793.49		  5.25   	  10.17		
-88.20   	-1650.09   	 76.85   	-874.87		  5.29   	   5.09		
-84.84   	-1818.24   	 73.35   	-986.77		  5.31   	   5.09		
-82.70   	-2106.02   	 69.40   	-1108.85		  5.33   	   5.09		
-83.62   	-2377.62   	 64.96   	-1246.18		  5.35   	   0.00		
-86.67   	-2519.23   	 59.98   	-1353.00		  5.35   	   0.00		
-90.03   	-2504.27   	 54.57   	-1429.29		  5.35   	   0.00		
-90.64   	-2389.53   	 48.85   	-1454.72		  5.35   	 -10.17		
-87.89   	-2239.69   	 43.03   	-1403.86		  5.31   	 -15.26		
-82.40   	-2130.43   	 37.42   	-1307.22		  5.25   	 -15.26		
-76.60   	-2096.56   	 32.19   	-1159.71		  5.19   	 -15.26		
-73.55   	-2106.02   	 27.55   	-981.68		  5.13   	 -10.17		
-73.85   	-2119.14   	 23.62   	-808.75		  5.09   	   5.09		
-75.68   	-2128.60   	 20.39   	-651.07		  5.11   	  20.35		
-76.90   	-2133.48   	 17.78   	-528.99		  5.19   	  40.69		
-76.90   	-2107.85   	 15.67   	-452.69		  5.35   	  66.12		
-75.68   	-1999.51   	 13.86   	-417.09		  5.62   	  86.47		
-74.77   	-1728.82   	 12.19   	-401.83		  5.96   	 101.73		
-74.77   	-1278.38   	 10.58   	-412.00		  6.37   	 106.82		
-75.38   	-767.52   	  8.93   	-417.09		  6.80   	 111.90		
-76.29   	-368.65   	  7.26   	-412.00		  7.24   	 106.82		
-76.60   	-286.87   	  5.62   	-391.66		  7.67   	  91.56		
-75.99   	-651.55   	  4.05   	-350.97		  8.04   	  71.21		
-74.16   	-1325.68   	  2.64   	-295.01		  8.32   	  61.04		
-71.41   	-1945.19   	  1.46   	-213.63		  8.57   	  45.78		
-69.27   	-2128.91   	  0.61   	-142.42		  8.75   	  30.52		
-68.36   	-1733.09   	  0.04   	 -71.21		  8.87   	  15.26		
-68.97   	-1012.88   	 -0.24   	 -15.26		  8.93   	  15.26		
-70.19   	-457.15   	 -0.31(D)	  30.52		  8.99   	   5.09		
-70.50   	-415.34   	 -0.18   	  55.95		  9.01   	   5.09		
-70.19   	-779.11   	  0.04   	  66.12		  9.03   	  10.17		
-69.89   	-1096.19   	  0.31   	  61.04		  9.07   	  10.17		
-70.50   	-1009.52   	  0.55   	  50.86		  9.11   	  20.35		
-72.02   	-581.97   	  0.75   	  45.78		  9.20   	  20.35		
-73.55   	-195.62   	  0.94   	  40.69		  9.28   	  25.43		
-74.77   	-136.72   	  1.10   	  40.69		  9.38   	  25.43		
-75.68   	-305.18   	  1.26   	  50.86		  9.48   	  30.52		
-76.29   	-357.36   	  1.46   	  66.12		  9.60   	  25.43		
-76.29   	-39.98   	  1.73   	  91.56		  9.70   	  20.35		
-73.85   	593.26   	  2.10   	 111.90		  9.79   	  15.26		
-66.53   	1253.05   	  2.54   	 132.25		  9.85   	  10.17		
-54.93   	1730.65   	  3.07   	 152.59		  9.89   	   0.00		
-42.42   	2026.06   	  3.68   	 162.77		  9.89(V)	   0.00		
-32.65   	2221.37   	  4.33   	 167.85		  9.89   	  -5.09		
-28.69   	2360.23   	  5.01   	 162.77		  9.87   	 -15.26		
-29.60   	2450.56   	  5.66   	 152.59		  9.81   	 -10.17		
-32.96   	2498.78   	  6.27   	 137.33		  9.77   	 -20.35		
-34.48   	2509.46   	  6.82   	 127.16		  9.68   	 -25.43		
-33.26   	2481.99   	  7.32   	 106.82		  9.58   	 -25.43		
-30.52   	2381.29   	  7.75   	  96.64		  9.48   	 -40.69		
-28.38   	2182.01   	  8.14   	  81.38		  9.32   	 -40.69		
-26.86   	1896.67   	  8.46   	  76.30		  9.16   	 -45.78		
-25.63   	1524.35   	  8.77   	  71.21		  8.97   	 -50.86		
-23.19   	1074.83   	  9.05   	  71.21		  8.77   	 -50.86		
-18.31   	651.55   	  9.34   	  71.21		  8.57   	 -55.95		
-12.21   	395.51   	  9.62   	  76.30		  8.34   	 -45.78		
 -6.10   	420.53   	  9.93   	  76.30		  8.16   	 -45.78		
 -1.53   	709.23   	 10.23   	  71.21		  7.98   	 -40.69		
  0.31   	1093.75   	 10.52   	  71.21		  7.81   	 -30.52		
 -1.53   	1427.31   	 10.80   	  66.12		  7.69   	 -25.43		
 -7.93   	1673.58   	 11.07   	  61.04		  7.59   	 -15.26		
-18.62   	1836.85   	 11.31   	  50.86		  7.53   	  -5.09		
-33.57   	1854.86   	 11.52   	  45.78		  7.51   	   0.00		
-50.66   	1646.73   	 11.70   	  35.61		  7.51   	  10.17		
-68.05   	1271.97   	 11.84   	  20.35		  7.55   	  15.26		
-82.09   	950.62   	 11.92   	  20.35		  7.61   	  20.35		
-91.86   	887.45   	 12.00   	   5.09		  7.69   	  15.26		
-96.74   	1062.62   	 12.02   	   0.00		  7.75   	  15.26		
-98.27   	1225.89   	 12.02   	 -10.17		  7.81   	   5.09		
-97.96   	1180.42   	 11.98   	 -25.43		  7.83   	   5.09		
-96.74   	999.15   	 11.88   	 -35.61		  7.85   	   5.09		
-95.21   	893.55   	 11.74   	 -45.78		  7.87   	   5.09		
-93.38   	979.61   	 11.56   	 -55.95		  7.89   	  10.17		
-92.47   	1161.50   	 11.33   	 -66.12		  7.93   	  15.26		
-92.16   	1267.40   	 11.07   	 -71.21		  8.00   	  15.26		
-91.86   	1231.08   	 10.78   	 -81.38		  8.06   	  10.17		
-90.64   	1108.70   	 10.46   	 -76.30		  8.10   	  15.26		
-87.59   	988.16   	 10.15   	 -71.21		  8.16   	   5.09		
-83.92   	832.52   	  9.87   	 -66.12		  8.18   	   0.00		
-82.09   	538.94   	  9.60   	 -55.95		  8.18   	   0.00		
-84.23   	165.71   	  9.38   	 -45.78		  8.18   	 -10.17		
-92.47   	-58.29   	  9.20   	 -35.61		  8.14   	 -10.17		
-107.42   	 64.39   	  9.05   	 -25.43		  8.10   	 -10.17		
-126.65   	570.07   	  8.95   	 -10.17		  8.06   	 -10.17		
-146.48   	1222.23   	  8.91   	 -10.17		  8.02   	  -5.09		
-162.05   	1647.34   	  8.87   	   5.09		  8.00   	   0.00		
-170.29   	1686.10   	  8.89   	   5.09		  8.00   	   5.09		
-167.54   	1467.29   	  8.91   	  15.26		  8.02   	  10.17		
-145.87   	1311.04   	  8.97   	  15.26		  8.06   	  20.35		
-91.86   	1508.79   	  9.03   	  25.43		  8.14   	  25.43		
  7.32   	2032.17   	  9.14   	  30.52		  8.24   	  35.61		
152.28   	2571.11   	  9.26   	  40.69		  8.38   	  30.52		
319.21   	2771.61   	  9.42   	  45.78		  8.50   	  40.69		
453.49   	2473.14   	  9.60   	  61.04		  8.67   	  35.61		
490.72   	1828.61   	  9.85   	  71.21		  8.81   	  30.52		
400.39   	1169.74   	 10.13   	  86.47		  8.93   	  25.43		
211.79   	758.06   	 10.48   	 101.73		  9.03   	  20.35		
  9.77   	621.34   	 10.89   	 116.99		  9.11   	  15.26		
-113.22   	562.44   	 11.35   	 142.42		  9.18   	   0.00		
-117.19   	357.97   	 11.92   	 157.68		  9.18   	  -5.09		
-37.84   	-41.20   	 12.55   	 178.03		  9.16   	 -15.26		
 49.74   	-473.02   	 13.27   	 208.54		  9.09   	 -20.35		
 87.59   	-643.62   	 14.10   	 239.06		  9.01   	 -20.35		
 66.53   	-298.16   	 15.06   	 279.75		  8.93   	 -25.43		
 15.26   	514.83   	 16.17   	 325.53		  8.83   	 -30.52		
-32.04   	1435.24   	 17.48   	 381.48		  8.71   	 -20.35		
-57.07   	2036.44   	 19.00   	 442.52		  8.63   	 -20.35		
-59.51   	2061.77   	 20.77   	 513.73		  8.55   	   5.09		
-47.61   	1629.64   	 22.83   	 579.86		  8.57   	  25.43		
-32.04   	1158.75   	 25.15   	 645.98		  8.67   	  61.04		
-21.06   	1072.39   	 27.73   	 712.10		  8.91   	  91.56		
-18.31   	1461.49   	 30.58   	 773.14		  9.28   	 111.90		
