  I     	  II     	  AOp     	  AOp'		  AO     	  AO'		
-24.11   	-95.83   	 75.91   	 -45.78		 78.76   	 -55.95		
-26.25   	-98.27   	 75.73   	 -45.78		 78.53   	 -55.95		
-27.77   	-99.79   	 75.54   	 -40.69		 78.31   	 -55.95		
-27.47   	-100.40   	 75.38   	 -35.61		 78.09   	 -50.86		
-25.94   	-100.10   	 75.24   	 -40.69		 77.88   	 -50.86		
-24.11   	-99.79   	 75.08   	 -30.52		 77.68   	 -50.86		
-23.50   	-100.10   	 74.95   	 -35.61		 77.48   	 -50.86		
-23.80   	-100.71   	 74.81   	 -35.61		 77.27   	 -50.86		
-24.72   	-101.93   	 74.67   	 -30.52		 77.07   	 -45.78		
-25.63   	-103.76   	 74.55   	 -35.61		 76.89   	 -50.86		
-26.25   	-106.20   	 74.40   	 -35.61		 76.68   	 -45.78		
-26.86   	-109.25   	 74.26   	 -35.61		 76.50   	 -40.69		
-26.86   	-111.69   	 74.12   	 -35.61		 76.34   	 -45.78		
-26.86   	-113.22   	 73.98   	 -40.69		 76.15   	 -45.78		
-26.55   	-113.83   	 73.81   	 -40.69		 75.97   	 -45.78		
-26.25   	-113.53   	 73.65   	 -40.69		 75.79   	 -40.69		
-26.55   	-112.61   	 73.49   	 -45.78		 75.63   	 -45.78		
-27.16   	-112.30   	 73.31   	 -45.78		 75.44   	 -40.69		
-27.77   	-112.92   	 73.12   	 -45.78		 75.28   	 -45.78		
-28.08   	-114.14   	 72.94   	 -50.86		 75.10   	 -40.69		
-27.47   	-115.66   	 72.74   	 -50.86		 74.93   	 -45.78		
-26.25   	-116.88   	 72.53   	 -55.95		 74.75   	 -45.78		
-24.72   	-117.49   	 72.31   	 -50.86		 74.57   	 -40.69		
-23.80   	-117.19   	 72.11   	 -55.95		 74.40   	 -45.78		
-24.41   	-116.58   	 71.88   	 -55.95		 74.22   	 -45.78		
-25.94   	-116.88   	 71.66   	 -55.95		 74.04   	 -50.86		
-27.77   	-117.49   	 71.43   	 -55.95		 73.83   	 -45.78		
-28.38   	-118.10   	 71.21   	 -55.95		 73.65   	 -45.78		
-27.77   	-117.49   	 70.99   	 -55.95		 73.47   	 -45.78		
-26.25   	-116.58   	 70.76   	 -55.95		 73.29   	 -50.86		
-25.33   	-115.36   	 70.54   	 -61.04		 73.08   	 -45.78		
-25.33   	-115.05   	 70.29   	 -55.95		 72.90   	 -50.86		
-26.55   	-115.66   	 70.07   	 -55.95		 72.70   	 -45.78		
-28.08   	-116.88   	 69.85   	 -55.95		 72.51   	 -50.86		
-28.99   	-118.10   	 69.62   	 -55.95		 72.31   	 -55.95		
-28.69   	-118.41   	 69.40   	 -61.04		 72.09   	 -50.86		
-26.86   	-118.41   	 69.16   	 -55.95		 71.88   	 -50.86		
-24.72   	-117.80   	 68.93   	 -61.04		 71.68   	 -55.95		
-23.19   	-117.19   	 68.69   	 -55.95		 71.45   	 -55.95		
-22.89   	-116.58   	 68.46   	 -61.04		 71.23   	 -55.95		
-23.80   	-116.27   	 68.22   	 -55.95		 71.01   	 -55.95		
-24.41   	-116.27   	 68.00   	 -55.95		 70.78   	 -55.95		
-25.02   	-116.58   	 67.77   	 -55.95		 70.56   	 -61.04		
-25.02   	-116.88   	 67.55   	 -50.86		 70.32   	 -55.95		
-25.02   	-117.80   	 67.34   	 -55.95		 70.09   	 -61.04		
-25.33   	-118.41   	 67.12   	 -45.78		 69.85   	 -55.95		
-25.63   	-118.41   	 66.94   	 -50.86		 69.62   	 -55.95		
-25.63   	-117.49   	 66.73   	 -45.78		 69.40   	 -61.04		
-24.41   	-115.97   	 66.55   	 -45.78		 69.16   	 -55.95		
-22.28   	-114.14   	 66.37   	 -45.78		 68.93   	 -55.95		
-20.75   	-113.22   	 66.18   	 -40.69		 68.71   	 -50.86		
-20.45   	-113.22   	 66.02   	 -40.69		 68.50   	 -50.86		
-21.36   	-114.14   	 65.86   	 -40.69		 68.30   	 -55.95		
-23.19   	-115.97   	 65.70   	 -40.69		 68.08   	 -45.78		
-24.72   	-117.80   	 65.53   	 -40.69		 67.89   	 -50.86		
-25.33   	-119.02   	 65.37   	 -40.69		 67.69   	 -45.78		
-25.02   	-118.71   	 65.21   	 -35.61		 67.51   	 -40.69		
-24.41   	-117.49   	 65.07   	 -40.69		 67.34   	 -40.69		
-24.11   	-115.97   	 64.90   	 -35.61		 67.18   	 -40.69		
-24.41   	-114.14   	 64.76   	 -35.61		 67.02   	 -40.69		
-25.02   	-112.61   	 64.62   	 -40.69		 66.86   	 -35.61		
-24.72   	-112.00   	 64.46   	 -35.61		 66.71   	 -35.61		
-24.11   	-111.39   	 64.31   	 -35.61		 66.57   	 -35.61		
-23.80   	-111.69   	 64.17   	 -35.61		 66.43   	 -35.61		
-23.80   	-111.69   	 64.03   	 -40.69		 66.29   	 -30.52		
-24.41   	-111.69   	 63.87   	 -35.61		 66.16   	 -30.52		
-25.63   	-111.69   	 63.72   	 -35.61		 66.04   	 -30.52		
-26.55   	-111.69   	 63.58   	 -40.69		 65.92   	 -30.52		
-27.16   	-111.39   	 63.42   	 -35.61		 65.80   	 -30.52		
-26.86   	-111.08   	 63.28   	 -35.61		 65.68   	 -30.52		
-25.94   	-109.86   	 63.13   	 -30.52		 65.55   	 -30.52		
-24.72   	-108.64   	 63.01   	 -35.61		 65.43   	 -30.52		
-23.50   	-107.42   	 62.87   	 -35.61		 65.31   	 -30.52		
-23.19   	-107.42   	 62.73   	 -35.61		 65.19   	 -35.61		
-23.50   	-108.34   	 62.58   	 -30.52		 65.05   	 -30.52		
