  I     	  II     	  LV     	  LV'		  AO     	  AO'		
 -2.75   	-20.45   	 15.20   	 -10.17		 84.50   	-116.99		
  6.10   	-36.93   	 15.16   	 -10.17		 84.03   	-116.99		
 -6.71   	-27.47   	 15.12   	  -5.09		 83.56   	-116.99		
-26.55   	-31.13   	 15.10   	 -10.17		 83.09   	-106.82		
-31.74   	-37.54   	 15.06   	  -5.09		 82.66   	-106.82		
-25.33   	-35.40   	 15.04   	  -5.09		 82.24   	-106.82		
-39.98   	-54.02   	 15.02   	  -5.09		 81.81   	-101.73		
-41.50   	-58.59   	 14.99   	 -10.17		 81.40   	-101.73		
-43.64   	-50.35   	 14.95   	  -5.09		 81.00   	-101.73		
-54.32   	-52.49   	 14.93   	 -10.17		 80.59   	 -96.64		
-44.25   	-57.68   	 14.89   	  -5.09		 80.20   	-101.73		
-31.43   	-67.75   	 14.87   	 -10.17		 79.80   	 -96.64		
-31.43   	-74.46   	 14.83   	   0.00		 79.41   	 -96.64		
-46.69   	-76.60   	 14.83   	  -5.09		 79.02   	 -96.64		
-62.87   	-82.09   	 14.81(D)	   0.00		 78.64   	 -96.64		
-73.55   	-84.53   	 14.81   	  10.17		 78.25   	-101.73		
-70.80   	-83.62   	 14.85   	  10.17		 77.84   	 -96.64		
-76.29   	-95.21   	 14.89   	  20.35		 77.46   	-101.73		
-65.00   	-84.84   	 14.97   	  30.52		 77.05   	-106.82		
-77.51   	-85.45   	 15.10   	  35.61		 76.62   	-106.82		
-84.84   	-87.89   	 15.24   	  40.69		 76.20   	-101.73		
-71.72   	-78.74   	 15.40   	  45.78		 75.79   	-106.82		
-70.50   	-82.40   	 15.58   	  45.78		 75.36   	-101.73		
-61.95   	-83.01   	 15.77   	  40.69		 74.95   	-101.73		
-56.76   	-80.26   	 15.93   	  40.69		 74.55   	-101.73		
-64.09   	-86.67   	 16.09   	  30.52		 74.14   	-101.73		
-68.05   	-89.72   	 16.22   	  25.43		 73.73   	 -96.64		
-70.19   	-84.84   	 16.32   	  25.43		 73.35   	 -96.64		
-69.58   	-81.79   	 16.42   	  15.26		 72.96   	 -96.64		
-60.12   	-81.48   	 16.48   	  15.26		 72.57   	 -96.64		
