  I     	  II     	  LV     	  LV'		  AO     	  AO'		
 18.31   	 32.65   	149.68   	 172.94		134.83   	 132.25		
  5.19   	 14.34   	150.38   	 -66.12		135.36   	 157.68		
 -6.71   	 -0.92   	150.11   	-239.06		135.99   	   0.00		
-16.48   	-14.34   	149.16   	-417.09		135.99   	  30.52		
-24.41   	-25.94   	147.49   	-630.72		136.11(S)	 -10.17		
-30.52   	-36.01   	144.96   	-737.54		136.07   	-167.85		
-36.01   	-44.86   	142.01   	-732.45		135.40   	-188.20		
-41.20   	-51.57   	139.08   	-640.89		134.65   	-147.51		
-45.47   	-56.46   	136.52   	-549.34		134.06   	-147.51		
-48.52   	-59.81   	134.32   	-478.13		133.47   	-172.94		
-50.05   	-62.56   	132.41   	-503.56		132.78   	-167.85		
-50.35   	-64.39   	130.40   	-605.29		132.11   	-223.80		
-50.96   	-65.92   	127.98   	-757.88		131.21   	-335.71		
-52.49   	-66.53   	124.94   	-910.47		129.87   	-406.92		
-53.71   	-66.53   	121.30   	-1022.38		128.24   	-417.09		
-54.63   	-65.92   	117.21   	-1210.58		126.57   	-432.35		
-54.32   	-65.00   	112.37   	-1449.64		124.84   	-559.51		
-53.10   	-63.78   	106.57   	-1719.22		122.60   	-671.41		
-52.19   	-62.26   	 99.69   	-2268.56		119.92   	-666.32		
-51.88   	-60.42   	 90.62   	-2838.24		117.25   	-600.20		
-52.49   	-58.29   	 79.27   	-2517.79		114.85   	-371.31		
-53.41   	-56.15   	 69.20   	-2299.08		113.37   	 152.59		
-54.02   	-53.71   	 60.00   	-2609.35		113.98   	 218.72		
-54.02   	-51.57   	 49.56   	-2263.47		114.85   	 -66.12		
-54.02   	-49.44   	 40.51   	-1856.55		114.59   	-178.03		
-54.02   	-47.61   	 33.08   	-1515.76		113.88   	-172.94		
-53.71   	-46.69   	 27.02   	-1047.81		113.18   	 106.82		
-53.10   	-46.08   	 22.83   	-600.20		113.61   	 142.42		
-52.49   	-45.47   	 20.43   	-315.36		114.18   	   0.00		
-51.57   	-44.25   	 19.17   	-167.85		114.18   	  86.47		
-50.66   	-42.11   	 18.49   	 -86.47		114.53   	 -10.17		
-49.44   	-39.98   	 18.15   	-111.90		114.49   	 -81.38		
-48.52   	-38.45   	 17.70   	-208.54		114.16   	-106.82		
-47.91   	-38.15   	 16.87   	-295.01		113.73   	-203.46		
-47.00   	-38.15   	 15.69   	-396.74		112.92   	-137.33		
-45.47   	-38.15   	 14.10   	-488.30		112.37   	 -86.47		
-43.95   	-38.15   	 12.15   	-539.16		112.02   	-122.07		
-41.81   	-38.15   	  9.99   	-559.51		111.54   	-101.73		
-40.59   	-38.45   	  7.75   	-544.25		111.13   	 -81.38		
-40.59   	-39.37   	  5.57   	-483.21		110.80   	-101.73		
-41.50   	-40.59   	  3.64   	-376.40		110.40   	-106.82		
-41.81   	-41.50   	  2.14   	-213.63		109.97   	-101.73		
-41.20   	-42.11   	  1.28   	 -45.78		109.56   	 -66.12		
-39.37   	-42.42   	  1.10(D)	  86.47		109.30   	 -35.61		
-36.93   	-42.72   	  1.44   	 193.29		109.16   	 -71.21		
-35.10   	-43.03   	  2.22   	 274.67		108.87   	 -86.47		
-34.48   	-43.95   	  3.32   	 295.01		108.52   	 -45.78		
-34.48   	-44.86   	  4.50   	 274.67		108.34   	 -61.04		
-34.79   	-46.39   	  5.60   	 188.20		108.10   	-106.82		
-35.10   	-48.22   	  6.35   	  76.30		107.67   	-132.25		
-35.71   	-50.35   	  6.65   	  -5.09		107.14   	-137.33		
-36.32   	-51.88   	  6.63   	 -81.38		106.59   	-122.07		
-36.93   	-52.80   	  6.31   	-147.51		106.10   	 -86.47		
-37.84   	-53.41   	  5.72   	-198.37		105.76   	 -81.38		
-38.76   	-53.71   	  4.92   	-213.63		105.43   	-127.16		
-39.06   	-54.32   	  4.07   	-218.72		104.92   	-122.07		
-38.45   	-55.24   	  3.19   	-198.37		104.43   	-111.90		
-37.23   	-55.85   	  2.40   	-142.42		103.99   	-142.42		
-36.01   	-55.85   	  1.83   	 -66.12		103.42   	-152.59		
-35.40   	-55.54   	  1.57   	  10.17		102.81   	-142.42		
-35.71   	-55.24   	  1.61   	  96.64		102.24   	-116.99		
-36.93   	-55.85   	  1.99   	 183.11		101.77   	-111.90		
-38.45   	-57.07   	  2.73   	 218.72		101.32   	 -91.56		
-39.98   	-58.90   	  3.60   	 228.89		100.96   	 -91.56		
-41.20   	-60.12   	  4.52   	 208.54		100.59   	-106.82		
-41.81   	-60.42   	  5.35   	 157.68		100.16   	-111.90		
-41.81   	-60.12   	  5.98   	 101.73		 99.71   	-106.82		
-41.50   	-60.12   	  6.39   	  45.78		 99.29   	-106.82		
-41.50   	-60.73   	  6.57   	 -30.52		 98.86   	-106.82		
-41.50   	-61.34   	  6.45   	 -91.56		 98.43   	-106.82		
-41.20   	-61.34   	  6.08   	-137.33		 98.01   	-122.07		
-40.89   	-61.04   	  5.53   	-152.59		 97.52   	-132.25		
-40.28   	-60.73   	  4.92   	-152.59		 96.99   	-122.07		
-39.98   	-60.73   	  4.31   	-127.16		 96.50   	-106.82		
-39.98   	-61.04   	  3.80   	 -86.47		 96.07   	-127.16		
-40.28   	-61.34   	  3.46   	 -25.43		 95.56   	-116.99		
-40.28   	-61.04   	  3.36   	  45.78		 95.10   	 -76.30		
-39.67   	-60.42   	  3.54   	 101.73		 94.79   	 -86.47		
-38.45   	-60.12   	  3.95   	 132.25		 94.45   	 -71.21		
-37.23   	-60.12   	  4.48   	 157.68		 94.16   	 -66.12		
-36.32   	-60.12   	  5.11   	 157.68		 93.90   	 -96.64		
-35.40   	-60.12   	  5.74   	 142.42		 93.51   	 -71.21		
-35.10   	-59.51   	  6.31   	 127.16		 93.22   	 -71.21		
-35.71   	-58.59   	  6.82   	  81.38		 92.94   	 -76.30		
-36.32   	-57.68   	  7.14   	  30.52		 92.63   	 -86.47		
-37.23   	-56.15   	  7.26   	 -20.35		 92.29   	-106.82		
-37.54   	-54.93   	  7.18   	 -61.04		 91.86   	-106.82		
-36.93   	-54.02   	  6.94   	 -91.56		 91.43   	-101.73		
-35.71   	-53.71   	  6.57   	 -86.47		 91.03   	-111.90		
-34.48   	-54.02   	  6.23   	-111.90		 90.58   	-106.82		
-33.87   	-54.63   	  5.78   	-116.99		 90.15   	-116.99		
-33.57   	-54.63   	  5.31   	 -71.21		 89.68   	-132.25		
-32.96   	-53.41   	  5.03   	 -20.35		 89.16   	 -71.21		
-30.82   	-50.35   	  4.94   	  25.43		 88.87   	 -66.12		
-27.16   	-43.03   	  5.05   	  76.30		 88.61   	 -91.56		
-21.06   	-29.91   	  5.35   	 101.73		 88.24   	 -66.12		
-12.21   	-10.07   	  5.76   	 116.99		 87.98   	 -55.95		
 -1.53   	 13.12   	  6.23   	 122.07		 87.75   	 -61.04		
  9.46   	 33.87   	  6.71   	 101.73		 87.51   	 -61.04		
 18.92   	 45.17   	  7.12   	  76.30		 87.26   	 -66.12		
 26.25   	 45.47   	  7.43   	  40.69		 87.00   	 -61.04		
 32.35   	 39.06   	  7.59   	   5.09		 86.75   	 -66.12		
 40.28   	 36.01   	  7.61   	 -20.35		 86.49   	 -71.21		
 50.96   	 44.86   	  7.53   	 -50.86		 86.21   	 -76.30		
 64.09   	 66.53   	  7.32   	 -66.12		 85.90   	 -71.21		
 77.21   	 92.16   	  7.06   	 -71.21		 85.62   	 -71.21		
 87.28   	108.34   	  6.78   	 -71.21		 85.33   	 -71.21		
 92.77   	108.03   	  6.49   	 -61.04		 85.05   	 -71.21		
 93.99   	 93.38   	  6.25   	 -45.78		 84.76   	 -66.12		
 90.03   	 74.16   	  6.06   	 -35.61		 84.50   	 -66.12		
 81.18   	 60.12   	  5.92   	 -25.43		 84.23   	 -61.04		
 67.44   	 52.49   	  5.82   	 -25.43		 83.99   	 -76.30		
 49.74   	 44.56   	  5.72   	 -20.35		 83.68   	 -66.12		
 30.82   	 30.21   	  5.64   	 -25.43		 83.42   	 -66.12		
 12.51   	  7.63   	  5.53   	 -25.43		 83.15   	 -66.12		
 -4.27   	-20.14   	  5.43   	 -20.35		 82.89   	 -50.86		
-19.84   	-46.08   	  5.35   	  10.17		 82.69   	 -35.61		
-32.96   	-65.61   	  5.39   	  66.12		 82.54   	 -20.35		
-42.42   	-77.21   	  5.66   	 122.07		 82.46   	  -5.09		
-47.30   	-83.31   	  6.14   	 152.59		 82.44   	  15.26		
-48.52   	-86.67   	  6.75   	 178.03		 82.50   	  -5.09		
-48.52   	-90.33   	  7.47   	 183.11		 82.48   	 -25.43		
-49.74   	-95.21   	  8.20   	 167.85		 82.38   	 -25.43		
-52.49   	-99.79   	  8.87   	 122.07		 82.28   	 -45.78		
-55.54   	-102.23   	  9.36   	  86.47		 82.10   	 -50.86		
-57.98   	-102.84   	  9.70   	  35.61		 81.89   	 -61.04		
-59.51   	-102.23   	  9.85   	 -10.17		 81.65   	 -71.21		
-60.73   	-102.54   	  9.81   	 -50.86		 81.36   	 -86.47		
-61.65   	-103.45   	  9.60   	 -71.21		 81.02   	 -86.47		
-61.95   	-103.76   	  9.32   	 -91.56		 80.67   	 -71.21		
-60.73   	-101.93   	  8.95   	 -86.47		 80.39   	 -81.38		
-58.59   	-99.79   	  8.61   	 -76.30		 80.06   	 -86.47		
-57.07   	-101.93   	  8.30   	 -50.86		 79.71   	 -86.47		
-57.37   	-115.97   	  8.10   	 -20.35		 79.37   	 -71.21		
-56.15   	-143.74   	  8.02   	  15.26		 79.08   	 -55.95		
-43.64   	-171.81   	  8.08   	  35.61		 78.86   	 -40.69		
 -0.92   	-169.37   	  8.22   	  25.43		 78.70   	 -45.78		
 90.64   	-102.54   	  8.32   	  30.52		 78.51   	 -61.04		
242.31   	 47.91   	  8.44   	  15.26		 78.27   	 -55.95		
451.66   	270.08   	  8.50   	   5.09		 78.05   	 -35.61		
695.19   	524.60   	  8.52   	 -10.17		 77.90   	 -66.12		
930.79   	764.16   	  8.48   	  -5.09		 77.64   	-147.51		
1140.44   	1072.69   	  8.46(E)	  35.61		 77.05   	 -55.95		
995.79   	1095.89(R)	  8.61   	  96.64		 76.83   	 -50.86		
670.78   	1005.86   	  8.99   	 167.85		 76.62   	 -40.69		
246.28   	807.50   	  9.66   	 259.41		 76.46   	 -25.43		
-143.74   	540.77   	 10.70   	 361.14		 76.36   	 -15.26		
-372.62   	277.71   	 12.15   	 462.87		 76.30   	   0.00		
-395.81   	 86.36   	 14.00   	 549.34		 76.30   	  10.17		
-274.96   	-10.68   	 16.20   	 605.29		 76.34   	   0.00		
-127.87   	-40.59   	 18.62   	 651.07		 76.34   	 -20.35		
-46.69   	-49.13   	 21.22   	 722.28		 76.26   	 -40.69		
-49.44   	-64.39   	 24.11   	 798.57		 76.09   	 -50.86		
-94.60   	-86.67   	 27.30   	 778.23		 75.89   	 -76.30		
-129.09   	-104.06   	 30.42   	 803.66		 75.58   	-183.11		
-131.53   	-108.34   	 33.63   	1002.03		 74.85   	-259.41		
-112.30   	-104.06   	 37.64   	1271.61		 73.81   	 -96.64		
