  I     	  II     	  AOp     	  AOp'		
  1.83   	 15.56   	122.81   	  15.26		
 -3.97   	  8.54   	122.87   	  10.17		
-10.07   	  0.92   	122.91(S)	  -5.09		
-17.09   	 -8.24   	122.89   	 -10.17		
-25.94   	-19.23   	122.85   	 -25.43		
-35.10   	-31.43   	122.75   	 -40.69		
-42.72   	-43.33   	122.58   	 -45.78		
-46.69   	-53.71   	122.40   	 -61.04		
-45.78   	-60.12   	122.16   	 -76.30		
-41.50   	-61.65   	121.85   	 -91.56		
-37.84   	-60.12   	121.48   	-106.82		
-39.37   	-60.12   	121.06   	-127.16		
-45.78   	-65.00   	120.55   	-147.51		
-54.63   	-73.24   	119.96   	-167.85		
-61.34   	-80.57   	119.29   	-193.29		
-61.34   	-81.18   	118.51   	-218.72		
-55.24   	-72.94   	117.64   	-249.24		
-46.08   	-59.81   	116.64   	-269.58		
-38.76   	-49.13   	115.56   	-295.01		
-37.23   	-47.91   	114.38   	-315.36		
-44.56   	-57.98   	113.12   	-325.53		
-57.37   	-74.77   	111.82   	-335.71		
-69.89   	-88.50   	110.48   	-335.71		
-74.46   	-92.47   	109.13   	-330.62		
-68.36   	-85.45   	107.81   	-325.53		
-55.24   	-73.55   	106.51   	-305.19		
-42.42   	-62.56   	105.29   	-284.84		
-36.32   	-56.76   	104.15   	-264.50		
-38.45   	-55.85   	103.09   	-244.15		
-44.56   	-57.07   	102.12   	-218.72		
-49.13   	-58.29   	101.24   	-198.37		
-49.13   	-59.20   	100.45   	-183.11		
-44.25   	-59.51   	 99.71   	-162.77		
-38.15   	-60.42   	 99.06   	-147.51		
-35.71   	-62.56   	 98.47   	-142.42		
-37.54   	-66.53   	 97.90   	-127.16		
-41.50   	-72.33   	 97.40   	-116.99		
-43.03   	-78.13   	 96.93   	-116.99		
-38.76   	-81.18   	 96.46   	-111.90		
-30.21   	-79.04   	 96.01   	-111.90		
-22.28   	-72.63   	 95.56   	-106.82		
-20.75   	-65.92   	 95.14   	-106.82		
-26.25   	-62.56   	 94.71   	-106.82		
-35.40   	-63.48   	 94.28   	-106.82		
-40.59   	-65.31   	 93.86   	-106.82		
-38.45   	-65.00   	 93.43   	-106.82		
-30.21   	-61.95   	 93.00   	-111.90		
-21.97   	-60.42   	 92.55   	-106.82		
-18.92   	-63.17   	 92.13   	-106.82		
-21.67   	-69.58   	 91.70   	-106.82		
-25.63   	-73.55   	 91.27   	-106.82		
-26.86   	-71.41   	 90.84   	-111.90		
-25.33   	-65.61   	 90.40   	-106.82		
-24.41   	-63.17   	 89.97   	-111.90		
-27.47   	-68.97   	 89.52   	-106.82		
-34.48   	-81.48   	 89.09   	-106.82		
-40.89   	-92.16   	 88.67   	-106.82		
-41.50   	-92.47   	 88.24   	-106.82		
-35.40   	-81.79   	 87.81   	-101.73		
-25.02   	-64.39   	 87.41   	-106.82		
-14.04   	-43.64   	 86.98   	-101.73		
 -4.88   	-21.97   	 86.57   	-101.73		
  1.22   	 -0.61   	 86.16   	-101.73		
  4.27   	 18.62   	 85.76   	-101.73		
  6.41   	 32.35   	 85.35   	 -96.64		
 12.21   	 39.98   	 84.96   	-101.73		
 27.16   	 47.30   	 84.56   	 -96.64		
 48.83   	 58.90   	 84.17   	 -96.64		
 65.92   	 72.33   	 83.78   	 -96.64		
 64.70   	 80.26   	 83.40   	 -91.56		
 43.33   	 75.38   	 83.03   	 -96.64		
 14.04   	 59.20   	 82.64   	 -91.56		
 -2.75   	 39.98   	 82.28   	 -91.56		
  4.88   	 27.16   	 81.91   	 -91.56		
 31.13   	 22.28   	 81.55   	 -91.56		
 59.51   	 21.36   	 81.18   	 -86.47		
 77.51   	 17.70   	 80.83   	 -91.56		
 79.65   	  8.85   	 80.47   	 -86.47		
 67.75   	 -3.97   	 80.12   	 -86.47		
 47.00   	-17.40   	 79.78   	 -81.38		
 21.06   	-29.60   	 79.45   	 -81.38		
 -4.58   	-41.50   	 79.12   	 -81.38		
-24.41   	-53.10   	 78.80   	 -76.30		
-36.01   	-66.53   	 78.49   	 -76.30		
-42.72   	-81.79   	 78.19   	 -76.30		
-49.44   	-97.66   	 77.88   	 -71.21		
-58.29   	-110.47   	 77.60   	 -71.21		
-66.53   	-117.49   	 77.31   	 -71.21		
-67.14   	-117.19   	 77.03   	 -66.12		
-57.07   	-110.78   	 76.76   	 -71.21		
-38.76   	-101.32   	 76.48   	 -66.12		
-16.78   	-88.81   	 76.22   	 -66.12		
  7.63   	-70.19   	 75.95   	 -66.12		
 36.01   	-43.03   	 75.69   	 -66.12		
 66.22   	 -8.85   	 75.42   	 -66.12		
 91.25   	 30.82   	 75.16   	 -66.12		
104.37   	 81.48   	 74.89   	 -66.12		
113.83   	159.91   	 74.63   	 -66.12		
143.13   	282.90   	 74.36   	 -66.12		
219.12   	451.36   	 74.10   	 -66.12		
350.04   	641.48   	 73.83   	 -66.12		
518.19   	816.65   	 73.57   	 -66.12		
688.78   	946.66   	 73.31   	 -66.12		
826.72   	1019.29   	 73.04   	 -66.12		
908.51   	1031.49(R)	 72.78   	 -66.12		
922.55   	979.92   	 72.51   	 -61.04		
869.45   	863.65   	 72.27   	 -66.12		
760.80   	698.24   	 72.00   	 -61.04		
617.07   	520.32   	 71.76   	 -55.95		
462.34   	368.65   	 71.54   	 -61.04		
315.25   	260.93   	 71.29   	 -55.95		
187.38   	185.55   	 71.07   	 -55.95		
 84.84   	116.58   	 70.84   	 -55.95		
 13.12   	 40.89   	 70.62   	 -50.86		
-27.16   	-32.04   	 70.42   	 -50.86		
-43.95   	-84.23   	 70.21   	 -50.86		
-48.83   	-108.34   	 70.01   	 -45.78		
-53.41   	-113.83   	 69.83   	 -45.78		
-63.17   	-116.88   	 69.64   	 -40.69		
-77.21   	-126.34   	 69.48   	 -30.52		
-90.94   	-140.08   	 69.36   	 -25.43		
-100.40   	-151.67   	 69.26   	 -15.26		
-103.45   	-156.25   	 69.20   	  -5.09		
-100.10   	-155.03   	 69.18(D)	  20.35		
-92.77   	-151.67   	 69.26   	  35.61		
-86.36   	-148.62   	 69.40   	  66.12		
-84.23   	-146.18   	 69.66   	  96.64		
-87.28   	-143.43   	 70.05   	 137.33		
-92.16   	-140.08   	 70.60   	 172.94		
-95.52   	-136.41   	 71.29   	 218.72		
-95.21   	-132.75   	 72.17   	 259.41		
-91.86   	-129.39   	 73.20   	 305.19		
-86.67   	-125.73   	 74.42   	 340.79		
-79.65   	-121.46   	 75.79   	 376.40		
-72.02   	-116.88   	 77.29   	 412.00		
-65.31   	-113.83   	 78.94   	 437.43		
-63.78   	-114.44   	 80.69   	 457.78		
-68.66   	-119.02   	 82.52   	 478.13		
-78.13   	-123.29   	 84.44   	 488.30		
-86.06   	-123.60   	 86.39   	 498.47		
-85.75   	-117.19   	 88.38   	 493.39		
-76.29   	-107.42   	 90.36   	 488.30		
-63.78   	-99.49   	 92.31   	 488.30		
-54.02   	-97.05   	 94.26   	 473.04		
-49.74   	-98.27   	 96.15   	 462.87		
-49.74   	-98.57   	 98.01   	 442.52		
-50.05   	-94.60   	 99.78   	 432.35		
-48.83   	-86.67   	101.51   	 412.00		
-46.08   	-78.13   	103.15   	 401.83		
-42.11   	-70.80   	104.76   	 376.40		
-35.10   	-64.39   	106.27   	 366.22		
-25.63   	-57.98   	107.73   	 350.97		
-16.78   	-52.80   	109.13   	 335.71		
-12.82   	-49.74   	110.48   	 320.45		
-14.65   	-48.52   	111.76   	 305.19		
-18.62   	-45.17   	112.98   	 300.10		
-18.92   	-36.32   	114.18   	 284.84		
-11.60   	-21.97   	115.32   	 274.67		
  1.22   	 -6.41   	116.42   	 264.50		
 13.73   	  4.88   	117.48   	 249.24		
 21.67   	 10.68   	118.47   	 244.15		
 25.33   	 13.73   	119.45   	 228.89		
 27.77   	 19.84   	120.37   	 218.72		
 32.35   	 31.43   	121.24   	 208.54		
 38.76   	 47.30   	122.07   	 198.37		
 44.56   	 63.78   	122.87   	 183.11		
 47.61   	 76.90   	123.60   	 172.94		
 47.91   	 84.84   	124.29   	 162.77		
 47.30   	 88.50   	124.94   	 152.59		
 47.00   	 89.42   	125.55   	 142.42		
 45.47   	 87.28   	126.12   	 127.16		
 41.20   	 82.40   	126.63   	 116.99		
 33.87   	 75.07   	127.10   	 101.73		
 25.33   	 65.61   	127.51   	  91.56		
 17.40   	 55.85   	127.87   	  81.38		
 11.29   	 47.61   	128.20   	  71.21		
  7.32   	 41.20   	128.48   	  55.95		
  4.27   	 35.71   	128.71   	  45.78		
  1.53   	 28.99   	128.89   	  35.61		
 -3.05   	 18.31   	129.03   	  20.35		
-10.07   	  3.66   	129.11   	  10.17		
-20.14   	-13.43   	129.16(S)	   0.00		
-31.43   	-30.21   	129.16   	 -10.17		
-41.20   	-42.72   	129.11   	 -25.43		
-46.39   	-48.22   	129.01   	 -40.69		
-45.78   	-47.61   	128.85   	 -50.86		
-42.42   	-44.86   	128.65   	 -61.04		
-40.89   	-44.86   	128.40   	 -76.30		
