  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
 -6.10   	-83.92   	 14.83   	 -61.04		 77.66   	-152.59		
-10.99   	-84.23   	 14.59   	 -45.78		 77.05   	-178.03		
-25.33   	-79.35   	 14.40   	 -40.69		 76.34   	-152.59		
-33.87   	-71.72   	 14.24   	 -30.52		 75.73   	-127.16		
-13.43   	-69.58   	 14.12   	 -20.35		 75.22   	 -86.47		
 -8.24   	-70.50   	 14.04   	 -20.35		 74.87   	 -55.95		
 -7.63   	-76.60   	 13.96   	  -5.09		 74.65   	 -25.43		
 -3.66   	-77.51   	 13.94   	  -5.09		 74.55   	 -15.26		
 -5.80   	-72.94   	 13.92(D)	   0.00		 74.49   	 -25.43		
 -3.36   	-73.24   	 13.92   	   5.09		 74.38   	 -55.95		
 -1.53   	-77.82   	 13.94   	  10.17		 74.16   	 -81.38		
 -7.93   	-75.99   	 13.98   	  10.17		 73.83   	 -96.64		
-10.38   	-76.60   	 14.02   	  10.17		 73.45   	-106.82		
-11.29   	-77.21   	 14.06   	  10.17		 73.02   	-132.25		
-14.65   	-72.02   	 14.10   	   5.09		 72.49   	-137.33		
 -8.54   	-76.60   	 14.12   	  10.17		 71.94   	-137.33		
 -3.97   	-78.74   	 14.16   	   5.09		 71.39   	-137.33		
 -8.54   	-81.79   	 14.18   	   0.00		 70.84   	-116.99		
-24.41   	-96.13   	 14.18   	   0.00		 70.38   	-101.73		
-27.16   	-110.78   	 14.18   	   0.00		 69.97   	 -86.47		
-29.60   	-127.56   	 14.18   	  -5.09		 69.62   	 -91.56		
-35.40   	-149.84   	 14.16   	  -5.09		 69.26   	-101.73		
-23.50   	-159.91   	 14.14   	  -5.09		 68.85   	 -91.56		
-27.16   	-162.05   	 14.12   	 -10.17		 68.48   	 -81.38		
-34.18   	-157.17   	 14.08   	  -5.09		 68.16   	 -91.56		
-32.04   	-146.48   	 14.06   	 -10.17		 67.79   	 -81.38		
-21.97   	-135.50   	 14.02   	  -5.09		 67.47   	 -61.04		
 -4.58   	-117.49   	 14.00   	  -5.09		 67.22   	 -76.30		
 16.78   	-106.51   	 13.98   	   0.00		 66.92   	 -91.56		
 36.32   	-102.54   	 13.98   	   0.00		 66.55   	 -76.30		
 49.13   	-83.62   	 13.98   	   0.00		 66.25   	 -66.12		
 57.07   	-61.95   	 13.98   	   0.00		 65.98   	 -81.38		
 42.72   	-57.37   	 13.98   	   5.09		 65.66   	 -91.56		
 25.02   	-43.64   	 14.00   	  10.17		 65.29   	 -86.47		
 17.09   	-53.41   	 14.04   	  10.17		 64.94   	 -81.38		
  1.22   	-78.74   	 14.08   	  10.17		 64.62   	 -81.38		
 -9.46   	-87.28   	 14.12   	  20.35		 64.29   	 -61.04		
-19.84   	-89.42   	 14.20   	  20.35		 64.05   	 -66.12		
-33.87   	-87.28   	 14.28   	  30.52		 63.78   	 -71.21		
-38.15   	-79.96   	 14.40   	  35.61		 63.50   	 -61.04		
-22.58   	-66.53   	 14.55   	  40.69		 63.26   	 -50.86		
  2.75   	-62.87   	 14.71   	  45.78		 63.05   	 -30.52		
