  I     	  II     	  LVp     	  LVp'		
 10.99   	 25.63   	112.92   	 -40.69		
  5.80   	 16.48   	112.76   	 -55.95		
  1.83   	  6.10   	112.53   	 -81.38		
 -1.53   	 -3.36   	112.21   	-101.73		
 -5.19   	-10.99   	111.80   	-122.07		
 -9.46   	-15.56   	111.31   	-152.59		
-14.95   	-18.92   	110.70   	-172.94		
-19.53   	-21.36   	110.01   	-198.37		
-22.58   	-24.72   	109.22   	-223.80		
-23.50   	-28.38   	108.32   	-254.32		
-22.58   	-31.43   	107.30   	-279.75		
-21.06   	-32.65   	106.18   	-315.36		
-20.75   	-32.04   	104.92   	-350.97		
-21.97   	-30.52   	103.52   	-396.74		
-25.33   	-29.30   	101.93   	-442.52		
-29.30   	-29.60   	100.16   	-498.47		
-31.74   	-29.91   	 98.17   	-549.34		
-31.43   	-29.30   	 95.97   	-610.37		
-28.69   	-26.55   	 93.53   	-661.24		
-25.02   	-22.58   	 90.88   	-717.19		
-22.89   	-18.62   	 88.02   	-757.88		
-21.06   	-18.01   	 84.98   	-798.57		
-14.95   	-25.02   	 81.79   	-829.09		
  0.61   	-44.25   	 78.47   	-849.44		
 29.60   	-80.57   	 75.08   	-859.61		
 68.97   	-135.80   	 71.64   	-864.70		
109.25   	-208.74   	 68.18   	-864.70		
138.55   	-292.66   	 64.72   	-849.44		
150.15   	-380.86   	 61.32   	-839.26		
142.82   	-470.89   	 57.97   	-818.92		
118.71   	-565.19   	 54.69   	-793.49		
 79.96   	-666.81   	 51.52   	-768.05		
 24.11   	-773.32   	 48.44   	-742.62		
-50.96   	-868.53   	 45.47   	-712.10		
-139.16   	-924.99(R)	 42.62   	-681.58		
-226.14   	-917.36   	 39.90   	-645.98		
-292.36   	-838.62   	 37.31   	-615.46		
-324.40   	-704.65   	 34.85   	-584.94		
-320.43   	-548.10   	 32.51   	-549.34		
-292.36   	-406.80   	 30.32   	-518.82		
-260.62   	-309.45   	 28.24   	-483.21		
-240.78   	-264.28   	 26.31   	-452.69		
-236.51   	-261.23   	 24.50   	-422.18		
-239.87   	-278.63   	 22.81   	-386.57		
-237.73   	-294.19   	 21.26   	-350.97		
-221.86   	-292.66   	 19.86   	-320.45		
-193.48   	-272.83   	 18.58   	-284.84		
-160.22   	-240.17   	 17.44   	-254.32		
-128.48   	-200.50   	 16.42   	-213.63		
-99.18   	-155.33   	 15.56   	-178.03		
-70.50   	-105.90   	 14.85   	-142.42		
-42.72   	-56.46   	 14.28   	-106.82		
-20.75   	-13.43   	 13.86   	 -71.21		
 -9.77   	 20.14   	 13.57   	 -35.61		
-10.38   	 46.39   	 13.43   	  -5.09		
-15.56   	 73.85   	 13.41   	  30.52		
-17.40   	107.12   	 13.53   	  61.04		
-11.60   	143.74   	 13.77   	  91.56		
 -0.61   	175.78   	 14.14   	 116.99		
  9.77   	197.14   	 14.61   	 147.51		
 17.09   	209.05   	 15.20   	 167.85		
 21.97   	216.67   	 15.87   	 193.29		
 26.25   	225.83   	 16.64   	 218.72		
 30.52   	238.34   	 17.52   	 239.06		
 35.40   	253.30   	 18.47   	 264.50		
 41.81   	269.47   	 19.53   	 279.75		
 49.74   	285.34   	 20.65   	 300.10		
 59.20   	300.60   	 21.85   	 315.36		
 68.36   	315.55   	 23.11   	 335.71		
 76.29   	331.73   	 24.46   	 340.79		
 83.92   	350.04   	 25.82   	 356.05		
 93.08   	370.79   	 27.24   	 361.14		
104.06   	393.37   	 28.69   	 376.40		
115.36   	414.73   	 30.19   	 376.40		
126.04   	434.27   	 31.70   	 381.48		
135.50   	452.27   	 33.22   	 381.48		
144.35   	469.97   	 34.75   	 381.48		
153.81   	488.89   	 36.28   	 381.48		
163.27   	507.81   	 37.80   	 371.31		
170.90   	526.43   	 39.29   	 366.22		
176.70   	544.13   	 40.75   	 356.05		
180.97   	561.22   	 42.18   	 345.88		
185.55   	577.70   	 43.56   	 330.62		
191.35   	594.18   	 44.88   	 315.36		
198.06   	609.74   	 46.14   	 300.10		
205.99   	623.78   	 47.34   	 284.84		
213.62   	635.99   	 48.48   	 259.41		
220.64   	645.75   	 49.52   	 244.15		
225.22   	651.86   	 50.50   	 223.80		
227.05   	653.69   	 51.39   	 198.37		
225.22   	650.33   	 52.19   	 172.94		
221.25   	642.70   	 52.88   	 147.51		
