  I     	  II     	  FA     	  FA'		  LV     	  LV'		
  1.53   	-46.08   	 76.81   	 -61.04		  6.92   	  -5.09		
-11.29   	-54.02   	 76.56   	 -61.04		  6.90   	   0.00		
-29.91   	-67.44   	 76.32   	 -55.95		  6.90   	   5.09		
-45.78   	-80.57   	 76.09   	 -61.04		  6.92   	   5.09		
-52.49   	-88.50   	 75.85   	 -55.95		  6.94   	   5.09		
-50.35   	-90.64   	 75.63   	 -55.95		  6.96   	  15.26		
-44.25   	-89.42   	 75.40   	 -61.04		  7.02   	  15.26		
-39.67   	-88.20   	 75.16   	 -55.95		  7.08   	  20.35		
-38.15   	-88.81   	 74.93   	 -61.04		  7.16   	  25.43		
-38.15   	-90.03   	 74.69   	 -55.95		  7.26   	  25.43		
-36.93   	-89.42   	 74.47   	 -55.95		  7.37   	  35.61		
-34.79   	-86.98   	 74.24   	 -61.04		  7.51   	  30.52		
-36.01   	-84.84   	 74.00   	 -55.95		  7.63   	  35.61		
-43.03   	-85.14   	 73.77   	 -55.95		  7.77   	  40.69		
-53.41   	-88.81   	 73.55   	 -55.95		  7.93   	  35.61		
-63.17   	-93.99   	 73.33   	 -61.04		  8.08   	  35.61		
-66.83   	-97.05   	 73.08   	 -55.95		  8.22   	  30.52		
-63.78   	-95.21   	 72.86   	 -61.04		  8.34   	  30.52		
-59.20   	-92.16   	 72.61   	 -61.04		  8.46   	  25.43		
-59.51   	-91.86   	 72.37   	 -55.95		  8.57   	  20.35		
-65.61   	-93.38   	 72.15   	 -61.04		  8.65   	  20.35		
-73.55   	-86.36   	 71.90   	 -61.04		  8.73   	  20.35		
-73.24   	-57.37   	 71.66   	 -55.95		  8.81   	  20.35		
-52.49   	 -1.83   	 71.43   	 -61.04		  8.89   	  20.35		
 -0.92   	 71.72   	 71.19   	 -55.95		  8.97   	  25.43		
 87.28   	145.26   	 70.97   	 -55.95		  9.07   	  25.43		
205.38   	206.30   	 70.74   	 -50.86		  9.18   	  35.61		
335.39   	261.54   	 70.54   	 -50.86		  9.32   	  35.61		
449.52   	330.51   	 70.34   	 -55.95		  9.46   	  35.61		
518.49   	420.84   	 70.11   	 -45.78		  9.60   	  45.78		
515.44   	510.86   	 69.93   	 -50.86		  9.79   	  40.69		
429.38   	560.91(R)	 69.73   	 -45.78		  9.95(E)	  45.78		
275.57   	538.94   	 69.54   	 -45.78		 10.13   	  50.86		
 94.60   	439.45   	 69.36   	 -45.78		 10.34   	  50.86		
-60.12   	292.36   	 69.18   	 -40.69		 10.54   	  55.95		
-146.79   	142.52   	 69.01   	 -45.78		 10.76   	  71.21		
-159.61   	 19.84   	 68.83   	 -35.61		 11.05   	  91.56		
-126.95   	-63.17   	 68.69   	 -40.69		 11.41   	 111.90		
-88.20   	-106.51   	 68.52   	 -35.61		 11.86   	 147.51		
-67.44   	-115.97   	 68.38   	 -35.61		 12.45   	 193.29		
-64.09   	-102.54   	 68.24   	 -35.61		 13.22   	 249.24		
