  I     	  II     	  FA     	  FA'		  AOp     	  AOp'		
 25.63   	-24.11   	 78.82   	 -66.12		 81.00   	 -45.78		
 13.12   	-30.52   	 78.56   	 -61.04		 80.81   	 -50.86		
  2.75   	-37.54   	 78.31   	 -66.12		 80.61   	 -50.86		
 -4.58   	-48.83   	 78.05   	 -61.04		 80.41   	 -50.86		
-12.21   	-65.92   	 77.80   	 -61.04		 80.20   	 -55.95		
-22.89   	-85.14   	 77.56   	 -61.04		 79.98   	 -55.95		
-35.10   	-101.01   	 77.31   	 -61.04		 79.76   	 -66.12		
-44.56   	-108.64   	 77.07   	 -61.04		 79.49   	 -66.12		
-47.00   	-107.73   	 76.83   	 -61.04		 79.23   	 -71.21		
-42.72   	-100.71   	 76.58   	 -55.95		 78.94   	 -76.30		
-34.79   	-91.86   	 76.36   	 -50.86		 78.64   	 -76.30		
-28.69   	-84.84   	 76.15   	 -50.86		 78.33   	 -76.30		
-28.69   	-82.70   	 75.95   	 -50.86		 78.03   	 -76.30		
-34.48   	-85.45   	 75.75   	 -50.86		 77.72   	 -76.30		
-43.03   	-91.86   	 75.54   	 -45.78		 77.42   	 -76.30		
-50.35   	-98.88   	 75.36   	 -45.78		 77.11   	 -71.21		
-52.80   	-102.23   	 75.18   	 -50.86		 76.83   	 -71.21		
-49.13   	-100.71   	 74.97   	 -50.86		 76.54   	 -66.12		
-42.42   	-94.91   	 74.77   	 -50.86		 76.28   	 -61.04		
-37.23   	-87.59   	 74.57   	 -50.86		 76.03   	 -61.04		
-36.32   	-82.40   	 74.36   	 -55.95		 75.79   	 -66.12		
-39.37   	-81.18   	 74.14   	 -50.86		 75.52   	 -61.04		
-45.47   	-84.84   	 73.94   	 -61.04		 75.28   	 -61.04		
-52.49   	-88.50   	 73.69   	 -55.95		 75.04   	 -66.12		
-59.51   	-83.31   	 73.47   	 -55.95		 74.77   	 -66.12		
-61.95   	-57.37   	 73.24   	 -50.86		 74.51   	 -61.04		
-50.66   	 -4.88   	 73.04   	 -55.95		 74.26   	 -66.12		
-11.29   	 71.11   	 72.82   	 -45.78		 74.00   	 -66.12		
 67.14   	155.64   	 72.63   	 -50.86		 73.73   	 -66.12		
184.33   	233.76   	 72.43   	 -45.78		 73.47   	 -61.04		
323.49   	302.73   	 72.25   	 -40.69		 73.22   	 -55.95		
454.10   	374.15   	 72.09   	 -45.78		 73.00   	 -55.95		
541.99   	458.37   	 71.90   	 -40.69		 72.78   	 -50.86		
556.95   	542.91   	 71.74   	 -40.69		 72.57   	 -45.78		
487.06   	593.87(R)	 71.58   	 -35.61		 72.39   	 -40.69		
344.24   	577.39   	 71.43   	 -40.69		 72.23   	 -45.78		
165.71   	482.18   	 71.27   	 -40.69		 72.04   	 -40.69		
  3.05   	334.47   	 71.11   	 -40.69		 71.88   	 -40.69		
-100.40   	182.80   	 70.95   	 -40.69		 71.72   	 -40.69		
-129.39   	 63.48   	 70.78   	 -45.78		 71.56   	 -45.78		
-104.06   	-12.51   	 70.60   	 -45.78		 71.37   	 -50.86		
-62.87   	-51.88   	 70.42   	 -45.78		 71.17   	 -50.86		
-37.23   	-67.44   	 70.23   	 -45.78		 70.97   	 -55.95		
-35.10   	-70.19   	 70.05   	 -50.86		 70.74   	 -55.95		
-44.56   	-65.61   	 69.85   	 -55.95		 70.52   	 -61.04		
-50.05   	-57.07   	 69.62   	 -55.95		 70.27   	 -55.95		
-45.47   	-49.44   	 69.40   	 -55.95		 70.05   	 -61.04		
-36.62   	-47.30   	 69.18   	 -61.04		 69.81   	 -61.04		
-31.74   	-52.19   	 68.93   	 -61.04		 69.56   	 -50.86		
-31.74   	-60.12   	 68.69   	 -66.12		 69.36   	 -50.86		
-34.48   	-66.53   	 68.42   	 -66.12		 69.16   	 -40.69		
-36.01   	-68.05   	 68.16   	 -66.12		 68.99   	 -35.61		
-35.40   	-65.00   	 67.89   	 -66.12		 68.85   	 -25.43		
-33.57   	-61.65   	 67.63   	 -66.12		 68.75   	 -15.26		
-32.65   	-61.95   	 67.36   	 -66.12		 68.69   	  -5.09		
-32.35   	-64.70   	 67.10   	 -61.04		 68.67(D)	   5.09		
-31.13   	-65.92   	 66.86   	 -61.04		 68.69   	  25.43		
-28.38   	-63.78   	 66.61   	 -55.95		 68.79   	  50.86		
-24.41   	-61.34   	 66.39   	 -50.86		 68.99   	  71.21		
-21.06   	-61.65   	 66.18   	 -50.86		 69.28   	  96.64		
-21.06   	-63.17   	 65.98   	 -40.69		 69.66   	 127.16		
-24.41   	-62.56   	 65.82   	 -35.61		 70.17   	 157.68		
-29.60   	-56.76   	 65.68   	 -30.52		 70.80   	 193.29		
-32.65   	-47.91   	 65.55   	 -25.43		 71.58   	 213.63		
-30.82   	-40.59   	 65.45   	 -15.26		 72.43   	 249.24		
-24.41   	-39.67   	 65.39(D)	   5.09		 73.43   	 264.50		
-17.09   	-45.78   	 65.41   	  35.61		 74.49   	 289.93		
-12.82   	-53.41   	 65.55   	  76.30		 75.65   	 300.10		
-11.60   	-58.29   	 65.86   	 142.42		 76.85   	 315.36		
-11.90   	-56.15   	 66.43   	 233.98		 78.11   	 325.53		
-11.90   	-47.61   	 67.36   	 335.71		 79.41   	 330.62		
 -9.77   	-36.62   	 68.71   	 432.35		 80.73   	 335.71		
 -5.49   	-28.38   	 70.44   	 534.08		 82.07   	 340.79		
 -1.53   	-25.02   	 72.57   	 610.37		 83.44   	 345.88		
  0.92   	-25.94   	 75.01   	 671.41		 84.82   	 345.88		
  1.22   	-28.69   	 77.70   	 712.10		 86.21   	 356.05		
 -1.53   	-32.04   	 80.55   	 742.62		 87.63   	 361.14		
 -6.10   	-35.71   	 83.52   	 762.97		 89.07   	 371.31		
 -8.24   	-39.06   	 86.57   	 768.05		 90.56   	 381.48		
 -3.66   	-39.37   	 89.64   	 768.05		 92.09   	 396.74		
  9.16   	-32.65   	 92.72   	 768.05		 93.67   	 412.00		
 26.55   	-18.62   	 95.79   	 757.88		 95.32   	 427.26		
 41.20   	 -1.53   	 98.82   	 752.79		 97.03   	 437.43		
 46.69   	 10.38   	101.83   	 732.45		 98.78   	 442.52		
 42.11   	 13.43   	104.76   	 722.28		100.55   	 452.69		
 34.18   	 10.38   	107.65   	 696.84		102.36   	 457.78		
 30.52   	  7.32   	110.44   	 676.50		104.19   	 452.69		
 33.57   	  8.54   	113.14   	 640.89		106.00   	 452.69		
 40.89   	 14.04   	115.71   	 610.37		107.81   	 447.61		
 49.13   	 20.75   	118.15   	 579.86		109.60   	 437.43		
 57.07   	 25.94   	120.47   	 539.16		111.35   	 427.26		
 65.31   	 30.82   	122.62   	 503.56		113.06   	 412.00		
 74.46   	 36.62   	124.64   	 467.95		114.71   	 391.66		
 81.48   	 44.25   	126.51   	 437.43		116.28   	 371.31		
 83.31   	 50.96   	128.26   	 401.83		117.76   	 356.05		
 80.87   	 54.32   	129.87   	 371.31		119.19   	 330.62		
 78.43   	 53.41   	131.35   	 340.79		120.51   	 310.27		
 82.09   	 53.10   	132.72   	 310.27		121.75   	 295.01		
 91.86   	 58.29   	133.96   	 289.93		122.93   	 279.75		
101.93   	 70.80   	135.12   	 264.50		124.05   	 259.41		
108.34   	 86.06   	136.17   	 244.15		125.09   	 254.32		
108.64   	 97.96   	137.15   	 218.72		126.10   	 233.98		
104.98   	102.23   	138.03   	 203.46		127.04   	 223.80		
102.23   	101.62   	138.84   	 183.11		127.93   	 213.63		
102.54   	102.23   	139.57   	 157.68		128.79   	 193.29		
103.45   	106.81   	140.20   	 142.42		129.56   	 178.03		
100.40   	111.39   	140.77   	 116.99		130.27   	 167.85		
 91.86   	111.08   	141.24   	  96.64		130.95   	 147.51		
 79.35   	103.15   	141.63   	  76.30		131.54   	 127.16		
 64.70   	 88.50   	141.93   	  55.95		132.04   	 116.99		
 49.74   	 70.50   	142.16   	  35.61		132.51   	  96.64		
 34.18   	 51.88   	142.30   	  20.35		132.90   	  86.47		
 18.62   	 33.26   	142.38(S)	   0.00		133.24   	  66.12		
  6.71   	 17.70   	142.38   	 -10.17		133.51   	  50.86		
  0.31   	  7.32   	142.34   	 -25.43		133.71   	  35.61		
 -2.44   	  2.44   	142.24   	 -35.61		133.86   	  20.35		
 -6.41   	  0.00   	142.10   	 -50.86		133.94   	  10.17		
-16.48   	 -5.49   	141.89   	 -55.95		133.98(S)	 -10.17		
-30.52   	-17.40   	141.67   	 -71.21		133.94   	 -20.35		
-42.11   	-32.35   	141.38   	 -81.38		133.86   	 -30.52		
-44.56   	-44.25   	141.06   	 -91.56		133.73   	 -45.78		
-39.98   	-49.74   	140.69   	 -96.64		133.55   	 -50.86		
-34.79   	-49.74   	140.30   	-106.82		133.35   	 -66.12		
-33.26   	-47.30   	139.88   	-116.99		133.08   	 -71.21		
-36.01   	-47.00   	139.41   	-132.25		132.80   	 -76.30		
-41.50   	-50.66   	138.88   	-137.33		132.49   	 -81.38		
-46.08   	-56.76   	138.33   	-147.51		132.17   	 -91.56		
-49.13   	-60.42   	137.74   	-162.77		131.80   	 -96.64		
-50.66   	-58.90   	137.09   	-172.94		131.41   	-106.82		
-50.35   	-51.88   	136.40   	-188.20		130.99   	-116.99		
-47.30   	-42.42   	135.65   	-203.46		130.52   	-122.07		
-43.33   	-38.15   	134.83   	-218.72		130.03   	-142.42		
-41.50   	-42.42   	133.96   	-233.98		129.46   	-152.59		
-41.81   	-51.88   	133.02   	-249.24		128.85   	-178.03		
-43.95   	-60.12   	132.02   	-269.58		128.14   	-198.37		
-46.08   	-62.56   	130.95   	-289.93		127.34   	-223.80		
-46.39   	-58.90   	129.79   	-310.27		126.45   	-254.32		
-43.95   	-53.10   	128.54   	-330.62		125.43   	-279.75		
-40.28   	-49.13   	127.22   	-350.97		124.31   	-305.19		
-38.45   	-49.13   	125.82   	-371.31		123.09   	-320.45		
-39.98   	-51.88   	124.33   	-391.66		121.81   	-330.62		
-43.64   	-53.71   	122.77   	-412.00		120.49   	-335.71		
-46.08   	-51.27   	121.12   	-432.35		119.15   	-330.62		
-45.78   	-43.95   	119.39   	-442.52		117.82   	-320.45		
-42.72   	-35.71   	117.62   	-447.61		116.54   	-310.27		
-40.59   	-32.04   	115.83   	-447.61		115.30   	-289.93		
-40.89   	-35.40   	114.04   	-437.43		114.14   	-279.75		
-42.72   	-42.72   	112.29   	-417.09		113.02   	-259.41		
-45.17   	-50.05   	110.62   	-391.66		111.98   	-249.24		
-47.61   	-54.93   	109.05   	-366.22		110.99   	-233.98		
-50.05   	-57.37   	107.59   	-335.71		110.05   	-223.80		
-50.66   	-55.85   	106.25   	-315.36		109.16   	-213.63		
-46.39   	-49.13   	104.98   	-284.84		108.30   	-203.46		
-36.62   	-38.15   	103.84   	-269.58		107.49   	-198.37		
-26.55   	-28.69   	102.77   	-254.32		106.69   	-193.29		
-23.80   	-28.69   	101.75   	-239.06		105.92   	-193.29		
-30.21   	-38.76   	100.79   	-223.80		105.15   	-188.20		
-40.89   	-53.10   	 99.90   	-218.72		104.39   	-188.20		
