  I     	  II     	  LV     	  LV'		
-171.20   	144.35   	 71.39   	 696.84		
-172.73   	146.18   	 74.18   	 671.41		
-173.95   	150.15   	 76.87   	 645.98		
-175.78   	154.72   	 79.45   	 635.81		
-177.92   	158.39   	 81.99   	 615.46		
-180.66   	159.91   	 84.46   	 610.37		
-184.02   	159.91   	 86.90   	 595.11		
-187.07   	160.52   	 89.28   	 579.86		
-189.51   	162.66   	 91.60   	 559.51		
-191.04   	166.32   	 93.83   	 534.08		
-192.87   	169.98   	 95.97   	 508.65		
-195.62   	172.42   	 98.01   	 483.21		
-199.89   	173.03   	 99.94   	 457.78		
-205.38   	172.42   	101.77   	 437.43		
-211.18   	172.12   	103.52   	 427.26		
-216.98   	172.73   	105.23   	 422.18		
-222.17   	174.87   	106.92   	 412.00		
-227.05   	177.61   	108.57   	 401.83		
-232.54   	180.05   	110.17   	 401.83		
-238.34   	181.88   	111.78   	 396.74		
-243.84   	183.41   	113.37   	 386.57		
-249.33   	185.24   	114.91   	 376.40		
-254.82   	187.68   	116.42   	 366.22		
-260.62   	190.43   	117.88   	 350.97		
-267.33   	192.57   	119.29   	 340.79		
-274.66   	194.09   	120.65   	 330.62		
-281.68   	195.31   	121.97   	 310.27		
-287.78   	197.45   	123.21   	 300.10		
-291.75   	201.11   	124.41   	 289.93		
-293.58   	205.99   	125.57   	 274.67		
-292.66   	211.18   	126.67   	 264.50		
-289.92   	216.67   	127.73   	 254.32		
-285.64   	222.17   	128.75   	 239.06		
-280.15   	228.58   	129.70   	 228.89		
-273.44   	234.68   	130.62   	 213.63		
-264.89   	240.17   	131.47   	 198.37		
-254.21   	243.53   	132.27   	 188.20		
-240.78   	245.36   	133.02   	 172.94		
-224.61   	246.58   	133.71   	 152.59		
-206.30   	248.11   	134.32   	 142.42		
-187.07   	249.63   	134.89   	 127.16		
-167.54   	249.33   	135.40   	 111.90		
-147.09   	245.67   	135.85   	  91.56		
-126.34   	238.34   	136.22   	  81.38		
-105.29   	227.05   	136.54   	  61.04		
-84.53   	212.71   	136.78   	  50.86		
-64.70   	196.53   	136.99   	  35.61		
-46.39   	179.75   	137.13   	  15.26		
-29.60   	163.27   	137.19(S)	   0.00		
-14.65   	147.40   	137.19   	 -20.35		
 -2.14   	131.53   	137.11   	 -45.78		
  6.71   	115.97   	136.93   	 -76.30		
 13.12   	101.93   	136.62   	-101.73		
 17.40   	 90.03   	136.22   	-127.16		
 20.75   	 80.57   	135.71   	-162.77		
 23.50   	 72.63   	135.06   	-193.29		
 24.72   	 64.39   	134.28   	-213.63		
 24.11   	 55.85   	133.43   	-244.15		
 21.67   	 47.91   	132.45   	-269.58		
 18.31   	 41.81   	131.37   	-289.93		
 15.56   	 37.84   	130.21   	-305.19		
 14.04   	 35.71   	128.99   	-325.53		
 13.73   	 34.79   	127.69   	-335.71		
 14.04   	 33.57   	126.35   	-345.88		
 14.04   	 32.35   	124.96   	-350.97		
 13.73   	 30.52   	123.56   	-361.14		
 12.51   	 28.69   	122.12   	-371.31		
 10.99   	 27.16   	120.63   	-396.74		
  9.16   	 25.33   	119.04   	-432.35		
  7.63   	 24.11   	117.31   	-467.95		
  7.02   	 23.50   	115.44   	-508.65		
  7.02   	 23.50   	113.41   	-559.51		
  6.71   	 22.89   	111.17   	-610.37		
  4.88   	 21.67   	108.73   	-640.89		
  1.83   	 18.92   	106.16   	-681.58		
 -1.22   	 15.26   	103.44   	-701.93		
 -2.75   	 11.90   	100.63   	-717.19		
 -2.75   	  9.77   	 97.76   	-732.45		
 -1.53   	  8.85   	 94.83   	-742.62		
 -0.92   	  8.24   	 91.86   	-747.71		
 -1.53   	  7.63   	 88.87   	-757.88		
 -3.05   	  7.02   	 85.84   	-768.05		
 -3.97   	  6.10   	 82.77   	-773.14		
 -4.88   	  5.80   	 79.67   	-783.31		
 -5.19   	  5.19   	 76.54   	-793.49		
 -5.49   	  4.88   	 73.37   	-788.40		
 -6.10   	  4.88   	 70.21   	-788.40		
 -6.41   	  5.49   	 67.06   	-778.23		
 -6.71   	  6.71   	 63.95   	-768.05		
 -7.02   	  7.63   	 60.87   	-747.71		
 -7.32   	  8.24   	 57.88   	-727.36		
 -8.24   	  8.54   	 54.97   	-707.02		
 -9.46   	  7.93   	 52.15   	-681.58		
-11.60   	  7.02   	 49.42   	-666.32		
-13.73   	  6.10   	 46.75   	-640.89		
-15.87   	  5.19   	 44.19   	-625.63		
-17.09   	  5.19   	 41.69   	-600.20		
-17.70   	  6.10   	 39.29   	-590.03		
-17.40   	  7.93   	 36.93   	-569.68		
-16.78   	  9.77   	 34.65   	-549.34		
-16.78   	 10.68   	 32.45   	-534.08		
-17.09   	 11.29   	 30.32   	-523.90		
-18.01   	 11.29   	 28.22   	-503.56		
-19.23   	 11.60   	 26.21   	-488.30		
-20.14   	 12.21   	 24.25   	-467.95		
-21.06   	 12.82   	 22.38   	-452.69		
-21.06   	 13.12   	 20.57   	-422.18		
-20.75   	 13.12   	 18.88   	-396.74		
-19.84   	 13.12   	 17.29   	-371.31		
-19.23   	 13.12   	 15.81   	-335.71		
-19.53   	 13.12   	 14.47   	-305.19		
-20.75   	 12.82   	 13.25   	-274.67		
-21.97   	 11.90   	 12.15   	-239.06		
-22.89   	 11.60   	 11.19   	-218.72		
-21.97   	 12.82   	 10.32   	-193.29		
-19.84   	 14.95   	  9.54   	-172.94		
-17.09   	 17.70   	  8.85   	-157.68		
-14.95   	 19.53   	  8.22   	-137.33		
-14.04   	 19.84   	  7.67   	-127.16		
-13.73   	 18.92   	  7.16   	-111.90		
-13.12   	 18.01   	  6.71   	 -96.64		
-11.29   	 17.09   	  6.33   	 -81.38		
 -9.16   	 16.78   	  6.00   	 -71.21		
 -8.54   	 16.48   	  5.72   	 -61.04		
-10.07   	 16.78   	  5.47   	 -45.78		
-12.51   	 17.09   	  5.29   	 -40.69		
-14.04   	 18.01   	  5.13   	 -25.43		
-12.82   	 19.84   	  5.03   	 -25.43		
 -9.46   	 24.11   	  4.92   	 -15.26		
 -4.88   	 32.35   	  4.86   	 -15.26		
 -1.22   	 46.08   	  4.80   	  -5.09		
  2.14   	 65.31   	  4.78   	  -5.09		
  5.19   	 87.59   	  4.76   	  -5.09		
  8.54   	107.73   	  4.74(D)	   5.09		
 11.90   	121.15   	  4.76   	   5.09		
 14.34   	125.43   	  4.78   	  10.17		
 15.26   	122.99   	  4.82   	  10.17		
 15.26   	119.02   	  4.86   	  15.26		
 14.34   	119.02   	  4.92   	  10.17		
 13.43   	124.21   	  4.96   	  15.26		
 13.73   	131.84   	  5.03   	  15.26		
 16.48   	137.94   	  5.09   	  15.26		
 21.36   	140.38   	  5.15   	  10.17		
 27.77   	139.47   	  5.19   	  10.17		
 34.18   	137.02   	  5.23   	   5.09		
 39.37   	133.67   	  5.25   	  10.17		
 43.95   	127.56   	  5.29   	  10.17		
 49.13   	116.27   	  5.33   	   5.09		
 56.46   	 97.96   	  5.35   	  10.17		
 64.09   	 71.72   	  5.39   	  15.26		
 68.66   	 42.11   	  5.45   	  10.17		
 68.05   	 15.87   	  5.49   	  10.17		
 61.95   	  0.00   	  5.53   	  10.17		
 53.10   	 -2.14   	  5.57   	  10.17		
 44.86   	  7.32   	  5.62   	  10.17		
 39.06   	 20.45   	  5.66   	   5.09		
 33.87   	 29.30   	  5.68   	  10.17		
 27.47   	 27.47   	  5.72   	  15.26		
 19.23   	 14.95   	  5.78   	  10.17		
  9.46   	 -3.97   	  5.82   	  10.17		
  0.92   	-23.19   	  5.86   	  15.26		
 -4.88   	-35.71   	  5.92   	  15.26		
 -7.32   	-39.37   	  5.98   	  15.26		
 -7.63   	-36.62   	  6.04   	  20.35		
 -7.63   	-32.65   	  6.12   	  20.35		
 -9.16   	-31.13   	  6.21   	  20.35		
-12.82   	-33.57   	  6.29   	  25.43		
-17.70   	-38.15   	  6.39   	  25.43		
-21.36   	-42.72   	  6.49   	  25.43		
-22.89   	-45.17   	  6.59   	  25.43		
-21.97   	-45.78   	  6.69   	  25.43		
-20.45   	-44.86   	  6.80   	  25.43		
-18.92   	-43.33   	  6.90   	  30.52		
-18.31   	-41.50   	  7.02   	  25.43		
-18.62   	-39.98   	  7.12   	  25.43		
-19.23   	-39.06   	  7.22   	  30.52		
-20.45   	-38.76   	  7.34   	  30.52		
-21.36   	-38.76   	  7.47   	  35.61		
-21.97   	-39.37   	  7.61   	  40.69		
-21.36   	-39.37   	  7.77   	  45.78		
-19.84   	-38.15   	  7.96   	  50.86		
-17.40   	-35.71   	  8.16   	  50.86		
-14.95   	-32.35   	  8.36   	  61.04		
-13.12   	-30.21   	  8.61   	  61.04		
-13.12   	-30.52   	  8.85   	  66.12		
-14.65   	-32.65   	  9.11   	  66.12		
-16.78   	-35.10   	  9.38   	  66.12		
-17.70   	-35.71   	  9.64   	  71.21		
-17.09   	-34.48   	  9.93   	  71.21		
-14.95   	-31.74   	 10.21   	  66.12		
-13.12   	-29.30   	 10.48   	  66.12		
-11.90   	-27.47   	 10.74   	  55.95		
-10.38   	-26.55   	 10.97   	  50.86		
 -8.24   	-26.86   	 11.17   	  40.69		
 -5.19   	-27.16   	 11.33   	  30.52		
 -1.83   	-26.55   	 11.45   	  20.35		
  1.22   	-23.80   	 11.54   	   5.09		
  4.88   	-17.09   	 11.56   	  -5.09		
 11.29   	 -5.49   	 11.54   	 -10.17		
 22.58   	 10.68   	 11.50   	 -20.35		
 39.98   	 31.13   	 11.41   	 -25.43		
 63.78   	 57.98   	 11.31   	 -30.52		
 93.99   	 95.52   	 11.19   	 -25.43		
128.78   	143.13   	 11.09   	 -30.52		
166.63   	185.85   	 10.97   	 -25.43		
204.16   	196.23   	 10.86   	 -25.43		
238.04   	146.18   	 10.76   	 -20.35		
