  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
  3.05   	 83.31   	 91.92   	  96.64		100.55   	-162.77		
  6.41   	 86.98   	 92.31   	  61.04		 99.90   	-157.68		
  9.16   	 86.06   	 92.55   	  20.35		 99.27   	-157.68		
 10.07   	 81.18   	 92.63   	   0.00		 98.64   	-152.59		
 18.62   	 82.40   	 92.63   	 -15.26		 98.03   	-157.68		
 15.87   	 70.50   	 92.57   	 -30.52		 97.40   	-157.68		
 11.90   	 67.75   	 92.45   	 -40.69		 96.76   	-157.68		
 10.99   	 62.26   	 92.29   	 -55.95		 96.13   	-162.77		
  6.10   	 57.07   	 92.06   	 -86.47		 95.48   	-167.85		
 -3.05   	 57.68   	 91.72   	-101.73		 94.81   	-167.85		
 -5.19   	 53.71   	 91.31   	-122.07		 94.14   	-172.94		
 -9.16   	 56.15   	 90.82   	-122.07		 93.45   	-172.94		
 -7.63   	 56.76   	 90.34   	-106.82		 92.76   	-172.94		
  2.14   	 54.32   	 89.91   	 -86.47		 92.06   	-167.85		
  9.77   	 57.37   	 89.56   	 -66.12		 91.39   	-167.85		
  8.54   	 54.02   	 89.30   	 -50.86		 90.72   	-162.77		
  2.44   	 47.00   	 89.09   	 -45.78		 90.07   	-157.68		
 -7.32   	 47.30   	 88.91   	 -50.86		 89.44   	-147.51		
-15.56   	 42.11   	 88.71   	 -61.04		 88.85   	-132.25		
-10.38   	 39.37   	 88.46   	 -76.30		 88.32   	-116.99		
 -7.63   	 39.37   	 88.16   	 -81.38		 87.85   	-111.90		
 -4.88   	 39.98   	 87.83   	 -81.38		 87.41   	 -96.64		
  0.00   	 45.78   	 87.51   	 -71.21		 87.02   	 -86.47		
-14.04   	 46.69   	 87.22   	 -61.04		 86.67   	 -76.30		
-23.19   	 43.64   	 86.98   	 -55.95		 86.37   	 -76.30		
-18.31   	 48.83   	 86.75   	 -45.78		 86.06   	 -71.21		
-23.50   	 45.17   	 86.57   	 -50.86		 85.78   	 -66.12		
-25.33   	 41.81   	 86.37   	 -61.04		 85.51   	 -71.21		
-22.28   	 44.56   	 86.12   	 -71.21		 85.23   	 -66.12		
-29.30   	 39.98   	 85.84   	 -81.38		 84.96   	 -61.04		
-38.15   	 34.79   	 85.51   	 -96.64		 84.72   	 -66.12		
-27.47   	 45.47   	 85.13   	 -96.64		 84.46   	 -66.12		
-23.19   	 47.61   	 84.74   	 -96.64		 84.19   	 -61.04		
-17.70   	 48.83   	 84.35   	 -86.47		 83.95   	 -61.04		
 -6.10   	 57.07   	 84.01   	 -81.38		 83.70   	 -61.04		
 -3.36   	 56.76   	 83.68   	 -71.21		 83.46   	 -55.95		
  0.31   	 58.59   	 83.40   	 -61.04		 83.23   	 -61.04		
  6.10   	 71.41   	 83.15   	 -50.86		 82.99   	 -50.86		
 11.90   	 73.85   	 82.95   	 -45.78		 82.79   	 -55.95		
 14.34   	 67.14   	 82.77   	 -45.78		 82.56   	 -50.86		
 37.84   	 81.18   	 82.58   	 -40.69		 82.36   	 -50.86		
 49.74   	 77.51   	 82.42   	 -40.69		 82.16   	 -45.78		
 61.65   	 81.79   	 82.26   	 -40.69		 81.97   	 -45.78		
 70.80   	 93.38   	 82.10   	 -40.69		 81.79   	 -45.78		
 61.34   	 89.11   	 81.93   	 -40.69		 81.61   	 -40.69		
 63.48   	 97.05   	 81.77   	 -45.78		 81.44   	 -45.78		
 72.63   	106.81   	 81.59   	 -45.78		 81.26   	 -40.69		
 99.79   	111.69   	 81.40   	 -50.86		 81.10   	 -40.69		
131.53   	124.21   	 81.20   	 -50.86		 80.94   	 -40.69		
151.67   	133.97   	 81.00   	 -50.86		 80.77   	 -35.61		
151.06   	130.92   	 80.79   	 -61.04		 80.63   	 -40.69		
143.74   	147.71   	 80.55   	 -55.95		 80.47   	 -35.61		
134.58   	164.49   	 80.33   	 -61.04		 80.33   	 -40.69		
138.85   	181.88   	 80.08   	 -61.04		 80.16   	 -40.69		
161.44   	204.16   	 79.84   	 -61.04		 80.00   	 -35.61		
155.33   	208.74   	 79.59   	 -66.12		 79.86   	 -40.69		
144.96   	200.81   	 79.33   	 -61.04		 79.69   	 -40.69		
133.06   	184.02   	 79.08   	 -55.95		 79.53   	 -35.61		
104.68   	179.75   	 78.86   	 -61.04		 79.39   	 -40.69		
 94.91   	178.22   	 78.62   	 -55.95		 79.23   	 -30.52		
 80.57   	168.46   	 78.39   	 -55.95		 79.10   	 -35.61		
 46.08   	140.38   	 78.17   	 -55.95		 78.96   	 -30.52		
 13.12   	100.10   	 77.94   	 -50.86		 78.84   	 -30.52		
 -3.66   	 69.27   	 77.74   	 -50.86		 78.72   	 -30.52		
-18.92   	 50.05   	 77.54   	 -50.86		 78.60   	 -25.43		
-38.15   	 50.96   	 77.33   	 -45.78		 78.49   	 -30.52		
-48.22   	 56.15   	 77.15   	 -35.61		 78.37   	 -25.43		
-57.37   	 45.47   	 77.01   	 -35.61		 78.27   	 -30.52		
-65.00   	 42.11   	 76.87   	 -25.43		 78.15   	 -25.43		
-55.85   	 40.59   	 76.76   	 -20.35		 78.05   	 -25.43		
-48.22   	 45.47   	 76.68   	 -20.35		 77.94   	 -30.52		
-48.52   	 50.96   	 76.60   	 -20.35		 77.82   	 -30.52		
-45.78   	 50.66   	 76.52   	 -20.35		 77.70   	 -30.52		
-41.20   	 55.54   	 76.44   	 -25.43		 77.58   	 -30.52		
-41.20   	 49.74   	 76.34   	 -30.52		 77.46   	 -30.52		
-39.37   	 53.71   	 76.22   	 -35.61		 77.33   	 -30.52		
-46.39   	 52.19   	 76.07   	 -40.69		 77.21   	 -35.61		
-53.10   	 48.83   	 75.91   	 -40.69		 77.07   	 -30.52		
-52.80   	 50.66   	 75.75   	 -45.78		 76.95   	 -35.61		
-54.63   	 49.74   	 75.56   	 -55.95		 76.81   	 -35.61		
-53.71   	 51.57   	 75.34   	 -61.04		 76.66   	 -35.61		
-53.10   	 51.57   	 75.10   	 -66.12		 76.52   	 -35.61		
-52.49   	 52.49   	 74.83   	 -66.12		 76.38   	 -30.52		
-43.95   	 54.63   	 74.57   	 -61.04		 76.26   	 -35.61		
-45.17   	 56.46   	 74.32   	 -50.86		 76.11   	 -35.61		
-34.48   	 62.87   	 74.12   	 -40.69		 75.97   	 -40.69		
-31.13   	 59.81   	 73.96   	 -25.43		 75.81   	 -35.61		
-43.95   	 53.71   	 73.86   	 -20.35		 75.67   	 -35.61		
-61.04   	 47.00   	 73.77   	 -20.35		 75.52   	 -40.69		
-79.96   	 27.77   	 73.69   	 -25.43		 75.36   	 -35.61		
-77.21   	  6.71   	 73.59   	 -30.52		 75.22   	 -40.69		
-39.98   	-13.73   	 73.47   	 -35.61		 75.06   	 -40.69		
 43.33   	-13.43   	 73.33   	 -35.61		 74.89   	 -40.69		
129.39   	  7.32   	 73.18   	 -45.78		 74.73   	 -45.78		
242.31   	 73.55   	 73.00   	 -45.78		 74.55   	 -40.69		
341.19   	161.13   	 72.82   	 -50.86		 74.38   	 -40.69		
451.36   	268.25   	 72.61   	 -55.95		 74.22   	 -35.61		
554.20   	412.60   	 72.39   	 -61.04		 74.08   	 -40.69		
620.12   	576.17   	 72.15   	 -71.21		 73.92   	 -35.61		
690.61   	722.96   	 71.86   	 -66.12		 73.77   	 -30.52		
692.44   	773.32   	 71.60   	 -66.12		 73.65   	 -35.61		
521.24   	612.49   	 71.33   	 -55.95		 73.51   	 -30.52		
296.02   	314.64   	 71.11   	 -45.78		 73.39   	 -30.52		
 60.12   	-45.47   	 70.93   	 -35.61		 73.27   	 -25.43		
-157.47   	-424.50   	 70.78   	 -25.43		 73.16   	 -30.52		
-197.14   	-617.68   	 70.68   	 -25.43		 73.04   	 -30.52		
-80.26   	-713.20   	 70.58   	 -20.35		 72.92   	 -25.43		
-49.74   	-773.01   	 70.50   	 -25.43		 72.82   	 -30.52		
-75.07   	-734.25   	 70.40   	 -30.52		 72.70   	 -30.52		
-91.86   	-668.95   	 70.27   	 -40.69		 72.57   	 -30.52		
-197.75   	-609.74   	 70.11   	 -40.69		 72.45   	 -30.52		
-286.25   	-538.33   	 69.95   	 -40.69		 72.33   	 -30.52		
-320.43   	-486.76   	 69.79   	 -35.61		 72.21   	 -35.61		
-366.21   	-469.06   	 69.64   	 -30.52		 72.06   	 -30.52		
-395.51   	-464.78   	 69.52   	 -30.52		 71.94   	 -35.61		
-425.72   	-468.75   	 69.40   	 -25.43		 71.80   	 -40.69		
-416.26   	-461.73   	 69.30   	 -30.52		 71.64   	 -35.61		
-454.41   	-453.49   	 69.18   	 -30.52		 71.50   	 -35.61		
-490.11   	-452.27   	 69.05   	 -25.43		 71.35   	 -40.69		
-504.15   	-434.57   	 68.95   	 -10.17		 71.19   	 -35.61		
-503.85   	-419.31   	 68.91(D)	  15.26		 71.05   	 -35.61		
