  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
-23.19   	-31.74   	 80.83   	-101.73		 77.64   	-101.73		
-23.80   	-31.74   	 80.43   	-106.82		 77.23   	-101.73		
-24.11   	-31.74   	 80.00   	-106.82		 76.83   	-101.73		
-24.11   	-31.74   	 79.57   	-111.90		 76.42   	 -91.56		
-23.80   	-32.04   	 79.12   	-111.90		 76.05   	 -96.64		
-23.80   	-32.65   	 78.68   	-106.82		 75.67   	 -86.47		
-23.50   	-33.26   	 78.25   	-101.73		 75.32   	 -86.47		
-22.89   	-33.26   	 77.84   	-101.73		 74.97   	 -86.47		
-21.67   	-32.65   	 77.44   	 -96.64		 74.63   	 -81.38		
-20.75   	-32.35   	 77.05   	 -91.56		 74.30   	 -76.30		
-20.14   	-32.65   	 76.68   	 -86.47		 74.00   	 -76.30		
-20.75   	-33.57   	 76.34   	 -86.47		 73.69   	 -76.30		
-21.36   	-34.79   	 75.99   	 -81.38		 73.39   	 -66.12		
-21.36   	-35.10   	 75.67   	 -81.38		 73.12   	 -71.21		
-20.45   	-34.18   	 75.34   	 -81.38		 72.84   	 -66.12		
-19.53   	-33.26   	 75.01   	 -86.47		 72.57   	 -66.12		
-18.92   	-32.35   	 74.67   	 -81.38		 72.31   	 -61.04		
-18.92   	-32.65   	 74.34   	 -86.47		 72.06   	 -55.95		
-19.23   	-32.96   	 74.00   	 -86.47		 71.84   	 -61.04		
-19.23   	-33.57   	 73.65   	 -86.47		 71.60   	 -55.95		
-18.31   	-32.96   	 73.31   	 -91.56		 71.37   	 -55.95		
-16.78   	-32.04   	 72.94   	 -86.47		 71.15   	 -55.95		
-15.56   	-31.13   	 72.59   	 -86.47		 70.93   	 -55.95		
-15.26   	-30.52   	 72.25   	 -81.38		 70.70   	 -50.86		
-15.87   	-30.21   	 71.92   	 -86.47		 70.50   	 -50.86		
-17.09   	-29.91   	 71.58   	 -81.38		 70.29   	 -50.86		
-18.01   	-29.91   	 71.25   	 -86.47		 70.09   	 -50.86		
-18.01   	-29.60   	 70.91   	 -81.38		 69.89   	 -50.86		
-17.09   	-28.99   	 70.58   	 -86.47		 69.68   	 -50.86		
-15.87   	-28.38   	 70.23   	 -81.38		 69.48   	 -45.78		
-15.56   	-28.08   	 69.91   	 -86.47		 69.30   	 -50.86		
-16.48   	-28.08   	 69.56   	 -81.38		 69.09   	 -45.78		
-18.31   	-27.77   	 69.24   	 -76.30		 68.91   	 -50.86		
-19.23   	-25.63   	 68.93   	 -76.30		 68.71   	 -45.78		
-17.09   	-18.92   	 68.63   	 -76.30		 68.52   	 -40.69		
 -9.16   	 -4.88   	 68.32   	 -71.21		 68.36   	 -45.78		
  6.41   	 19.23   	 68.04   	 -71.21		 68.18   	 -40.69		
 28.99   	 55.24   	 67.75   	 -61.04		 68.02   	 -45.78		
 54.32   	102.84   	 67.51   	 -61.04		 67.83   	 -40.69		
 76.90   	162.96   	 67.26   	 -61.04		 67.67   	 -35.61		
 90.94   	237.43   	 67.02   	 -55.95		 67.53   	 -40.69		
 94.30   	328.37   	 66.80   	 -55.95		 67.36   	 -40.69		
 91.25   	437.01   	 66.57   	 -55.95		 67.20   	 -35.61		
 87.89   	561.83   	 66.35   	 -50.86		 67.06   	 -40.69		
 89.11   	699.16   	 66.14   	 -55.95		 66.90   	 -35.61		
 93.38   	844.73   	 65.92   	 -61.04		 66.75   	 -40.69		
 94.91   	992.74   	 65.68   	 -55.95		 66.59   	 -35.61		
 87.28   	1135.25   	 65.45   	 -61.04		 66.45   	 -40.69		
 69.58   	1267.40   	 65.21   	 -61.04		 66.29   	 -35.61		
 47.91   	1386.11   	 64.96   	 -61.04		 66.14   	 -40.69		
 29.30   	1492.00   	 64.72   	 -61.04		 65.98   	 -35.61		
 18.31   	1589.36   	 64.48   	 -61.04		 65.84   	 -40.69		
 14.04   	1683.04   	 64.23   	 -61.04		 65.68   	 -35.61		
 14.04   	1776.43   	 63.99   	 -55.95		 65.53   	 -40.69		
 17.09   	1875.00   	 63.76   	 -61.04		 65.37   	 -35.61		
 25.33   	1987.30   	 63.52   	 -55.95		 65.23   	 -40.69		
 43.64   	2118.23   	 63.30   	 -55.95		 65.07   	 -35.61		
 79.35   	2265.01   	 63.07   	 -55.95		 64.92   	 -35.61		
135.80   	2413.64   	 62.85   	 -55.95		 64.78   	 -35.61		
206.91   	2544.25   	 62.62   	 -50.86		 64.64   	 -40.69		
273.74   	2640.99   	 62.42   	 -55.95		 64.48   	 -35.61		
309.45   	2701.72   	 62.20   	 -50.86		 64.33   	 -35.61		
292.97   	2730.41   	 61.99   	 -50.86		 64.19   	 -35.61		
226.14   	2724.00   	 61.79   	 -50.86		 64.05   	 -40.69		
135.50   	2660.52   	 61.59   	 -50.86		 63.89   	 -35.61		
 56.46   	2507.63   	 61.38   	 -50.86		 63.74   	 -40.69		
 14.95   	2245.48   	 61.18   	 -50.86		 63.58   	 -35.61		
 12.21   	1888.43   	 60.98   	 -45.78		 63.44   	 -40.69		
 28.69   	1482.24   	 60.79   	 -50.86		 63.28   	 -35.61		
 40.89   	1076.36   	 60.59   	 -50.86		 63.13   	 -40.69		
 39.06   	696.11   	 60.39   	 -45.78		 62.97   	 -35.61		
 28.99   	342.71   	 60.20   	 -50.86		 62.83   	 -40.69		
 22.58   	 20.45   	 60.00   	 -45.78		 62.67   	 -40.69		
 26.86   	-248.41   	 59.82   	 -50.86		 62.50   	 -40.69		
 38.15   	-429.69   	 59.61   	 -45.78		 62.34   	 -35.61		
 46.69   	-509.95   	 59.43   	 -50.86		 62.20   	 -45.78		
 46.69   	-516.05   	 59.23   	 -50.86		 62.01   	 -40.69		
 41.50   	-501.40   	 59.02   	 -45.78		 61.85   	 -40.69		
 38.15   	-509.64   	 58.84   	 -45.78		 61.69   	 -45.78		
 42.72   	-549.93   	 58.66   	 -45.78		 61.51   	 -40.69		
 54.93   	-601.81   	 58.47   	 -45.78		 61.34   	 -45.78		
 68.97   	-639.04   	 58.29   	 -40.69		 61.16   	 -50.86		
