  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
-16.48   	-78.43   	 16.15   	   5.09		 86.92   	 -76.30		
-16.78   	-75.99   	 16.17   	  -5.09		 86.61   	 -86.47		
-15.87   	-72.63   	 16.15   	 -10.17		 86.27   	 -81.38		
-14.34   	-70.50   	 16.11   	 -15.26		 85.94   	 -86.47		
-13.73   	-71.11   	 16.05   	 -10.17		 85.59   	 -81.38		
-15.26   	-74.46   	 16.01   	 -15.26		 85.27   	 -86.47		
-18.01   	-77.82   	 15.95   	 -10.17		 84.92   	 -91.56		
-19.23   	-78.43   	 15.91   	 -10.17		 84.56   	 -86.47		
-18.01   	-76.29   	 15.87   	 -10.17		 84.21   	 -86.47		
-14.04   	-72.94   	 15.83   	 -10.17		 83.87   	 -91.56		
-10.07   	-70.80   	 15.79   	  -5.09		 83.50   	 -91.56		
 -8.54   	-70.50   	 15.77   	 -10.17		 83.13   	 -86.47		
-10.38   	-71.41   	 15.73   	  -5.09		 82.79   	 -91.56		
-14.04   	-71.41   	 15.71   	  -5.09		 82.42   	 -91.56		
-17.70   	-69.89   	 15.69   	   0.00		 82.05   	 -86.47		
-19.84   	-66.83   	 15.69   	   0.00		 81.71   	 -91.56		
-20.14   	-64.39   	 15.69(E)	  10.17		 81.34   	 -86.47		
-18.62   	-63.78   	 15.73   	  10.17		 81.00   	 -86.47		
-15.56   	-64.39   	 15.77   	  15.26		 80.65   	 -81.38		
-12.51   	-65.31   	 15.83   	  20.35		 80.33   	 -86.47		
-10.38   	-65.61   	 15.91   	  30.52		 79.98   	 -76.30		
-13.12   	-67.44   	 16.03   	  30.52		 79.67   	 -81.38		
-22.89   	-75.07   	 16.15   	  30.52		 79.35   	 -76.30		
-38.45   	-92.47   	 16.28   	  35.61		 79.04   	 -76.30		
-53.41   	-110.47   	 16.42   	  35.61		 78.74   	 -71.21		
-55.54   	-100.40   	 16.56   	  40.69		 78.45   	 -71.21		
-31.13   	-19.53   	 16.72   	  40.69		 78.17   	 -71.21		
 28.08   	174.56   	 16.89   	  40.69		 77.88   	 -66.12		
122.38   	495.30   	 17.05   	  45.78		 77.62   	 -61.04		
240.48   	901.18   	 17.23   	  45.78		 77.38   	 -66.12		
361.94   	1292.11   	 17.42   	 106.82		 77.11   	-116.99		
510.86   	1616.82(R)	 17.84   	  61.04		 76.64   	 -55.95		
490.42   	1500.85   	 18.09   	  71.21		 76.42   	 -55.95		
398.86   	1278.69   	 18.37   	  81.38		 76.20   	 -55.95		
