  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-162.96   	-76.60   	 18.31   	  96.64		 96.81   	-111.90		
-115.97   	-66.22   	 18.70   	 137.33		 96.36   	-137.33		
-65.00   	-62.26   	 19.25   	 183.11		 95.81   	 -40.69		
-10.07   	-54.63   	 19.98   	 239.06		 95.65   	  45.78		
 43.03   	-40.59   	 20.94   	 295.01		 95.83   	  35.61		
 85.45   	-27.77   	 22.12   	 366.22		 95.97   	 -25.43		
111.08   	-24.41   	 23.58   	 427.26		 95.87   	 -76.30		
121.46   	-33.57   	 25.29   	 493.39		 95.56   	 -96.64		
123.60   	-50.96   	 27.26   	 559.51		 95.18   	 -71.21		
126.34   	-69.58   	 29.50   	 615.46		 94.89   	 -40.69		
133.97   	-84.23   	 31.96   	 661.24		 94.73   	 -35.61		
146.48   	-93.99   	 34.61   	 707.02		 94.59   	 -45.78		
160.83   	-100.40   	 37.44   	 737.54		 94.40   	 -61.04		
173.95   	-106.51   	 40.39   	 768.05		 94.16   	 -91.56		
184.94   	-114.14   	 43.46   	 788.40		 93.79   	-106.82		
195.31   	-117.80   	 46.61   	 803.66		 93.37   	-101.73		
205.99   	-108.95   	 49.83   	 813.83		 92.96   	 -61.04		
217.59   	-82.09   	 53.08   	 813.83		 92.72   	 -30.52		
228.88   	-40.28   	 56.34   	 813.83		 92.59   	 -30.52		
238.34   	  4.58   	 59.59   	 798.57		 92.47   	 -45.78		
244.45   	 39.37   	 62.79   	 788.40		 92.29   	 -66.12		
248.41   	 57.68   	 65.94   	 757.88		 92.02   	 -91.56		
251.77   	 64.09   	 68.97   	 732.45		 91.66   	-101.73		
257.87   	 68.05   	 71.90   	 701.93		 91.25   	 -66.12		
267.03   	 75.38   	 74.71   	 666.32		 90.99   	  -5.09		
280.15   	 86.98   	 77.38   	 625.63		 90.97   	  25.43		
296.33   	102.54   	 79.88   	 584.94		 91.07   	   0.00		
314.64   	121.15   	 82.22   	 549.34		 91.07   	 -40.69		
333.25   	143.43   	 84.41   	 508.65		 90.91   	 -71.21		
350.34   	168.15   	 86.45   	 473.04		 90.62   	 -76.30		
366.82   	193.48   	 88.34   	 432.35		 90.32   	 -50.86		
383.00   	217.59   	 90.07   	 396.74		 90.11   	   0.00		
401.61   	239.87   	 91.66   	 356.05		 90.11   	  20.35		
423.58   	261.54   	 93.08   	 320.45		 90.19   	  20.35		
447.08   	282.90   	 94.36   	 279.75		 90.27   	  30.52		
469.36   	304.26   	 95.48   	 239.06		 90.40   	  25.43		
487.37   	324.71   	 96.44   	 198.37		 90.50   	  30.52		
500.79   	344.85   	 97.23   	 157.68		 90.62   	  66.12		
511.78   	364.99   	 97.86   	 122.07		 90.88   	 127.16		
521.55   	385.44   	 98.35   	  86.47		 91.39   	 188.20		
530.09   	404.97   	 98.70   	  55.95		 92.15   	 193.29		
535.89   	421.45   	 98.92   	  30.52		 92.92   	 172.94		
536.50   	433.35   	 99.04   	   0.00		 93.61   	 162.77		
530.40   	438.54   	 99.04   	 -15.26		 94.26   	 147.51		
518.19   	437.62   	 98.98   	 -40.69		 94.85   	 127.16		
501.71   	430.91   	 98.82   	 -61.04		 95.36   	 101.73		
482.48   	420.23   	 98.58   	 -81.38		 95.77   	 106.82		
462.34   	407.10   	 98.25   	-101.73		 96.19   	 116.99		
440.98   	391.24   	 97.84   	-122.07		 96.66   	 116.99		
416.87   	372.31   	 97.35   	-142.42		 97.13   	 111.90		
388.49   	349.43   	 96.78   	-162.77		 97.58   	  81.38		
354.61   	321.66   	 96.13   	-183.11		 97.90   	  40.69		
316.16   	290.22   	 95.40   	-203.46		 98.07   	  30.52		
276.49   	256.65   	 94.59   	-223.80		 98.19   	  30.52		
240.17   	223.69   	 93.69   	-239.06		 98.31   	  35.61		
210.27   	194.09   	 92.74   	-264.50		 98.45   	  25.43		
186.16   	169.07   	 91.68   	-289.93		 98.56   	   0.00		
165.10   	148.01   	 90.52   	-305.19		 98.56   	 -20.35		
143.43   	129.39   	 89.30   	-335.71		 98.47   	 -40.69		
119.93   	111.39   	 87.95   	-366.22		 98.31   	 -71.21		
 96.13   	 93.38   	 86.49   	-401.83		 98.03   	 -76.30		
 73.55   	 75.38   	 84.88   	-432.35		 97.72   	 -81.38		
 53.41   	 57.37   	 83.15   	-473.04		 97.40   	 -86.47		
 36.93   	 40.89   	 81.26   	-513.73		 97.05   	-116.99		
 24.11   	 26.25   	 79.21   	-549.34		 96.58   	-142.42		
 14.04   	 13.43   	 77.01   	-584.94		 96.01   	-157.68		
  5.19   	  2.44   	 74.67   	-615.46		 95.38   	-188.20		
 -4.88   	 -7.32   	 72.21   	-635.81		 94.63   	-203.46		
-15.56   	-16.17   	 69.66   	-661.24		 93.81   	-228.89		
-25.33   	-23.80   	 67.02   	-671.41		 92.90   	-244.15		
-31.43   	-30.21   	 64.33   	-676.50		 91.92   	-254.32		
-32.04   	-35.40   	 61.63   	-681.58		 90.91   	-228.89		
-29.91   	-39.67   	 58.90   	-676.50		 89.99   	-213.63		
-27.77   	-43.33   	 56.20   	-671.41		 89.13   	-305.19		
-28.08   	-46.69   	 53.51   	-666.32		 87.91   	-422.18		
-31.13   	-50.05   	 50.84   	-645.98		 86.23   	-264.50		
-35.71   	-53.41   	 48.26   	-635.81		 85.17   	 132.25		
-39.98   	-57.07   	 45.72   	-615.46		 85.70   	 335.71		
-43.03   	-60.42   	 43.26   	-600.20		 87.04   	-152.59		
-44.56   	-63.78   	 40.85   	-574.77		 86.43   	-579.86		
-44.56   	-66.53   	 38.56   	-544.25		 84.11   	-264.50		
-43.33   	-69.27   	 36.38   	-523.90		 83.05   	 116.99		
-41.20   	-71.41   	 34.28   	-488.30		 83.52   	  66.12		
-39.37   	-73.55   	 32.33   	-457.78		 83.78   	-127.16		
-39.67   	-75.07   	 30.50   	-432.35		 83.28   	-223.80		
-43.03   	-76.29   	 28.77   	-396.74		 82.38   	-208.54		
-48.22   	-78.43   	 27.18   	-366.22		 81.55   	-106.82		
-51.88   	-81.18   	 25.72   	-335.71		 81.12   	  25.43		
-50.96   	-84.23   	 24.37   	-305.19		 81.22   	  50.86		
-45.78   	-86.98   	 23.15   	-284.84		 81.42   	 -25.43		
-40.28   	-89.72   	 22.01   	-259.41		 81.32   	-106.82		
-38.15   	-92.16   	 20.98   	-233.98		 80.89   	-167.85		
-40.89   	-94.91   	 20.04   	-223.80		 80.22   	-183.11		
-45.78   	-97.66   	 19.15   	-203.46		 79.49   	-152.59		
-49.74   	-99.79   	 18.33   	-193.29		 78.88   	 -91.56		
-51.57   	-101.32   	 17.56   	-183.11		 78.51   	 -35.61		
-51.88   	-103.15   	 16.83   	-172.94		 78.37   	 -55.95		
-51.57   	-105.29   	 16.13   	-162.77		 78.15   	 -55.95		
-50.35   	-108.03   	 15.48   	-157.68		 77.92   	 -35.61		
-48.52   	-110.78   	 14.85   	-147.51		 77.78   	 -96.64		
-47.61   	-112.92   	 14.26   	-142.42		 77.40   	-106.82		
-50.05   	-114.44   	 13.69   	-132.25		 76.97   	 -76.30		
-56.76   	-115.97   	 13.16   	-116.99		 76.66   	 -30.52		
-64.70   	-117.19   	 12.70   	-111.90		 76.54   	  81.38		
-69.27   	-117.49   	 12.25   	-101.73		 76.87   	 127.16		
-67.75   	-116.58   	 11.84   	 -86.47		 77.38   	 -35.61		
-61.34   	-115.05   	 11.50   	 -76.30		 77.23   	-188.20		
-55.54   	-113.83   	 11.19   	 -71.21		 76.48   	-193.29		
-54.02   	-114.14   	 10.91   	 -61.04		 75.71   	-101.73		
-57.07   	-115.97   	 10.66   	 -61.04		 75.30   	  10.17		
-61.34   	-118.41   	 10.42   	 -50.86		 75.34   	 -10.17		
-63.48   	-119.93   	 10.21   	 -45.78		 75.30   	 -71.21		
-62.87   	-121.15   	 10.03   	 -45.78		 75.01   	  25.43		
-60.12   	-122.68   	  9.85   	 -35.61		 75.12   	 147.51		
-57.98   	-125.43   	  9.70   	 -30.52		 75.71   	 106.82		
-57.68   	-128.48   	  9.58   	 -20.35		 76.13   	 -30.52		
