  I     	  LV     	  LV'		  AO     	  AO'		
 14.95   	 20.55   	   5.09		 97.66   	 -61.04		
 -1.22   	 20.57   	  15.26		 97.42   	 -55.95		
-21.97   	 20.63   	  15.26		 97.19   	 -61.04		
-43.64   	 20.69   	  25.43		 96.95   	 -55.95		
-61.34   	 20.79   	  35.61		 96.72   	 -55.95		
-72.94   	 20.94   	  35.61		 96.50   	 -61.04		
-76.90   	 21.08   	  40.69		 96.26   	 -55.95		
-75.68   	 21.24   	  40.69		 96.03   	 -55.95		
-72.33   	 21.40   	  40.69		 95.81   	 -55.95		
-69.58   	 21.57   	  35.61		 95.58   	 -55.95		
-67.75   	 21.71   	  40.69		 95.36   	 -55.95		
-66.83   	 21.87   	  35.61		 95.14   	 -61.04		
-65.92   	 22.01   	  35.61		 94.89   	 -55.95		
-65.00   	 22.16   	  35.61		 94.67   	 -55.95		
-65.00   	 22.30   	  40.69		 94.45   	 -55.95		
-65.31   	 22.46   	  50.86		 94.22   	 -55.95		
-65.61   	 22.67   	  55.95		 94.00   	 -50.86		
-65.00   	 22.89   	  71.21		 93.79   	 -55.95		
-63.78   	 23.17   	  86.47		 93.57   	 -50.86		
-63.17   	 23.52   	 101.73		 93.37   	 -55.95		
-65.61   	 23.93   	 111.90		 93.14   	 -45.78		
-72.63   	 24.37   	 127.16		 92.96   	 -50.86		
-85.75   	 24.88   	 132.25		 92.76   	 -45.78		
-103.76   	 25.41   	 137.33		 92.57   	 -45.78		
-124.51   	 25.96   	 137.33		 92.39   	 -40.69		
-144.35   	 26.51   	 132.25		 92.23   	 -45.78		
-155.64   	 27.04   	 122.07		 92.04   	 -40.69		
-149.23   	 27.53   	 111.90		 91.88   	 -45.78		
-111.08   	 27.98   	  86.47		 91.70   	 -40.69		
-25.63   	 28.32   	  71.21		 91.54   	 -45.78		
116.27   	 28.61   	  45.78		 91.35   	 -45.78		
310.36   	 28.79   	  25.43		 91.17   	 -45.78		
528.56   	 28.89   	   0.00		 90.99   	 -50.86		
715.64   	 28.89   	 -15.26		 90.78   	 -50.86		
806.58(R)	 28.83   	 -30.52		 90.58   	 -50.86		
764.77   	 28.71   	 -35.61		 90.38   	 -55.95		
610.96   	 28.57   	 -30.52		 90.15   	 -55.95		
420.53   	 28.44   	 -15.26		 89.93   	 -55.95		
281.68   	 28.38(E)	  10.17		 89.70   	 -61.04		
237.12   	 28.42   	  55.95		 89.46   	 -55.95		
261.23   	 28.65   	 111.90		 89.24   	 -61.04		
289.92   	 29.09   	 183.11		 88.99   	 -61.04		
272.22   	 29.83   	 269.58		 88.75   	 -55.95		
201.72   	 30.91   	 366.22		 88.52   	 -55.95		
105.90   	 32.37   	 478.13		 88.30   	 -55.95		
 18.92   	 34.28   	 590.03		 88.08   	 -50.86		
-39.98   	 36.64   	 712.10		 87.87   	 -45.78		
-68.36   	 39.49   	 824.00		 87.69   	 -50.86		
-72.02   	 42.79   	 935.91		 87.49   	 -40.69		
-60.12   	 46.53   	1037.64		 87.32   	 -45.78		
-45.17   	 50.68   	1144.45		 87.14   	 -40.69		
-37.84   	 55.26   	1236.01		 86.98   	 -40.69		
-39.67   	 60.20   	1327.56		 86.82   	 -40.69		
-45.47   	 65.51   	1393.69		 86.65   	 -40.69		
-48.22   	 71.09   	1429.29		 86.49   	 -35.61		
-45.47   	 76.81   	1429.29		 86.35   	 -30.52		
-39.98   	 82.52   	1388.60		 86.23   	 -30.52		
-36.01   	 88.08   	1312.30		 86.10   	 -20.35		
-34.18   	 93.33   	1210.58		 86.02   	 -10.17		
-32.96   	 98.17   	1083.41		 85.98(D)	  10.17		
-30.82   	102.50   	 951.17		 86.02   	  25.43		
-27.47   	106.31   	 829.09		 86.12   	  50.86		
-23.19   	109.62   	 727.36		 86.33   	  76.30		
-18.92   	112.53   	 645.98		 86.63   	 106.82		
-15.56   	115.12   	 595.11		 87.06   	 132.25		
-12.51   	117.50   	 584.94		 87.59   	 162.77		
 -9.77   	119.84   	 595.11		 88.24   	 188.20		
 -6.10   	122.22   	 620.55		 88.99   	 213.63		
 -1.53   	124.70   	 651.07		 89.85   	 228.89		
  3.97   	127.30   	 666.32		 90.76   	 249.24		
 10.07   	129.97   	 671.41		 91.76   	 264.50		
 15.87   	132.65   	 661.24		 92.82   	 264.50		
 21.97   	135.30   	 630.72		 93.88   	 274.67		
 28.08   	137.82   	 590.03		 94.97   	 269.58		
 34.18   	140.18   	 554.42		 96.05   	 269.58		
 40.28   	142.40   	 503.56		 97.13   	 259.41		
 47.00   	144.41   	 462.87		 98.17   	 259.41		
 54.63   	146.27   	 417.09		 99.21   	 244.15		
 63.17   	147.93   	 371.31		100.18   	 239.06		
 72.33   	149.42   	 335.71		101.14   	 223.80		
 80.87   	150.76   	 295.01		102.03   	 218.72		
 89.42   	151.94   	 264.50		102.91   	 213.63		
 97.66   	153.00   	 239.06		103.76   	 203.46		
107.42   	153.96   	 218.72		104.58   	 198.37		
118.41   	154.83   	 203.46		105.37   	 193.29		
130.00   	155.65   	 188.20		106.14   	 188.20		
140.69   	156.40   	 178.03		106.90   	 188.20		
148.93   	157.11   	 152.59		107.65   	 183.11		
153.81   	157.72   	 122.07		108.38   	 172.94		
155.94   	158.21   	  86.47		109.07   	 172.94		
154.72   	158.55   	  35.61		109.77   	 157.68		
149.84   	158.70(S)	 -10.17		110.40   	 142.42		
140.99   	158.66   	 -55.95		110.97   	 127.16		
129.09   	158.43   	 -96.64		111.47   	 116.99		
115.05   	158.05   	-127.16		111.94   	  91.56		
100.40   	157.54   	-157.68		112.31   	  81.38		
 86.36   	156.91   	-178.03		112.63   	  66.12		
 72.63   	156.19   	-198.37		112.90   	  50.86		
 59.20   	155.40   	-218.72		113.10   	  35.61		
 45.17   	154.53   	-239.06		113.24   	  25.43		
 30.52   	153.57   	-249.24		113.35   	  20.35		
 15.56   	152.57   	-254.32		113.43   	  20.35		
  0.61   	151.56   	-249.24		113.51   	  10.17		
-12.51   	150.56   	-228.89		113.55   	  15.26		
-23.50   	149.64   	-208.54		113.61   	  20.35		
-32.96   	148.81   	-183.11		113.69   	  30.52		
-41.50   	148.08   	-162.77		113.81   	  40.69		
-49.13   	147.43   	-157.68		113.98   	  50.86		
-56.46   	146.79   	-157.68		114.18   	  61.04		
-62.87   	146.16   	-183.11		114.42   	  66.12		
-68.05   	145.43   	-208.54		114.69   	  76.30		
-72.02   	144.60   	-249.24		114.99   	  81.38		
-74.77   	143.60   	-289.93		115.32   	  76.30		
-77.21   	142.44   	-320.45		115.63   	  81.38		
-78.74   	141.16   	-350.97		115.95   	  76.30		
-80.26   	139.76   	-371.31		116.26   	  76.30		
-80.87   	138.27   	-386.57		116.56   	  71.21		
-80.57   	136.72   	-401.83		116.85   	  61.04		
-79.35   	135.12   	-412.00		117.09   	  55.95		
-77.21   	133.47   	-427.26		117.31   	  50.86		
-75.68   	131.76   	-447.61		117.52   	  30.52		
-74.77   	129.97   	-488.30		117.64   	  25.43		
-74.77   	128.02   	-528.99		117.74   	   5.09		
-74.46   	125.90   	-579.86		117.76(S)	  -5.09		
-73.85   	123.58   	-640.89		117.74   	 -25.43		
-72.33   	121.02   	-701.93		117.64   	 -45.78		
-70.19   	118.21   	-757.88		117.46   	 -66.12		
-68.05   	115.18   	-813.83		117.19   	 -81.38		
-66.53   	111.92   	-879.96		116.87   	-101.73		
-65.31   	108.40   	-961.34		116.46   	-127.16		
-65.00   	104.56   	-1057.98		115.95   	-147.51		
-65.31   	100.33   	-1164.80		115.36   	-162.77		
-65.31   	 95.67   	-1286.87		114.71   	-183.11		
-64.70   	 90.52   	-1383.51		113.98   	-203.46		
-63.17   	 84.98   	-1459.81		113.16   	-213.63		
-61.04   	 79.15   	-1500.50		112.31   	-218.72		
-59.51   	 73.14   	-1495.42		111.43   	-223.80		
-59.20   	 67.16   	-1454.72		110.54   	-223.80		
-59.51   	 61.34   	-1378.43		109.64   	-208.54		
-61.04   	 55.83   	-1291.96		108.81   	-203.46		
-62.26   	 50.66   	-1200.40		108.00   	-188.20		
-62.56   	 45.86   	-1108.85		107.24   	-172.94		
-61.95   	 41.42   	-1007.12		106.55   	-157.68		
-61.34   	 37.40   	-915.56		105.92   	-137.33		
-61.65   	 33.73   	-818.92		105.37   	-122.07		
-63.17   	 30.46   	-717.19		104.88   	-101.73		
-65.31   	 27.59   	-610.37		104.48   	 -91.56		
-67.14   	 25.15   	-513.73		104.11   	 -76.30		
-67.44   	 23.09   	-417.09		103.80   	 -61.04		
-66.53   	 21.42   	-325.53		103.56   	 -45.78		
-65.61   	 20.12   	-249.24		103.38   	 -30.52		
-65.31   	 19.13   	-188.20		103.25   	 -25.43		
-66.22   	 18.37   	-137.33		103.15   	 -10.17		
-68.05   	 17.82   	-101.73		103.11   	   0.00		
-69.27   	 17.42   	 -86.47		103.11   	   5.09		
-70.19   	 17.07   	 -81.38		103.13   	  10.17		
-70.80   	 16.74   	 -76.30		103.17   	  15.26		
-71.11   	 16.44   	 -86.47		103.23   	  20.35		
-71.11   	 16.09   	 -91.56		103.32   	  15.26		
-70.50   	 15.73   	 -96.64		103.38   	  20.35		
-69.58   	 15.34   	 -91.56		103.46   	  15.26		
-67.75   	 14.97   	 -91.56		103.52   	  15.26		
-65.92   	 14.61   	 -71.21		103.58   	   5.09		
-64.39   	 14.32   	 -61.04		103.60   	   0.00		
-63.48   	 14.08   	 -35.61		103.60   	   0.00		
-63.78   	 13.94   	 -10.17		103.60   	 -10.17		
-65.00   	 13.90(D)	  20.35		103.56   	 -20.35		
-65.92   	 13.98   	  45.78		103.48   	 -20.35		
-65.61   	 14.16   	  71.21		103.40   	 -25.43		
-64.39   	 14.45   	  86.47		103.30   	 -35.61		
-62.87   	 14.79   	 106.82		103.15   	 -35.61		
-61.65   	 15.22   	 111.90		103.01   	 -40.69		
-61.04   	 15.67   	 111.90		102.85   	 -45.78		
-61.04   	 16.11   	 116.99		102.66   	 -50.86		
-61.04   	 16.58   	 106.82		102.46   	 -50.86		
-60.73   	 17.01   	  96.64		102.26   	 -50.86		
-60.12   	 17.40   	  86.47		102.05   	 -50.86		
