  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-18.92   	-28.38   	  3.28   	  20.35		 71.60   	 -81.38		
-18.01   	-32.04   	  3.36   	  10.17		 71.27   	 -81.38		
-18.01   	-40.59   	  3.40   	  15.26		 70.95   	 -81.38		
-18.62   	-47.91   	  3.46   	  10.17		 70.62   	 -81.38		
-18.92   	-49.74   	  3.50   	  10.17		 70.29   	 -76.30		
-18.92   	-45.17   	  3.54   	  10.17		 69.99   	 -76.30		
-18.92   	-39.06   	  3.58   	  10.17		 69.68   	 -76.30		
-19.84   	-35.71   	  3.62   	  10.17		 69.38   	 -76.30		
-23.19   	-38.15   	  3.66   	  10.17		 69.07   	 -71.21		
-28.08   	-45.47   	  3.70   	  10.17		 68.79   	 -71.21		
-32.35   	-53.41   	  3.74   	  10.17		 68.50   	 -71.21		
-32.96   	-57.37   	  3.78   	  10.17		 68.22   	 -66.12		
-30.21   	-56.46   	  3.83   	  15.26		 67.95   	 -66.12		
-26.55   	-52.19   	  3.89   	  10.17		 67.69   	 -66.12		
-24.41   	-47.30   	  3.93   	  15.26		 67.43   	 -66.12		
-25.33   	-44.56   	  3.99   	  10.17		 67.16   	 -66.12		
-27.47   	-43.64   	  4.03   	  15.26		 66.90   	 -66.12		
-28.08   	-42.72   	  4.09   	  10.17		 66.63   	 -61.04		
-25.02   	-39.67   	  4.13   	  15.26		 66.39   	 -66.12		
-19.53   	-35.40   	  4.19   	  15.26		 66.12   	 -61.04		
-14.04   	-32.65   	  4.25   	  15.26		 65.88   	 -66.12		
-11.90   	-33.87   	  4.31   	  10.17		 65.62   	 -61.04		
-14.04   	-39.67   	  4.35   	  15.26		 65.37   	 -66.12		
-19.23   	-47.61   	  4.42   	  15.26		 65.11   	 -61.04		
-24.72   	-52.49   	  4.48   	  15.26		 64.86   	 -61.04		
-27.47   	-50.96   	  4.54   	  15.26		 64.62   	 -61.04		
-26.25   	-43.95   	  4.60   	  20.35		 64.37   	 -61.04		
-21.67   	-33.57   	  4.68   	  10.17		 64.13   	 -61.04		
-15.87   	-23.19   	  4.72   	  15.26		 63.89   	 -55.95		
-10.99   	-13.43   	  4.78   	  15.26		 63.66   	 -55.95		
 -7.93   	 -3.97   	  4.84   	  15.26		 63.44   	 -55.95		
 -6.71   	  6.10   	  4.90   	  10.17		 63.21   	 -55.95		
 -6.10   	 16.17   	  4.94   	  15.26		 62.99   	 -55.95		
 -5.19   	 24.11   	  5.01   	  10.17		 62.77   	 -50.86		
 -3.05   	 27.47   	  5.05   	  10.17		 62.56   	 -50.86		
 -0.31   	 27.77   	  5.09   	  10.17		 62.36   	 -50.86		
  3.36   	 28.38   	  5.13   	  10.17		 62.16   	 -50.86		
  7.02   	 32.35   	  5.17   	  15.26		 61.95   	 -45.78		
