  I     	  II     	  AO     	  AO'		  CH2     	  CH2'		
 52.49   	 90.64   	 98.43   	  15.26		 -8.16   	 -30.52		
 56.76   	110.17   	 98.49   	  40.69		 -8.28   	 -20.35		
 65.31   	136.11   	 98.66   	  55.95		 -8.36   	   0.00		
 70.19   	162.66   	 98.88   	  61.04		 -8.36   	  20.35		
 83.31   	190.43   	 99.12   	  55.95		 -8.28   	  40.69		
 87.89   	202.64   	 99.35   	  25.43		 -8.12   	  55.95		
 95.21   	213.62   	 99.45   	  -5.09		 -7.89   	  71.21		
102.54   	220.34   	 99.43   	 -50.86		 -7.61   	  91.56		
101.32   	216.98   	 99.23   	-101.73		 -7.24   	 101.73		
106.81   	222.78   	 98.82   	-147.51		 -6.84   	 111.90		
103.45   	221.25   	 98.23   	-193.29		 -6.39   	 116.99		
 97.05   	197.75   	 97.46   	-228.89		 -5.92   	 127.16		
 83.92   	160.52   	 96.54   	-249.24		 -5.41   	 122.07		
 66.83   	118.41   	 95.54   	-254.32		 -4.92   	 122.07		
 54.63   	 84.23   	 94.53   	-249.24		 -4.44   	 116.99		
 40.28   	 60.12   	 93.53   	-228.89		 -3.97   	 106.82		
 36.01   	 57.98   	 92.61   	-208.54		 -3.54   	 106.82		
 34.79   	 64.39   	 91.78   	-178.03		 -3.11   	  91.56		
 33.26   	 48.52   	 91.07   	-147.51		 -2.75   	  86.47		
 33.26   	 30.82   	 90.48   	-116.99		 -2.40   	  76.30		
 32.96   	 12.21   	 90.01   	-101.73		 -2.10   	  66.12		
 33.57   	-10.38   	 89.60   	 -81.38		 -1.83   	  61.04		
 34.18   	-22.28   	 89.28   	 -76.30		 -1.59   	  45.78		
 32.65   	-25.94   	 88.97   	 -71.21		 -1.40   	  40.69		
 32.04   	-25.02   	 88.69   	 -66.12		 -1.24   	  30.52		
 36.01   	-28.08   	 88.42   	 -66.12		 -1.12   	  20.35		
 38.45   	-22.89   	 88.16   	 -71.21		 -1.04   	  10.17		
 42.72   	-14.04   	 87.87   	 -71.21		 -1.00   	   0.00		
 43.03   	-11.90   	 87.59   	 -76.30		 -1.00   	 -10.17		
 43.03   	 -5.19   	 87.28   	 -86.47		 -1.04   	 -20.35		
 44.86   	  0.00   	 86.94   	 -91.56		 -1.12   	 -35.61		
 45.47   	 -2.14   	 86.57   	-106.82		 -1.26   	 -50.86		
 51.57   	 -0.92   	 86.14   	-106.82		 -1.46   	 -66.12		
 57.37   	 -3.97   	 85.72   	-111.90		 -1.73   	 -76.30		
 57.37   	-10.07   	 85.27   	-111.90		 -2.03   	 -96.64		
 62.26   	 -7.93   	 84.82   	-106.82		 -2.42   	-106.82		
 58.90   	 -9.46   	 84.39   	 -96.64		 -2.85   	-116.99		
 52.80   	 -5.49   	 84.01   	 -91.56		 -3.32   	-127.16		
 44.86   	  0.92   	 83.64   	 -76.30		 -3.83   	-132.25		
 36.32   	  0.61   	 83.34   	 -71.21		 -4.35   	-137.33		
 30.52   	 -3.36   	 83.05   	 -61.04		 -4.90   	-137.33		
 24.11   	 -2.44   	 82.81   	 -55.95		 -5.45   	-137.33		
 23.50   	 -2.14   	 82.58   	 -50.86		 -6.00   	-137.33		
 22.28   	  7.32   	 82.38   	 -50.86		 -6.55   	-127.16		
 17.70   	 19.23   	 82.18   	 -45.78		 -7.06   	-122.07		
 21.06   	 27.16   	 81.99   	 -50.86		 -7.55   	-111.90		
 16.78   	 37.23   	 81.79   	 -50.86		 -8.00   	-101.73		
 13.73   	 32.96   	 81.59   	 -50.86		 -8.40   	 -91.56		
 23.80   	 31.74   	 81.38   	 -45.78		 -8.77   	 -71.21		
 24.41   	 32.35   	 81.20   	 -45.78		 -9.05   	 -61.04		
 21.97   	 27.77   	 81.02   	 -40.69		 -9.30   	 -45.78		
 24.41   	 30.82   	 80.85   	 -40.69		 -9.48   	 -30.52		
 19.23   	 35.71   	 80.69   	 -35.61		 -9.60   	 -15.26		
 15.26   	 40.59   	 80.55   	 -30.52		 -9.66   	   5.09		
 22.28   	 45.78   	 80.43   	 -30.52		 -9.64   	  15.26		
 25.63   	 62.56   	 80.30   	 -30.52		 -9.58   	  25.43		
 23.50   	109.25   	 80.18   	 -35.61		 -9.48   	  40.69		
 40.89   	178.53   	 80.04   	 -35.61		 -9.32   	  50.86		
 48.83   	286.56   	 79.90   	 -40.69		 -9.11   	  61.04		
 57.37   	455.02   	 79.74   	 -50.86		 -8.87   	  66.12		
104.37   	607.91   	 79.53   	 -55.95		 -8.61   	  71.21		
138.55   	803.22   	 79.31   	 -61.04		 -8.32   	  76.30		
186.77   	1038.51   	 79.06   	 -71.21		 -8.02   	  81.38		
264.89   	1186.52   	 78.78   	 -76.30		 -7.69   	  81.38		
344.85   	1280.21(R)	 78.47   	 -86.47		 -7.37   	  76.30		
408.63   	1194.46   	 78.13   	 -86.47		 -7.06   	  81.38		
373.84   	886.54   	 77.78   	 -96.64		 -6.73   	  76.30		
279.85   	458.68   	 77.40   	 -96.64		 -6.43   	  71.21		
183.11   	133.97   	 77.01   	 -91.56		 -6.14   	  71.21		
112.92   	-152.89   	 76.64   	 -91.56		 -5.86   	  66.12		
123.29   	-268.55   	 76.28   	 -86.47		 -5.60   	  61.04		
213.01   	-196.84   	 75.93   	 -81.38		 -5.35   	  61.04		
232.24   	-237.73   	 75.60   	 -71.21		 -5.11   	  50.86		
180.66   	-197.75   	 75.32   	 -61.04		 -4.90   	  50.86		
123.29   	-139.16   	 75.08   	 -55.95		 -4.70   	  45.78		
 63.17   	-120.85   	 74.85   	 -50.86		 -4.52   	  40.69		
  9.16   	-61.34   	 74.65   	 -45.78		 -4.35   	  40.69		
 -5.19   	-28.08   	 74.47   	 -45.78		 -4.19   	  30.52		
  0.31   	  5.80   	 74.28   	 -40.69		 -4.07   	  25.43		
 -2.14   	-10.38   	 74.12   	 -45.78		 -3.97   	  25.43		
 -4.58   	 -7.63   	 73.94   	 -45.78		 -3.87   	  15.26		
 -0.61   	 -7.02   	 73.75   	 -45.78		 -3.80   	  10.17		
 -3.97   	 -8.85   	 73.57   	 -40.69		 -3.76   	   5.09		
 -5.80   	 -9.46   	 73.41   	 -40.69		 -3.74   	  -5.09		
 -8.85   	 -7.93   	 73.24   	 -25.43		 -3.76   	 -10.17		
 -5.19   	 -6.71   	 73.14   	  -5.09		 -3.80   	 -15.26		
 -0.61   	 -6.71   	 73.12(D)	  30.52		 -3.87   	 -25.43		
 -5.49   	 -4.58   	 73.24   	  71.21		 -3.97   	 -30.52		
 -8.85   	 -0.92   	 73.53   	 122.07		 -4.09   	 -35.61		
 -3.36   	 -3.05   	 74.02   	 178.03		 -4.23   	 -40.69		
 -2.44   	 -8.85   	 74.73   	 228.89		 -4.39   	 -50.86		
 -4.58   	-17.70   	 75.65   	 274.67		 -4.60   	 -50.86		
 -9.77   	-13.43   	 76.74   	 310.27		 -4.80   	 -55.95		
 -5.80   	 -7.93   	 77.99   	 340.79		 -5.03   	 -55.95		
-10.99   	 -6.71   	 79.35   	 350.97		 -5.25   	 -61.04		
-10.38   	 -7.93   	 80.75   	 350.97		 -5.49   	 -61.04		
 -5.49   	-15.87   	 82.16   	 345.88		 -5.74   	 -55.95		
 -9.16   	-13.12   	 83.54   	 325.53		 -5.96   	 -55.95		
 -5.19   	 -8.24   	 84.84   	 305.19		 -6.19   	 -50.86		
 -7.32   	 -3.05   	 86.06   	 279.75		 -6.39   	 -45.78		
 -5.19   	 -3.05   	 87.18   	 259.41		 -6.57   	 -40.69		
 -9.16   	 -6.71   	 88.22   	 239.06		 -6.73   	 -35.61		
 -7.02   	-11.60   	 89.18   	 233.98		 -6.88   	 -30.52		
-12.21   	-12.51   	 90.11   	 233.98		 -7.00   	 -25.43		
-17.70   	-13.12   	 91.05   	 249.24		 -7.10   	 -25.43		
-23.80   	-14.65   	 92.04   	 274.67		 -7.20   	 -15.26		
-21.97   	-19.53   	 93.14   	 305.19		 -7.26   	 -10.17		
-21.36   	-27.77   	 94.36   	 330.62		 -7.30   	  -5.09		
-20.45   	-20.14   	 95.69   	 356.05		 -7.32   	  -5.09		
-15.26   	-18.31   	 97.11   	 371.31		 -7.34   	   0.00		
-12.82   	-21.06   	 98.60   	 371.31		 -7.34   	   0.00		
-16.17   	-15.56   	100.08   	 356.05		 -7.34   	   5.09		
-17.40   	-18.62   	101.51   	 325.53		 -7.32   	  10.17		
