  I     	  LV     	  LV'		  RV     	  RV'		
859.38   	 23.36   	  30.52		 16.09   	  -5.09		
690.00   	 23.48   	  40.69		 16.07   	 -15.26		
517.88   	 23.64   	  55.95		 16.01   	 -10.17		
408.33   	 23.87   	  81.38		 15.97   	 -10.17		
372.31   	 24.19   	 122.07		 15.93(E)	  -5.09		
366.82   	 24.68   	 178.03		 15.91   	   5.09		
339.05   	 25.39   	 249.24		 15.93   	  20.35		
264.89   	 26.39   	 330.62		 16.01   	  45.78		
159.00   	 27.71   	 432.35		 16.20   	  66.12		
 52.49   	 29.44   	 549.34		 16.46   	 101.73		
-29.60   	 31.64   	 666.32		 16.87   	 127.16		
-78.43   	 34.30   	 788.40		 17.38   	 157.68		
-96.44   	 37.46   	 910.47		 18.01   	 183.11		
-91.25   	 41.10   	1027.46		 18.74   	 208.54		
-75.07   	 45.21   	1144.45		 19.57   	 223.80		
-62.56   	 49.79   	1256.35		 20.47   	 239.06		
-61.34   	 54.81   	1363.17		 21.42   	 249.24		
-69.27   	 60.26   	1444.55		 22.42   	 254.32		
-77.21   	 66.04   	1500.50		 23.44   	 269.58		
-79.04   	 72.04   	1520.85		 24.52   	 284.84		
-74.77   	 78.13   	1505.59		 25.66   	 300.10		
-68.97   	 84.15   	1444.55		 26.86   	 320.45		
-64.70   	 89.93   	1342.82		 28.14   	 330.62		
-62.87   	 95.30   	1225.83		 29.46   	 340.79		
-61.65   	100.20   	1083.41		 30.82   	 330.62		
-59.51   	104.54   	 935.91		 32.15   	 315.36		
-55.85   	108.28   	 808.75		 33.41   	 279.75		
-50.66   	111.52   	 691.76		 34.53   	 239.06		
-45.17   	114.28   	 615.46		 35.48   	 193.29		
-39.98   	116.74   	 564.60		 36.26   	 147.51		
-35.71   	119.00   	 544.25		 36.85   	 111.90		
-32.35   	121.18   	 554.42		 37.29   	  81.38		
-28.69   	123.40   	 574.77		 37.62   	  66.12		
-24.41   	125.70   	 595.11		 37.88   	  55.95		
-19.23   	128.08   	 610.37		 38.11   	  55.95		
-13.12   	130.52   	 615.46		 38.33   	  66.12		
 -7.32   	132.98   	 600.20		 38.60   	  76.30		
 -1.53   	135.38   	 569.68		 38.90   	  96.64		
  4.58   	137.66   	 513.73		 39.29   	 111.90		
 11.60   	139.71   	 457.78		 39.74   	 122.07		
 19.84   	141.55   	 396.74		 40.22   	 137.33		
 28.69   	143.13   	 330.62		 40.77   	 147.51		
 37.54   	144.46   	 284.84		 41.36   	 142.42		
 46.39   	145.59   	 254.32		 41.93   	 142.42		
 54.32   	146.61   	 249.24		 42.50   	 132.25		
 62.26   	147.61   	 264.50		 43.03   	 122.07		
 70.80   	148.67   	 284.84		 43.52   	 116.99		
 79.96   	149.81   	 310.27		 43.99   	 111.90		
 89.42   	151.05   	 330.62		 44.44   	 116.99		
 99.18   	152.37   	 340.79		 44.90   	 127.16		
108.34   	153.73   	 315.36		 45.41   	 142.42		
115.97   	154.99   	 274.67		 45.98   	 157.68		
121.15   	156.09   	 198.37		 46.61   	 167.85		
122.99   	156.89   	 111.90		 47.28   	 172.94		
121.15   	157.33   	  15.26		 47.98   	 167.85		
115.97   	157.40(S)	 -76.30		 48.65   	 157.68		
107.73   	157.09   	-147.51		 49.28   	 137.33		
 97.35   	156.50   	-208.54		 49.83   	 111.90		
 86.06   	155.67   	-244.15		 50.27   	  76.30		
 74.46   	154.69   	-269.58		 50.58   	  40.69		
 62.87   	153.61   	-279.75		 50.74   	  15.26		
 51.57   	152.49   	-274.67		 50.80(S)	 -15.26		
 39.67   	151.39   	-264.50		 50.74   	 -40.69		
