  I     	  LV     	  LV'		  RV     	  RV'		
-31.43   	113.02   	 717.19		 35.02   	 310.27		
-26.86   	115.89   	 630.72		 36.26   	 300.10		
-22.28   	118.41   	 579.86		 37.46   	 274.67		
-18.31   	120.73   	 569.68		 38.56   	 259.41		
-14.04   	123.01   	 574.77		 39.59   	 239.06		
 -9.16   	125.31   	 595.11		 40.55   	 213.63		
 -3.66   	127.69   	 625.63		 41.40   	 193.29		
  1.83   	130.19   	 645.98		 42.18   	 162.77		
  7.63   	132.78   	 645.98		 42.83   	 147.51		
 13.43   	135.36   	 635.81		 43.42   	 127.16		
 19.53   	137.90   	 600.20		 43.93   	 106.82		
 26.55   	140.30   	 549.34		 44.35   	  86.47		
 34.48   	142.50   	 483.21		 44.70   	  76.30		
 42.72   	144.43   	 412.00		 45.00   	  66.12		
 51.57   	146.08   	 345.88		 45.27   	  55.95		
 60.73   	147.47   	 284.84		 45.49   	  45.78		
 70.19   	148.61   	 249.24		 45.68   	  40.69		
 79.96   	149.60   	 233.98		 45.84   	  35.61		
 90.33   	150.54   	 239.06		 45.98   	  35.61		
101.01   	151.49   	 254.32		 46.12   	  30.52		
112.00   	152.51   	 284.84		 46.25   	  30.52		
123.29   	153.65   	 305.19		 46.37   	  30.52		
134.58   	154.87   	 320.45		 46.49   	  25.43		
144.96   	156.15   	 315.36		 46.59   	  30.52		
153.50   	157.42   	 295.01		 46.71   	  25.43		
159.00   	158.60   	 259.41		 46.82   	  30.52		
161.13   	159.63   	 193.29		 46.94   	  25.43		
161.13   	160.41   	 106.82		 47.04   	  25.43		
159.61   	160.83(S)	  -5.09		 47.14   	  30.52		
156.25   	160.81   	-116.99		 47.26   	  25.43		
149.84   	160.35   	-228.89		 47.37   	  25.43		
139.16   	159.43   	-315.36		 47.47   	  20.35		
124.51   	158.17   	-361.14		 47.55   	  20.35		
107.12   	156.72   	-371.31		 47.63   	  15.26		
 88.81   	155.24   	-335.71		 47.69   	  15.26		
 71.11   	153.90   	-269.58		 47.75   	  15.26		
 54.32   	152.82   	-193.29		 47.81   	   5.09		
 37.54   	152.04   	-116.99		 47.83   	  10.17		
 21.36   	151.58   	 -61.04		 47.87(S)	   0.00		
  5.49   	151.33   	 -45.78		 47.87   	   0.00		
 -9.46   	151.15   	 -55.95		 47.87   	 -10.17		
-23.50   	150.93   	 -96.64		 47.83   	  -5.09		
-36.01   	150.54   	-157.68		 47.81   	 -15.26		
-46.69   	149.91   	-213.63		 47.75   	 -15.26		
-55.85   	149.05   	-264.50		 47.69   	 -20.35		
-63.48   	148.00   	-305.19		 47.61   	 -20.35		
-70.50   	146.77   	-330.62		 47.53   	 -20.35		
-76.60   	145.45   	-350.97		 47.45   	 -25.43		
-81.48   	144.05   	-366.22		 47.34   	 -30.52		
-84.84   	142.58   	-366.22		 47.22   	 -30.52		
-87.28   	141.12   	-371.31		 47.10   	 -35.61		
-89.72   	139.63   	-371.31		 46.96   	 -45.78		
-92.47   	138.15   	-371.31		 46.77   	 -50.86		
-95.21   	136.66   	-366.22		 46.57   	 -55.95		
-97.35   	135.20   	-361.14		 46.35   	 -66.12		
-97.96   	133.75   	-361.14		 46.08   	 -81.38		
-97.35   	132.31   	-371.31		 45.76   	 -86.47		
-95.83   	130.82   	-381.48		 45.41   	-101.73		
-93.99   	129.30   	-417.09		 45.00   	-116.99		
-92.47   	127.63   	-462.87		 44.54   	-127.16		
-91.55   	125.78   	-534.08		 44.03   	-137.33		
-91.25   	123.64   	-605.29		 43.48   	-157.68		
-90.94   	121.22   	-686.67		 42.85   	-172.94		
-90.33   	118.47   	-768.05		 42.16   	-188.20		
-89.42   	115.40   	-829.09		 41.40   	-198.37		
-88.20   	112.09   	-874.87		 40.61   	-218.72		
-87.28   	108.59   	-905.39		 39.74   	-223.80		
-86.06   	104.96   	-930.82		 38.84   	-244.15		
-84.53   	101.24   	-971.51		 37.86   	-249.24		
-83.01   	 97.35   	-1022.38		 36.87   	-254.32		
-81.79   	 93.27   	-1088.50		 35.85   	-264.50		
-81.18   	 88.91   	-1169.88		 34.79   	-274.67		
-81.18   	 84.23   	-1251.27		 33.69   	-274.67		
-81.48   	 79.23   	-1327.56		 32.59   	-274.67		
-81.48   	 73.92   	-1388.60		 31.50   	-279.75		
-81.18   	 68.36   	-1434.38		 30.38   	-279.75		
-81.18   	 62.62   	-1439.47		 29.26   	-279.75		
-81.79   	 56.87   	-1408.95		 28.14   	-279.75		
-82.40   	 51.23   	-1342.82		 27.02   	-269.58		
-83.01   	 45.86   	-1236.01		 25.94   	-269.58		
-83.01   	 40.92   	-1103.76		 24.86   	-259.41		
-82.70   	 36.50   	-951.17		 23.82   	-254.32		
-82.09   	 32.70   	-793.49		 22.81   	-244.15		
-81.48   	 29.52   	-640.89		 21.83   	-233.98		
-81.18   	 26.96   	-503.56		 20.90   	-223.80		
-81.48   	 24.94   	-391.66		 20.00   	-218.72		
-82.40   	 23.38   	-310.27		 19.13   	-203.46		
-84.23   	 22.14   	-249.24		 18.31   	-193.29		
-86.06   	 21.14   	-213.63		 17.54   	-183.11		
-86.98   	 20.28   	-198.37		 16.81   	-172.94		
-86.36   	 19.49   	-193.29		 16.11   	-152.59		
-84.53   	 18.72   	-198.37		 15.50   	-147.51		
-82.70   	 17.92   	-203.46		 14.91   	-127.16		
-81.79   	 17.11   	-203.46		 14.40   	-116.99		
-82.09   	 16.30   	-193.29		 13.94   	 -96.64		
-82.40   	 15.52   	-178.03		 13.55   	 -91.56		
-82.09   	 14.81   	-152.59		 13.18   	 -71.21		
-80.57   	 14.20   	-127.16		 12.90   	 -66.12		
-78.74   	 13.69   	 -91.56		 12.63   	 -50.86		
-77.82   	 13.33   	 -55.95		 12.43   	 -40.69		
-78.13   	 13.10   	 -25.43		 12.27   	 -35.61		
-79.35   	 13.00(D)	   0.00		 12.13   	 -30.52		
-80.57   	 13.00   	  20.35		 12.00   	 -20.35		
-81.18   	 13.08   	  35.61		 11.92   	 -20.35		
-80.57   	 13.22   	  40.69		 11.84   	 -15.26		
-79.04   	 13.39   	  50.86		 11.78   	 -15.26		
-77.21   	 13.59   	  45.78		 11.72   	 -10.17		
-76.29   	 13.77   	  40.69		 11.68   	 -10.17		
-76.60   	 13.94   	  40.69		 11.64   	  -5.09		
-76.90   	 14.10   	  40.69		 11.62(D)	   0.00		
-76.60   	 14.26   	  35.61		 11.62   	   5.09		
-75.68   	 14.40   	  40.69		 11.64   	  10.17		
-73.85   	 14.57   	  45.78		 11.68   	  15.26		
-72.33   	 14.75   	  50.86		 11.74   	  20.35		
-71.41   	 14.95   	  55.95		 11.82   	  20.35		
-71.11   	 15.18   	  61.04		 11.90   	  30.52		
-71.41   	 15.42   	  66.12		 12.02   	  25.43		
-70.80   	 15.69   	  66.12		 12.13   	  30.52		
-68.66   	 15.95   	  55.95		 12.25   	  25.43		
-64.70   	 16.17   	  55.95		 12.35   	  25.43		
-58.90   	 16.40   	  45.78		 12.45   	  25.43		
-52.19   	 16.58   	  40.69		 12.55   	  25.43		
-45.47   	 16.74   	  30.52		 12.66   	  20.35		
-39.37   	 16.87   	  20.35		 12.74   	  25.43		
-35.10   	 16.95   	  20.35		 12.84   	  20.35		
-32.04   	 17.03   	  20.35		 12.92   	  15.26		
-28.69   	 17.11   	  20.35		 12.98   	  20.35		
-23.19   	 17.19   	  25.43		 13.06   	  25.43		
-13.73   	 17.29   	  30.52		 13.16   	  20.35		
 -0.61   	 17.42   	  35.61		 13.25   	  20.35		
 13.12   	 17.56   	  35.61		 13.33   	  20.35		
 23.19   	 17.70   	  40.69		 13.41   	  25.43		
 26.55   	 17.86   	  40.69		 13.51   	  20.35		
 22.89   	 18.03   	  35.61		 13.59   	  25.43		
 15.26   	 18.17   	  30.52		 13.69   	  20.35		
  7.93   	 18.29   	  25.43		 13.77   	  25.43		
  3.66   	 18.39   	  20.35		 13.88   	  20.35		
  1.83   	 18.47   	  15.26		 13.96   	  20.35		
 -1.22   	 18.54   	  10.17		 14.04   	  15.26		
 -8.85   	 18.58   	   5.09		 14.10   	  15.26		
-21.97   	 18.60   	  10.17		 14.16   	  15.26		
-39.98   	 18.64   	  15.26		 14.22   	  15.26		
-59.81   	 18.70   	  15.26		 14.28   	  10.17		
-77.82   	 18.76   	  25.43		 14.32   	  15.26		
-90.33   	 18.86   	  35.61		 14.38   	  20.35		
-96.44   	 19.00   	  35.61		 14.47   	  15.26		
-96.44   	 19.15   	  45.78		 14.53   	  20.35		
-93.69   	 19.33   	  45.78		 14.61   	  25.43		
-91.25   	 19.51   	  45.78		 14.71   	  20.35		
-90.03   	 19.69   	  40.69		 14.79   	  20.35		
-89.72   	 19.86   	  35.61		 14.87   	  20.35		
-89.11   	 20.00   	  30.52		 14.95   	  20.35		
-87.59   	 20.12   	  20.35		 15.04   	  15.26		
-85.75   	 20.20   	  15.26		 15.10   	  20.35		
-83.92   	 20.26   	  10.17		 15.18   	  15.26		
-82.40   	 20.31   	  10.17		 15.24   	  15.26		
-81.18   	 20.35   	  10.17		 15.30   	  20.35		
-79.96   	 20.39   	  25.43		 15.38   	  15.26		
-79.65   	 20.49   	  35.61		 15.44   	  20.35		
-81.79   	 20.63   	  50.86		 15.52   	  20.35		
-88.81   	 20.83   	  66.12		 15.61   	  25.43		
-103.15   	 21.10   	  86.47		 15.71   	  25.43		
-123.90   	 21.44   	 101.73		 15.81   	  20.35		
-148.01   	 21.85   	 111.90		 15.89   	  25.43		
-170.29   	 22.30   	 116.99		 15.99   	  20.35		
-181.58   	 22.77   	 111.90		 16.07   	  20.35		
-173.03   	 23.21   	 106.82		 16.15   	  25.43		
-130.92   	 23.64   	  91.56		 16.26   	  20.35		
-41.20   	 24.01   	  71.21		 16.34   	  20.35		
104.37   	 24.29   	  55.95		 16.42   	  20.35		
302.43   	 24.52   	  35.61		 16.50   	  15.26		
527.34   	 24.66   	  15.26		 16.56   	  20.35		
723.57   	 24.72   	   0.00		 16.64   	  10.17		
826.11(R)	 24.72   	  -5.09		 16.68(E)	  15.26		
794.68   	 24.70   	 -15.26		 16.74   	  15.26		
646.36   	 24.64(E)	  -5.09		 16.81   	  10.17		
455.63   	 24.62   	  15.26		 16.85   	  15.26		
311.28   	 24.68   	  40.69		 16.91   	  15.26		
259.40   	 24.84   	  86.47		 16.97   	  20.35		
276.79   	 25.19   	 142.42		 17.05   	  30.52		
300.60   	 25.76   	 213.63		 17.17   	  35.61		
279.54   	 26.61   	 305.19		 17.31   	  45.78		
205.69   	 27.83   	 406.92		 17.50   	  55.95		
105.29   	 29.46   	 523.90		 17.72   	  71.21		
 11.90   	 31.56   	 645.98		 18.01   	  86.47		
-52.80   	 34.14   	 762.97		 18.35   	 106.82		
-83.62   	 37.19   	 890.13		 18.78   	 127.16		
-85.14   	 40.75   	1002.03		 19.29   	 152.59		
-68.97   	 44.76   	1119.02		 19.90   	 178.03		
-50.66   	 49.24   	1225.83		 20.61   	 203.46		
-42.72   	 54.14   	1327.56		 21.42   	 228.89		
-47.00   	 59.45   	1419.12		 22.34   	 254.32		
-55.24   	 65.13   	1485.24		 23.36   	 269.58		
-59.51   	 71.07   	1520.85		 24.44   	 284.84		
-57.07   	 77.15   	1520.85		 25.57   	 295.01		
-51.88   	 83.23   	1480.16		 26.75   	 305.19		
-47.91   	 89.16   	1398.77		 27.98   	 305.19		
-45.78   	 94.75   	1291.96		 29.20   	 305.19		
-43.64   	 99.92   	1159.71		 30.42   	 300.10		
-40.28   	104.56   	1017.29		 31.62   	 295.01		
-36.32   	108.63   	 885.04		 32.80   	 284.84		
-31.74   	112.17   	 768.05		 33.94   	 279.75		
-27.77   	115.24   	 676.50		 35.06   	 274.67		
-23.80   	117.94   	 620.55		 36.15   	 264.50		
-19.53   	120.43   	 590.03		 37.21   	 259.41		
-14.95   	122.79   	 590.03		 38.25   	 249.24		
-10.07   	125.15   	 600.20		 39.25   	 233.98		
 -5.19   	127.55   	 615.46		 40.18   	 218.72		
 -0.61   	130.01   	 635.81		 41.06   	 198.37		
  4.58   	132.55   	 630.72		 41.85   	 172.94		
 10.07   	135.08   	 620.55		 42.54   	 142.42		
 16.78   	137.56   	 590.03		 43.11   	 122.07		
 24.41   	139.92   	 544.25		 43.60   	  91.56		
 32.35   	142.10   	 483.21		 43.97   	  71.21		
 40.89   	144.03   	 412.00		 44.25   	  50.86		
 50.05   	145.68   	 340.79		 44.46   	  40.69		
 59.51   	147.04   	 274.67		 44.62   	  30.52		
 69.58   	148.14   	 239.06		 44.74   	  25.43		
 79.65   	149.09   	 218.72		 44.84   	  25.43		
 90.03   	149.97   	 223.80		 44.94   	  25.43		
100.40   	150.86   	 249.24		 45.05   	  20.35		
111.39   	151.86   	 284.84		 45.13   	  20.35		
123.29   	153.00   	 325.53		 45.21   	  15.26		
135.50   	154.30   	 361.14		 45.27   	  15.26		
148.01   	155.75   	 376.40		 45.33   	  15.26		
159.61   	157.25   	 366.22		 45.39   	  15.26		
169.37   	158.72   	 330.62		 45.45   	  15.26		
176.09   	160.04   	 259.41		 45.51   	  15.26		
179.14   	161.08   	 178.03		 45.57   	  20.35		
177.61   	161.79   	  66.12		 45.66   	  20.35		
171.81   	162.05(S)	 -40.69		 45.74   	  25.43		
161.74   	161.89   	-147.51		 45.84   	  30.52		
148.01   	161.30   	-239.06		 45.96   	  30.52		
131.84   	160.35   	-315.36		 46.08   	  30.52		
114.14   	159.08   	-361.14		 46.21   	  25.43		
 96.13   	157.64   	-366.22		 46.31   	  25.43		
 78.43   	156.17   	-356.05		 46.41   	  25.43		
 61.65   	154.75   	-325.53		 46.51   	  20.35		
 45.17   	153.45   	-274.67		 46.59   	  10.17		
 28.69   	152.35   	-228.89		 46.63   	  10.17		
 12.51   	151.43   	-193.29		 46.67   	   5.09		
 -3.36   	150.66   	-162.77		 46.69   	   5.09		
-17.70   	150.01   	-142.42		 46.71(S)	  -5.09		
-30.82   	149.44   	-137.33		 46.69   	  -5.09		
-42.42   	148.89   	-137.33		 46.67   	 -10.17		
-52.49   	148.34   	-147.51		 46.63   	 -10.17		
-61.04   	147.75   	-178.03		 46.59   	 -15.26		
-68.05   	147.04   	-208.54		 46.53   	 -15.26		
-74.16   	146.20   	-259.41		 46.47   	 -20.35		
-79.35   	145.17   	-305.19		 46.39   	 -25.43		
-83.62   	143.95   	-340.79		 46.29   	 -25.43		
-86.98   	142.58   	-371.31		 46.18   	 -35.61		
-88.81   	141.10   	-386.57		 46.04   	 -35.61		
-89.42   	139.55   	-391.66		 45.90   	 -40.69		
-89.72   	137.99   	-381.48		 45.74   	 -50.86		
-89.72   	136.46   	-376.40		 45.53   	 -61.04		
-89.72   	134.95   	-361.14		 45.29   	 -66.12		
-89.72   	133.51   	-371.31		 45.03   	 -81.38		
-89.72   	132.02   	-386.57		 44.70   	 -86.47		
-89.42   	130.48   	-427.26		 44.35   	-106.82		
-88.50   	128.77   	-488.30		 43.93   	-116.99		
-87.89   	126.82   	-564.60		 43.46   	-137.33		
-87.28   	124.56   	-651.07		 42.91   	-152.59		
-86.36   	121.95   	-737.54		 42.30   	-167.85		
-85.45   	119.00   	-813.83		 41.63   	-183.11		
-83.92   	115.75   	-874.87		 40.90   	-203.46		
-82.40   	112.25   	-910.47		 40.08   	-218.72		
-80.57   	108.61   	-940.99		 39.21   	-228.89		
-78.74   	104.84   	-966.43		 38.29   	-244.15		
-77.51   	100.98   	-996.94		 37.31   	-259.41		
-76.90   	 96.99   	-1052.90		 36.28   	-264.50		
-77.21   	 92.78   	-1108.85		 35.22   	-269.58		
-77.51   	 88.34   	-1180.06		 34.14   	-274.67		
-77.21   	 83.62   	-1251.27		 33.04   	-274.67		
-75.68   	 78.62   	-1312.30		 31.94   	-279.75		
-73.85   	 73.37   	-1347.91		 30.82   	-274.67		
-72.02   	 67.98   	-1368.26		 29.73   	-274.67		
-71.41   	 62.50   	-1358.08		 28.63   	-274.67		
-71.41   	 57.07   	-1317.39		 27.53   	-269.58		
-72.02   	 51.80   	-1251.27		 26.45   	-269.58		
-72.63   	 46.80   	-1159.71		 25.37   	-264.50		
-72.33   	 42.16   	-1052.90		 24.31   	-259.41		
-71.72   	 37.94   	-925.73		 23.28   	-259.41		
-71.41   	 34.24   	-808.75		 22.24   	-249.24		
-72.33   	 31.01   	-681.58		 21.24   	-239.06		
-74.46   	 28.28   	-579.86		 20.28   	-233.98		
-76.60   	 25.96   	-478.13		 19.35   	-223.80		
-78.13   	 24.05   	-401.83		 18.45   	-208.54		
-78.74   	 22.44   	-340.79		 17.62   	-193.29		
-78.43   	 21.08   	-295.01		 16.85   	-178.03		
-78.43   	 19.90   	-259.41		 16.13   	-162.77		
-78.74   	 18.86   	-233.98		 15.48   	-142.42		
-79.04   	 17.92   	-218.72		 14.91   	-127.16		
-78.74   	 17.05   	-198.37		 14.40   	-106.82		
-77.82   	 16.26   	-183.11		 13.98   	 -96.64		
-76.60   	 15.52   	-167.85		 13.59   	 -76.30		
-76.29   	 14.85   	-142.42		 13.29   	 -66.12		
-76.60   	 14.28   	-127.16		 13.02   	 -55.95		
-77.21   	 13.77   	 -96.64		 12.80   	 -45.78		
-76.90   	 13.39   	 -76.30		 12.61   	 -35.61		
-75.68   	 13.08   	 -50.86		 12.47   	 -35.61		
-74.46   	 12.88   	 -25.43		 12.33   	 -25.43		
-73.85   	 12.78   	  -5.09		 12.23   	 -20.35		
-74.46   	 12.76   	  10.17		 12.15   	 -20.35		
-75.38   	 12.80   	  25.43		 12.07   	 -15.26		
-75.99   	 12.90   	  40.69		 12.00   	 -15.26		
-75.38   	 13.06   	  40.69		 11.94   	 -15.26		
-74.46   	 13.22   	  45.78		 11.88   	  -5.09		
-73.85   	 13.41   	  50.86		 11.86   	 -10.17		
-74.16   	 13.61   	  50.86		 11.82   	   0.00		
-74.16   	 13.81   	  45.78		 11.82   	  -5.09		
-74.16   	 14.00   	  45.78		 11.80   	   5.09		
-73.55   	 14.18   	  45.78		 11.82   	   5.09		
-72.63   	 14.36   	  N/A		 11.84   	  N/A		
