  I     	  LV     	  LV'		  AO     	  AO'		
-78.74   	 13.25   	  66.12		 86.61   	-172.94		
-76.29   	 13.51   	  40.69		 85.92   	-157.68		
-70.80   	 13.67   	  20.35		 85.29   	-127.16		
-63.17   	 13.75   	  20.35		 84.78   	 -96.64		
-54.93   	 13.84   	  35.61		 84.39   	 -55.95		
-48.52   	 13.98   	  61.04		 84.17   	 -20.35		
-43.64   	 14.22   	 111.90		 84.09   	  15.26		
-39.37   	 14.67   	 147.51		 84.15   	  55.95		
-34.48   	 15.26   	 188.20		 84.37   	  81.38		
-28.69   	 16.01   	 208.54		 84.70   	 101.73		
-22.58   	 16.85   	 203.46		 85.11   	 116.99		
-16.78   	 17.66   	 193.29		 85.57   	 106.82		
-11.29   	 18.43   	 147.51		 86.00   	  96.64		
 -7.32   	 19.02   	 106.82		 86.39   	  71.21		
 -4.88   	 19.45   	  50.86		 86.67   	  40.69		
 -3.66   	 19.65   	  10.17		 86.84   	  15.26		
 -2.75   	 19.69   	 -25.43		 86.90   	 -10.17		
  0.61   	 19.59   	 -50.86		 86.86   	 -30.52		
  6.41   	 19.39   	 -66.12		 86.73   	 -55.95		
 11.90   	 19.13   	 -61.04		 86.51   	 -71.21		
 12.21   	 18.88   	 -66.12		 86.23   	 -81.38		
  3.66   	 18.62   	 -61.04		 85.90   	-101.73		
-14.34   	 18.37   	 -61.04		 85.49   	-122.07		
-38.76   	 18.13   	 -55.95		 85.00   	-137.33		
-63.78   	 17.90   	 -40.69		 84.46   	-152.59		
-83.31   	 17.74   	 -30.52		 83.85   	-162.77		
-94.91   	 17.62   	 -10.17		 83.19   	-167.85		
-98.57   	 17.58   	  20.35		 82.52   	-167.85		
-97.96   	 17.66   	  40.69		 81.85   	-172.94		
-95.83   	 17.82   	  50.86		 81.16   	-167.85		
-94.30   	 18.03   	  55.95		 80.49   	-152.59		
-93.69   	 18.25   	  50.86		 79.88   	-142.42		
-93.38   	 18.45   	  25.43		 79.31   	-122.07		
-92.16   	 18.56   	  10.17		 78.82   	 -96.64		
-90.94   	 18.60   	 -20.35		 78.43   	 -71.21		
-89.11   	 18.51   	 -35.61		 78.15   	 -40.69		
-87.89   	 18.37   	 -45.78		 77.99   	 -20.35		
-86.06   	 18.19   	 -30.52		 77.90   	   5.09		
-84.23   	 18.07   	 -10.17		 77.92   	  30.52		
-81.79   	 18.03   	  30.52		 78.05   	  76.30		
-79.96   	 18.15   	  76.30		 78.35   	 152.59		
-80.57   	 18.45   	 127.16		 78.96   	 228.89		
-86.67   	 18.96   	 157.68		 79.88   	 289.93		
-100.71   	 19.59   	 178.03		 81.04   	 325.53		
-121.77   	 20.31   	 167.85		 82.34   	 340.79		
-145.57   	 20.98   	 147.51		 83.70   	 335.71		
-167.54   	 21.57   	 106.82		 85.05   	 315.36		
-182.50   	 21.99   	  81.38		 86.31   	 264.50		
-184.02   	 22.32   	  55.95		 87.36   	 208.54		
-162.66   	 22.54   	  40.69		 88.20   	 142.42		
-103.15   	 22.71   	  25.43		 88.77   	  71.21		
  8.85   	 22.81   	  15.26		 89.05   	   0.00		
178.22   	 22.87   	  -5.09		 89.05   	 -66.12		
390.63   	 22.85   	 -20.35		 88.79   	-132.25		
600.89   	 22.77   	 -35.61		 88.26   	-183.11		
741.27   	 22.62   	 -50.86		 87.53   	-218.72		
755.92(R)	 22.42   	 -50.86		 86.65   	-244.15		
637.21   	 22.22   	 -45.78		 85.68   	-249.24		
442.81   	 22.03   	 -25.43		 84.68   	-249.24		
267.03   	 21.93(E)	   5.09		 83.68   	-239.06		
183.11   	 21.95   	  50.86		 82.73   	-223.80		
194.09   	 22.16   	  96.64		 81.83   	-198.37		
243.23   	 22.54   	 152.59		 81.04   	-172.94		
262.76   	 23.15   	 213.63		 80.35   	-152.59		
221.25   	 24.01   	 274.67		 79.74   	-132.25		
133.97   	 25.11   	 345.88		 79.21   	-116.99		
 36.93   	 26.49   	 422.18		 78.74   	 -96.64		
-38.76   	 28.18   	 503.56		 78.35   	 -91.56		
-80.26   	 30.19   	 590.03		 77.99   	 -76.30		
-89.11   	 32.55   	 681.58		 77.68   	 -76.30		
-75.99   	 35.28   	 773.14		 77.38   	 -71.21		
