  I     	  II     	  FA     	  FA'		  LVp     	  LVp'		
-45.17   	-26.86   	 82.58   	 -71.21		  7.18   	 -30.52		
-43.95   	-18.92   	 82.30   	 -71.21		  7.06   	 -30.52		
-41.50   	 -9.46   	 82.01   	 -66.12		  6.94   	 -25.43		
-36.62   	 -2.14   	 81.75   	 -66.12		  6.84   	 -15.26		
-30.21   	 -0.61   	 81.48   	 -61.04		  6.78   	  -5.09		
-24.72   	 -5.80   	 81.24   	 -61.04		  6.75   	  -5.09		
-22.28   	-15.26   	 81.00   	 -55.95		  6.73(D)	  10.17		
-22.28   	-20.45   	 80.77   	 -61.04		  6.78   	  10.17		
-20.45   	-14.95   	 80.53   	 -55.95		  6.82   	  15.26		
-14.95   	  1.53   	 80.30   	 -61.04		  6.88   	  20.35		
 -6.10   	 22.89   	 80.06   	 -61.04		  6.96   	  25.43		
  1.83   	 38.15   	 79.82   	 -61.04		  7.06   	  20.35		
  5.80   	 39.67   	 79.57   	 -61.04		  7.14   	  20.35		
  6.10   	 28.38   	 79.33   	 -61.04		  7.22   	  20.35		
  5.49   	 11.90   	 79.08   	 -61.04		  7.30   	  15.26		
  6.41   	 -4.58   	 78.84   	 -61.04		  7.37   	  15.26		
  7.02   	-17.09   	 78.60   	 -61.04		  7.43   	  15.26		
  5.49   	-24.41   	 78.35   	 -55.95		  7.49   	  10.17		
  0.00   	-27.77   	 78.13   	 -61.04		  7.53   	  10.17		
 -7.93   	-27.77   	 77.88   	 -61.04		  7.57   	  10.17		
-15.26   	-28.69   	 77.64   	 -66.12		  7.61   	  10.17		
-21.06   	-35.40   	 77.38   	 -61.04		  7.65   	  20.35		
-26.86   	-51.27   	 77.13   	 -61.04		  7.73   	  20.35		
-34.18   	-71.41   	 76.89   	 -55.95		  7.81   	  30.52		
-43.03   	-87.89   	 76.66   	 -55.95		  7.93   	  30.52		
-49.74   	-94.91   	 76.44   	 -55.95		  8.06   	  40.69		
-52.80   	-93.99   	 76.22   	 -55.95		  8.22   	  50.86		
-51.88   	-90.03   	 75.99   	 -50.86		  8.42   	  50.86		
-49.44   	-89.72   	 75.79   	 -50.86		  8.63   	  55.95		
-47.61   	-95.83   	 75.58   	 -50.86		  8.85   	  61.04		
-47.61   	-104.37   	 75.38   	 -50.86		  9.09   	  55.95		
-49.74   	-111.39   	 75.18   	 -50.86		  9.32   	  61.04		
-54.02   	-114.14   	 74.97   	 -50.86		  9.56   	  61.04		
-59.51   	-111.69   	 74.77   	 -55.95		  9.81   	  61.04		
-63.17   	-104.37   	 74.55   	 -50.86		 10.05   	  66.12		
-63.78   	-95.21   	 74.34   	 -55.95		 10.32   	  61.04		
-60.42   	-86.98   	 74.12   	 -55.95		 10.56   	  61.04		
-56.46   	-83.31   	 73.90   	 -55.95		 10.80   	  66.12		
-55.85   	-84.84   	 73.67   	 -61.04		 11.07   	  61.04		
-59.20   	-89.72   	 73.43   	 -61.04		 11.31   	  66.12		
-64.70   	-95.52   	 73.18   	 -61.04		 11.58   	  61.04		
-71.11   	-100.10   	 72.94   	 -61.04		 11.82   	  61.04		
-77.82   	-102.23   	 72.70   	 -61.04		 12.07   	  55.95		
-84.23   	-96.13   	 72.45   	 -55.95		 12.29   	  55.95		
-84.53   	-72.94   	 72.23   	 -55.95		 12.51   	  55.95		
-67.75   	-24.72   	 72.00   	 -45.78		 12.74   	  50.86		
-21.67   	 46.69   	 71.82   	 -40.69		 12.94   	  50.86		
