  I     	  II     	  PW     	  PW'		
-427.55   	174.56   	 21.89   	 -81.38		
-424.19   	182.19   	 21.57   	 -76.30		
-418.70   	190.12   	 21.26   	 -61.04		
-408.94   	199.28   	 21.02   	 -40.69		
-387.88   	206.30   	 20.85   	 -15.26		
-361.94   	212.40   	 20.79   	   5.09		
-340.88   	220.64   	 20.81   	  15.26		
-340.88   	219.12   	 20.87   	  20.35		
-351.87   	222.17   	 20.96   	  15.26		
-360.72   	236.51   	 21.02   	   0.00		
-364.99   	250.55   	 21.02   	 -15.26		
-343.93   	273.13   	 20.96   	 -30.52		
-334.47   	288.39   	 20.83   	 -35.61		
-341.49   	282.59   	 20.69   	 -35.61		
-347.90   	269.47   	 20.55   	 -25.43		
-372.92   	262.76   	 20.45   	  -5.09		
-391.54   	261.84   	 20.43   	  15.26		
-402.53   	261.23   	 20.49   	  30.52		
-429.38   	243.53   	 20.61   	  50.86		
-462.34   	202.64   	 20.81   	  61.04		
-489.81   	161.74   	 21.06   	  50.86		
-515.14   	133.36   	 21.26   	  N/A		
