  I     	  II     	  PW     	  PW'		
-1113.28   	 66.53   	 23.17   	  96.64		
-1102.91   	 69.27   	 23.56   	  76.30		
-1090.70   	 74.46   	 23.87   	  45.78		
-1088.56   	 77.82   	 24.05   	  10.17		
-1085.82   	 86.36   	 24.09   	 -30.52		
-1081.85   	 94.60   	 23.97   	 -66.12		
-1071.78   	 99.18   	 23.70   	 -86.47		
-1049.19   	107.42   	 23.36   	 -96.64		
-1018.07   	115.66   	 22.97   	 -96.64		
-994.57   	117.80   	 22.58   	 -81.38		
-993.04   	119.32   	 22.26   	 -61.04		
-998.23   	126.34   	 22.01   	 -35.61		
-1004.03   	140.69   	 21.87   	 -10.17		
-1004.33   	159.00   	 21.83   	  10.17		
-980.53   	179.75   	 21.87   	  20.35		
-975.04   	192.26   	 21.95   	  35.61		
-982.06   	184.94   	 22.10   	  25.43		
-984.80   	176.39   	 22.20   	  25.43		
-1009.22   	172.42   	 22.30   	  15.26		
-1022.64   	171.20   	 22.36   	  -5.09		
-1035.46   	163.27   	 22.34   	 -10.17		
-1067.20   	136.72   	 22.30   	 -20.35		
-1101.99   	 93.38   	 22.22   	 -25.43		
-1128.85   	 53.71   	 22.12   	 -25.43		
-1150.21   	 37.23   	 22.01   	 -20.35		
-1169.43   	 32.04   	 21.93   	 -20.35		
-1170.96   	 37.84   	 21.85   	 -25.43		
-1168.82   	 36.01   	 21.75   	 -20.35		
-1168.21   	 26.25   	 21.67   	 -30.52		
-1163.64   	 25.63   	 21.55   	 -35.61		
-1161.80   	 28.69   	 21.40   	 -35.61		
-1163.02   	 33.26   	 21.26   	 -30.52		
-1164.55   	 33.26   	 21.14   	 -30.52		
-1161.80   	 32.96   	 21.02   	 -25.43		
-1161.50   	 32.96   	 20.92   	 -15.26		
-1158.14   	 34.18   	 20.85   	 -10.17		
-1159.36   	 34.79   	 20.81   	   5.09		
-1161.19   	 33.87   	 20.83   	  20.35		
-1157.53   	 33.26   	 20.92   	  45.78		
-1156.92   	 35.10   	 21.10   	  76.30		
-1154.79   	 38.15   	 21.40   	 111.90		
-1150.51   	 41.50   	 21.85   	 147.51		
-1148.38   	 40.89   	 22.44   	 188.20		
-1147.16   	 39.06   	 23.19   	 208.54		
-1146.55   	 36.62   	 24.03   	 213.63		
-1145.32   	 33.87   	 24.88   	 193.29		
-1147.77   	 32.35   	 25.66   	 162.77		
-1153.26   	 27.77   	 26.31   	 101.73		
-1167.30   	 16.48   	 26.71   	  30.52		
-1164.86   	  0.92   	 26.84   	 -40.69		
-1124.27   	-10.99   	 26.67   	 -96.64		
-1052.25   	-10.68   	 26.29   	-137.33		
-951.54   	 16.48   	 25.74   	-157.68		
-817.26   	 83.62   	 25.11   	-152.59		
-708.31   	152.28   	 24.50   	-122.07		
-594.48   	255.43   	 24.01   	 -81.38		
-480.35   	390.93   	 23.68   	 -30.52		
-427.86   	545.96   	 23.56   	  15.26		
-383.61   	712.89   	 23.62   	  50.86		
-407.41   	776.37   	 23.82   	  86.47		
-611.88   	637.82   	 24.17   	 106.82		
-889.89   	354.92   	 24.60   	 111.90		
-1178.59   	-24.11   	 25.05   	 111.90		
-1449.89(R)	-446.78   	 25.49   	 101.73		
-1549.99   	-716.25   	 25.90   	  91.56		
-1429.14   	-882.87   	 26.27   	  66.12		
-1335.75   	-976.56   	 26.53   	  40.69		
-1290.28   	-930.18   	 26.69   	  10.17		
-1241.46   	-826.11   	 26.73   	 -25.43		
-1309.20   	-711.98   	 26.63   	 -40.69		
-1400.45   	-615.23   	 26.47   	 -50.86		
-1419.37   	-555.73   	 26.27   	 -25.43		
-1455.38   	-542.60   	 26.16   	  15.26		
-1468.20   	-542.91   	 26.23   	  66.12		
-1478.27   	-545.35   	 26.49   	 106.82		
-1476.14   	-548.40   	 26.92   	 142.42		
-1488.95   	-540.77   	 27.49   	 142.42		
-1513.67   	-551.76   	 28.06   	 111.90		
-1513.06   	-537.41   	 28.50   	  55.95		
-1483.15   	-502.62   	 28.73(A)	 -20.35		
-1453.86   	-461.43   	 28.65   	-106.82		
-1403.81   	-399.48   	 28.22   	-183.11		
-1347.05   	-319.82   	 27.49   	-228.89		
-1300.96   	-245.06   	 26.57   	-254.32		
-1247.56   	-178.53   	 25.55   	-249.24		
-1206.97   	-118.41   	 24.56   	-223.80		
-1183.17   	-81.18   	 23.66   	-183.11		
-1164.86   	-58.59   	 22.93   	-137.33		
-1158.45   	-44.56   	 22.38   	 -81.38		
-1146.24   	-32.65   	 22.05   	 -20.35		
-1136.78   	-27.16   	 21.97   	  35.61		
-1130.68   	-21.67   	 22.12   	  96.64		
-1129.46   	-21.36   	 22.50   	 147.51		
-1126.10   	-22.28   	 23.09   	 193.29		
-1123.66   	-23.80   	 23.87   	 223.80		
-1121.52   	-26.55   	 24.76   	 228.89		
-1116.33   	-23.50   	 25.68   	 208.54		
-1116.03   	-25.94   	 26.51   	 172.94		
