  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
 40.59   	 -8.24   	 72.53   	 879.96		 66.77   	  -5.09		
 18.92   	-11.90   	 76.05   	 701.93		 66.75   	  -5.09		
  3.05   	 -5.19   	 78.86   	 513.73		 66.73   	  -5.09		
-15.87   	  3.66   	 80.92   	 330.62		 66.71   	  -5.09		
 -2.14   	 19.84   	 82.24   	 157.68		 66.69   	  -5.09		
 23.80   	 42.11   	 82.87   	  10.17		 66.67   	  -5.09		
 20.45   	 52.19   	 82.91   	-111.90		 66.65   	 -10.17		
 20.45   	 54.32   	 82.46   	-203.46		 66.61   	 -10.17		
 11.60   	 49.74   	 81.65   	-264.50		 66.57   	 -15.26		
 -9.16   	 48.83   	 80.59   	-279.75		 66.51   	 -15.26		
-15.87   	 53.41   	 79.47   	-279.75		 66.45   	 -20.35		
-29.60   	 55.54   	 78.35   	-249.24		 66.37   	 -25.43		
-63.78   	 39.67   	 77.35   	-208.54		 66.27   	 -30.52		
-97.66   	 13.12   	 76.52   	-157.68		 66.14   	 -35.61		
-130.92   	-12.82   	 75.89   	-116.99		 66.00   	 -35.61		
-160.83   	-28.99   	 75.42   	 -81.38		 65.86   	 -30.52		
-183.11   	-25.94   	 75.10   	 -61.04		 65.74   	 -30.52		
-194.40   	-17.70   	 74.85   	 -45.78		 65.62   	 -20.35		
-202.03   	-13.73   	 74.67   	 -55.95		 65.53   	 -10.17		
-210.88   	-15.56   	 74.45   	 -66.12		 65.49   	  -5.09		
-217.29   	-15.56   	 74.18   	 -91.56		 65.47   	  10.17		
-228.88   	 -5.80   	 73.81   	-122.07		 65.51   	  25.43		
-239.26   	  1.22   	 73.33   	-137.33		 65.62   	  40.69		
-252.38   	  7.32   	 72.78   	-157.68		 65.78   	  66.12		
-260.31   	 12.82   	 72.15   	-167.85		 66.04   	  91.56		
-269.17   	 17.70   	 71.47   	-162.77		 66.41   	 122.07		
-282.29   	 23.19   	 70.82   	-152.59		 66.90   	 162.77		
-291.14   	 31.43   	 70.21   	-137.33		 67.55   	 203.46		
-300.29   	 39.06   	 69.66   	-111.90		 68.36   	 233.98		
-308.23   	 43.33   	 69.22   	 -86.47		 69.30   	 264.50		
-315.25   	 48.83   	 68.87   	 -61.04		 70.36   	 274.67		
-321.04   	 56.15   	 68.63   	 -45.78		 71.45   	 274.67		
-326.54   	 61.95   	 68.44   	 -30.52		 72.55   	 254.32		
-332.34   	 66.83   	 68.32   	 -30.52		 73.57   	 223.80		
-333.56   	 70.50   	 68.20   	 -40.69		 74.47   	 188.20		
-333.86   	 78.13   	 68.04   	 -61.04		 75.22   	 152.59		
-332.34   	 82.09   	 67.79   	 -86.47		 75.83   	 122.07		
-328.67   	 87.28   	 67.45   	-127.16		 76.32   	  96.64		
-325.01   	 90.33   	 66.94   	-157.68		 76.70   	  81.38		
-317.69   	 91.25   	 66.31   	-188.20		 77.03   	  71.21		
-310.06   	 92.47   	 65.55   	-218.72		 77.31   	  61.04		
-298.46   	 94.91   	 64.68   	-233.98		 77.56   	  50.86		
-283.81   	 94.60   	 63.74   	-244.15		 77.76   	  45.78		
-268.25   	 91.55   	 62.77   	-249.24		 77.94   	  35.61		
-249.02   	 88.81   	 61.77   	-249.24		 78.09   	  30.52		
-227.97   	 78.74   	 60.77   	-249.24		 78.21   	  20.35		
-205.38   	 67.75   	 59.78   	-264.50		 78.29   	  10.17		
-177.00   	 61.95   	 58.72   	-295.01		 78.33   	   5.09		
-151.98   	 48.83   	 57.54   	-345.88		 78.35   	 -10.17		
-123.60   	 38.15   	 56.15   	-406.92		 78.31   	 -10.17		
-97.66   	 26.86   	 54.53   	-462.87		 78.27   	 -25.43		
-73.85   	 12.82   	 52.68   	-513.73		 78.17   	 -35.61		
-49.74   	  0.92   	 50.62   	-528.99		 78.03   	 -40.69		
-28.99   	 -8.24   	 48.50   	-528.99		 77.86   	 -55.95		
-11.29   	-17.40   	 46.39   	-518.82		 77.64   	 -61.04		
  0.00   	-27.77   	 44.31   	-488.30		 77.40   	 -71.21		
  9.16   	-37.54   	 42.36   	-452.69		 77.11   	 -71.21		
 12.51   	-48.52   	 40.55   	-412.00		 76.83   	 -76.30		
  2.44   	-63.48   	 38.90   	-366.22		 76.52   	 -71.21		
-12.82   	-74.77   	 37.44   	-320.45		 76.24   	 -81.38		
-30.52   	-86.06   	 36.15   	-295.01		 75.91   	 -81.38		
-44.86   	-90.94   	 34.97   	-259.41		 75.58   	 -91.56		
-44.25   	-85.14   	 33.94   	-244.15		 75.22   	 -96.64		
-35.40   	-83.92   	 32.96   	-233.98		 74.83   	-101.73		
 -9.16   	-85.45   	 32.02   	-223.80		 74.42   	-111.90		
 36.32   	-92.77   	 31.13   	-218.72		 73.98   	-116.99		
112.30   	-96.74   	 30.25   	-223.80		 73.51   	-127.16		
231.32   	-93.08   	 29.36   	-223.80		 73.00   	-137.33		
357.36   	-72.63   	 28.46   	-228.89		 72.45   	-147.51		
464.17   	-46.39   	 27.55   	-233.98		 71.86   	-162.77		
541.08   	-36.01   	 26.61   	-233.98		 71.21   	-167.85		
551.45   	-34.48   	 25.68   	-228.89		 70.54   	-167.85		
567.63   	-72.33   	 24.76   	-213.63		 69.87   	-178.03		
644.23   	-122.68   	 23.91   	-203.46		 69.16   	-167.85		
781.25   	-168.46   	 23.09   	-183.11		 68.48   	-162.77		
1027.53   	-210.88   	 22.36   	-152.59		 67.83   	-142.42		
1340.94   	-176.70   	 21.75   	-122.07		 67.26   	-127.16		
1662.29   	-141.60   	 21.26   	 -76.30		 66.75   	-106.82		
1889.95   	-119.93   	 20.96   	 -35.61		 66.33   	 -91.56		
1981.51(R)	-117.19   	 20.81   	  10.17		 65.96   	 -86.47		
1934.51   	-178.22   	 20.85   	  50.86		 65.62   	 -81.38		
1786.80   	-258.79   	 21.06   	  81.38		 65.29   	 -81.38		
1608.58   	-363.77   	 21.38   	 111.90		 64.96   	 -76.30		
1420.59   	-439.15   	 21.83   	 132.25		 64.66   	 -76.30		
1216.13   	-503.54   	 22.36   	 152.59		 64.35   	 -71.21		
993.65   	-546.88   	 22.97   	 167.85		 64.07   	 -71.21		
775.45   	-542.30   	 23.64   	 183.11		 63.78   	 -71.21		
625.31   	-522.16   	 24.37   	 193.29		 63.50   	 -71.21		
522.77   	-518.49   	 25.15   	 208.54		 63.21   	 -66.12		
