  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-14.95   	-122.68   	 14.43   	  55.95		 99.96   	-101.73		
-18.31   	-128.48   	 14.65   	  50.86		 99.55   	-101.73		
-21.97   	-133.67   	 14.85   	  45.78		 99.15   	-101.73		
-21.36   	-132.45   	 15.04   	  45.78		 98.74   	-106.82		
-17.40   	-125.12   	 15.22   	  35.61		 98.31   	-101.73		
-13.12   	-116.27   	 15.36   	  30.52		 97.90   	-106.82		
-10.99   	-111.08   	 15.48   	  25.43		 97.48   	-101.73		
-12.51   	-112.30   	 15.58   	  20.35		 97.07   	-106.82		
-16.48   	-118.71   	 15.67   	  10.17		 96.64   	-106.82		
-20.45   	-125.43   	 15.71   	   0.00		 96.22   	-106.82		
-21.67   	-127.26   	 15.71   	  -5.09		 95.79   	-111.90		
-19.53   	-122.99   	 15.69   	 -10.17		 95.34   	-106.82		
-14.95   	-115.36   	 15.65   	 -10.17		 94.91   	-111.90		
-11.60   	-109.86   	 15.61   	 -10.17		 94.47   	-106.82		
-11.29   	-109.56   	 15.56   	  -5.09		 94.04   	-111.90		
-13.73   	-113.22   	 15.54   	  -5.09		 93.59   	-106.82		
-16.48   	-116.27   	 15.52   	  -5.09		 93.16   	-111.90		
-16.48   	-114.75   	 15.50   	 -10.17		 92.72   	-106.82		
-14.04   	-110.78   	 15.46   	  -5.09		 92.29   	-106.82		
-12.51   	-108.95   	 15.44   	 -10.17		 91.86   	-106.82		
-12.82   	-111.69   	 15.40   	 -15.26		 91.43   	-101.73		
-14.95   	-116.27   	 15.34   	 -15.26		 91.03   	-101.73		
-16.78   	-117.19   	 15.28   	 -15.26		 90.62   	-101.73		
-20.14   	-113.53   	 15.22   	 -15.26		 90.21   	 -96.64		
-28.69   	-111.69   	 15.16   	 -20.35		 89.83   	 -91.56		
-43.95   	-119.63   	 15.08   	 -20.35		 89.46   	 -96.64		
-60.12   	-134.58   	 14.99   	 -15.26		 89.07   	 -86.47		
-62.87   	-132.45   	 14.93   	 -15.26		 88.73   	 -91.56		
-36.32   	-70.19   	 14.87   	 -15.26		 88.36   	 -86.47		
 29.91   	 96.44   	 14.81   	  -5.09		 88.02   	 -86.47		
134.28   	386.05   	 14.79   	   0.00		 87.67   	 -86.47		
264.89   	762.63   	 14.79(E)	   5.09		 87.32   	 -81.38		
