  I     	  II     	  LVp     	  LVp'		
 65.92   	 52.49   	  1.40   	  -5.09		
 72.33   	 61.34   	  1.38   	  -5.09		
 79.35   	 71.11   	  1.36   	   0.00		
 88.81   	 83.92   	  1.36   	  -5.09		
100.40   	100.40   	  1.34   	   0.00		
111.39   	118.10   	  1.34   	   5.09		
120.54   	132.75   	  1.36   	   0.00		
127.56   	143.13   	  1.36   	   5.09		
133.67   	151.98   	  1.38   	  10.17		
139.16   	161.13   	  1.42   	  10.17		
142.82   	171.81   	  1.46   	  10.17		
143.13   	181.88   	  1.51   	  10.17		
140.38   	187.68   	  1.55   	  10.17		
136.72   	187.38   	  1.59   	  15.26		
133.36   	181.58   	  1.65   	  15.26		
128.78   	172.42   	  1.71   	  10.17		
120.85   	161.13   	  1.75   	  15.26		
106.81   	148.01   	  1.81   	  10.17		
 87.89   	131.53   	  1.85   	  10.17		
 67.14   	111.08   	  1.89   	  10.17		
 46.69   	 86.67   	  1.93   	   5.09		
 27.77   	 60.73   	  1.95   	   5.09		
 10.99   	 37.23   	  1.97   	   5.09		
 -3.66   	 17.09   	  1.99   	   5.09		
-16.48   	  0.00   	  2.01   	   0.00		
-28.08   	-16.78   	  2.01   	  -5.09		
-39.67   	-34.79   	  1.99   	   0.00		
-51.88   	-53.71   	  1.99   	  -5.09		
-63.48   	-70.50   	  1.97   	  -5.09		
-72.02   	-82.40   	  1.95   	  -5.09		
-77.21   	-88.50   	  1.93   	  -5.09		
-80.57   	-90.33   	  1.91   	 -10.17		
-83.92   	-91.55   	  1.87   	  -5.09		
-87.59   	-95.52   	  1.85   	  -5.09		
-91.25   	-103.76   	  1.83   	  -5.09		
-93.69   	-113.53   	  1.81   	  -5.09		
-93.99   	-120.54   	  1.79   	  -5.09		
-92.77   	-122.38   	  1.77   	  -5.09		
-91.25   	-120.85   	  1.75   	   0.00		
-90.64   	-120.24   	  1.75   	   0.00		
-90.64   	-123.29   	  1.75   	  -5.09		
-91.86   	-128.17   	  1.73   	   0.00		
-93.69   	-130.62   	  1.73   	   0.00		
-94.60   	-128.17   	  1.73   	   0.00		
-94.30   	-121.77   	  1.73   	   0.00		
-93.08   	-115.97   	  1.73   	   0.00		
-90.94   	-114.44   	  1.73   	   0.00		
-88.50   	-116.58   	  1.73   	  -5.09		
-86.67   	-119.63   	  1.71   	   0.00		
-86.36   	-121.77   	  1.71   	   0.00		
-87.59   	-122.38   	  1.71   	   0.00		
-90.03   	-123.90   	  1.71   	   0.00		
-91.86   	-127.56   	  1.71   	   0.00		
-91.25   	-133.36   	  1.71   	   0.00		
-88.20   	-138.85   	  1.71   	   0.00		
-83.92   	-141.91   	  1.71   	  -5.09		
-80.57   	-141.91   	  1.69   	   0.00		
-79.65   	-139.77   	  1.69   	   0.00		
-80.26   	-138.24   	  1.69   	  -5.09		
-81.18   	-139.77   	  1.67   	   0.00		
-80.57   	-143.13   	  1.67   	   0.00		
-78.74   	-146.48   	  1.67   	  -5.09		
-77.82   	-146.48   	  1.65   	   0.00		
-78.74   	-142.82   	  1.65   	  -5.09		
-81.79   	-137.94   	  1.63   	   0.00		
-84.23   	-134.89   	  1.63   	   0.00		
-83.92   	-134.89   	  1.63   	  -5.09		
-79.04   	-135.19   	  1.61   	   0.00		
-69.89   	-131.23   	  1.61   	   0.00		
-58.29   	-119.93   	  1.61   	   0.00		
-48.22   	-101.93   	  1.61   	   0.00		
-40.89   	-79.65   	  1.61   	   0.00		
-37.54   	-57.98   	  1.61   	   0.00		
-35.71   	-41.81   	  1.61   	   0.00		
-33.87   	-35.10   	  1.61   	   0.00		
-30.52   	-39.37   	  1.61   	   0.00		
-24.72   	-50.05   	  1.61   	   0.00		
-16.48   	-58.29   	  1.61   	   0.00		
 -5.19   	-56.15   	  1.61   	   5.09		
  8.24   	-43.33   	  1.63   	   0.00		
 21.67   	-28.38   	  1.63   	   0.00		
 31.13   	-22.28   	  1.63   	   0.00		
 34.18   	-30.82   	  1.63   	   5.09		
 30.82   	-50.35   	  1.65   	   0.00		
 23.50   	-72.33   	  1.65   	   0.00		
 14.65   	-92.77   	  1.65   	   5.09		
  5.80   	-112.00   	  1.67   	   0.00		
 -3.05   	-130.62   	  1.67   	   0.00		
-13.43   	-147.71   	  1.67   	   5.09		
-26.25   	-159.30   	  1.69   	   0.00		
-42.11   	-164.18   	  1.69   	   0.00		
-58.90   	-164.79   	  1.69   	   5.09		
-73.55   	-165.41   	  1.71   	   0.00		
-84.84   	-168.46   	  1.71   	   0.00		
-93.99   	-172.73   	  1.71   	   0.00		
-102.54   	-175.48   	  1.71   	   5.09		
-111.69   	-177.00   	  1.73   	   0.00		
-119.32   	-178.83   	  1.73   	   0.00		
-122.99   	-182.80   	  1.73   	   5.09		
-122.38   	-188.29   	  1.75   	   5.09		
-119.93   	-192.87   	  1.77   	   5.09		
-118.10   	-194.09   	  1.79   	   5.09		
-118.10   	-193.18   	  1.81   	   5.09		
-119.63   	-192.87   	  1.83   	  -5.09		
-122.07   	-196.23   	  1.81   	  -5.09		
