  I     	  II     	  AO     	  AO'		  AO     	  AO'		
 22.28   	-201.11   	 84.84   	 -91.56		 88.48   	 -76.30		
 13.43   	-200.81   	 84.48   	 -91.56		 88.18   	 -76.30		
 10.38   	-201.72   	 84.11   	 -86.47		 87.87   	 -76.30		
  6.10   	-196.84   	 83.76   	 -81.38		 87.57   	 -71.21		
  3.97   	-191.35   	 83.44   	 -81.38		 87.28   	 -76.30		
  2.44   	-189.21   	 83.11   	 -71.21		 86.98   	 -76.30		
 -0.61   	-183.41   	 82.83   	 -61.04		 86.67   	 -76.30		
 -3.97   	-179.14   	 82.58   	 -61.04		 86.37   	 -71.21		
 -6.41   	-171.20   	 82.34   	 -55.95		 86.08   	 -76.30		
 -5.80   	-167.54   	 82.12   	 -55.95		 85.78   	 -76.30		
 -3.36   	-173.34   	 81.89   	 -50.86		 85.47   	 -71.21		
 -2.44   	-178.53   	 81.69   	 -45.78		 85.19   	 -76.30		
 -2.44   	-181.58   	 81.51   	 -50.86		 84.88   	 -71.21		
  2.75   	-181.27   	 81.30   	 -50.86		 84.60   	 -66.12		
 -1.22   	-179.75   	 81.10   	 -45.78		 84.33   	 -71.21		
 -1.53   	-174.26   	 80.92   	 -55.95		 84.05   	 -66.12		
 -3.66   	-176.39   	 80.69   	 -50.86		 83.78   	 -71.21		
 -2.75   	-169.98   	 80.49   	 -55.95		 83.50   	 -61.04		
 -5.19   	-137.33   	 80.26   	 -61.04		 83.26   	 -66.12		
  3.66   	-71.11   	 80.02   	 -61.04		 82.99   	 -61.04		
 17.09   	 21.97   	 79.78   	 -66.12		 82.75   	 -66.12		
 20.45   	175.48   	 79.51   	 -66.12		 82.48   	 -61.04		
 47.91   	345.15   	 79.25   	 -66.12		 82.24   	 -61.04		
 81.48   	533.75   	 78.98   	 -66.12		 81.99   	 -61.04		
117.19   	778.20   	 78.72   	 -66.12		 81.75   	 -61.04		
172.12   	985.72   	 78.45   	 -61.04		 81.51   	 -61.04		
241.39   	1127.01   	 78.21   	 -61.04		 81.26   	 -61.04		
304.57   	1150.51(R)	 77.97   	 -61.04		 81.02   	 -61.04		
300.60   	945.74   	 77.72   	 -61.04		 80.77   	 -61.04		
217.90   	548.40   	 77.48   	 -61.04		 80.53   	 -61.04		
132.14   	168.76   	 77.23   	 -61.04		 80.28   	 -61.04		
 48.83   	-125.73   	 76.99   	 -55.95		 80.04   	 -61.04		
 36.62   	-332.64   	 76.76   	 -61.04		 79.80   	 -61.04		
112.00   	-276.18   	 76.52   	 -55.95		 79.55   	 -61.04		
165.10   	-262.15   	 76.30   	 -61.04		 79.31   	 -61.04		
155.64   	-309.14   	 76.05   	 -50.86		 79.06   	 -61.04		
105.29   	-276.79   	 75.85   	 -50.86		 78.82   	 -55.95		
 59.51   	-315.55   	 75.65   	 -40.69		 78.60   	 -61.04		
  6.71   	-303.96   	 75.48   	 -35.61		 78.35   	 -50.86		
-24.72   	-264.28   	 75.34   	 -30.52		 78.15   	 -55.95		
-19.53   	-240.78   	 75.22   	 -25.43		 77.92   	 -50.86		
-19.53   	-241.39   	 75.12   	 -20.35		 77.72   	 -50.86		
-19.84   	-250.55   	 75.04   	 -15.26		 77.52   	 -45.78		
-15.56   	-249.02   	 74.97   	 -10.17		 77.33   	 -45.78		
-21.97   	-249.02   	 74.93   	 -10.17		 77.15   	 -45.78		
-21.97   	-244.75   	 74.89(D)	   0.00		 76.97   	 -40.69		
-26.55   	-247.19   	 74.89   	  10.17		 76.81   	 -35.61		
-25.33   	-249.33   	 74.93   	  30.52		 76.66   	 -40.69		
-14.04   	-252.38   	 75.06   	  55.95		 76.50   	 -30.52		
-20.45   	-254.82   	 75.28   	  91.56		 76.38   	 -35.61		
-21.06   	-257.26   	 75.65   	 137.33		 76.24   	 -25.43		
-18.01   	-252.69   	 76.20   	 172.94		 76.13   	 -20.35		
-18.01   	-253.60   	 76.89   	 203.46		 76.05   	 -15.26		
-16.17   	-254.82   	 77.70   	 223.80		 75.99   	  -5.09		
-21.06   	-257.57   	 78.60   	 228.89		 75.97(D)	   0.00		
-20.45   	-262.45   	 79.51   	 218.72		 75.97   	  15.26		
-24.11   	-264.28   	 80.39   	 203.46		 76.03   	  20.35		
-24.72   	-265.50   	 81.20   	 193.29		 76.11   	  40.69		
-24.41   	-268.55   	 81.97   	 193.29		 76.28   	  45.78		
-25.02   	-268.55   	 82.75   	 228.89		 76.46   	  61.04		
-26.86   	-273.44   	 83.66   	 284.84		 76.70   	  81.38		
-23.50   	-271.61   	 84.80   	 366.22		 77.03   	  96.64		
-23.19   	-268.86   	 86.27   	 452.69		 77.42   	 116.99		
-22.58   	-269.47   	 88.08   	 513.73		 77.88   	 137.33		
-21.06   	-263.98   	 90.13   	 544.25		 78.43   	 162.77		
-24.72   	-265.50   	 92.31   	 528.99		 79.08   	 178.03		
-28.69   	-262.45   	 94.42   	 478.13		 79.80   	 203.46		
-33.26   	-255.43   	 96.34   	 396.74		 80.61   	 223.80		
-30.52   	-260.62   	 97.92   	 300.10		 81.51   	 233.98		
-28.99   	-261.54   	 99.12   	 208.54		 82.44   	 254.32		
-34.48   	-263.98   	 99.96   	 127.16		 83.46   	 269.58		
-33.26   	-266.42   	100.47   	  76.30		 84.54   	 279.75		
-28.69   	-257.87   	100.77   	  61.04		 85.66   	 295.01		
-27.47   	-254.52   	101.02   	  76.30		 86.84   	 300.10		
-28.69   	-254.21   	101.32   	 127.16		 88.04   	 310.27		
-28.99   	-259.70   	101.83   	 198.37		 89.28   	 320.45		
-33.87   	-272.22   	102.62   	 269.58		 90.56   	 320.45		
-40.89   	-278.63   	103.70   	 330.62		 91.84   	 335.71		
-38.76   	-286.25   	105.03   	 381.48		 93.18   	 335.71		
-38.45   	-285.03   	106.55   	 391.66		 94.53   	 340.79		
-41.50   	-278.32   	108.12   	 386.57		 95.89   	 340.79		
-41.20   	-274.35   	109.66   	 361.14		 97.25   	 345.88		
-45.17   	-275.27   	111.11   	 320.45		 98.64   	 345.88		
-44.86   	-278.63   	112.39   	 274.67		100.02   	 345.88		
-47.00   	-286.25   	113.49   	 244.15		101.40   	 345.88		
-54.63   	-296.02   	114.47   	 213.63		102.79   	 335.71		
-54.93   	-296.63   	115.32   	 188.20		104.13   	 340.79		
-61.34   	-301.21   	116.07   	 188.20		105.49   	 330.62		
-69.58   	-305.18   	116.83   	 183.11		106.82   	 325.53		
-67.75   	-303.34   	117.56   	 198.37		108.12   	 320.45		
-75.07   	-303.96   	118.35   	 213.63		109.40   	 315.36		
-77.21   	-297.24   	119.21   	 239.06		110.66   	 305.19		
-76.29   	-290.22   	120.16   	 259.41		111.88   	 300.10		
-80.87   	-288.70   	121.20   	 269.58		113.08   	 295.01		
-77.82   	-285.34   	122.28   	 274.67		114.26   	 284.84		
-83.92   	-286.56   	123.38   	 264.50		115.40   	 274.67		
-87.28   	-287.78   	124.43   	 249.24		116.50   	 269.58		
-89.11   	-282.59   	125.43   	 223.80		117.58   	 264.50		
-93.08   	-276.18   	126.33   	 203.46		118.64   	 254.32		
-89.72   	-266.11   	127.14   	 178.03		119.65   	 244.15		
-84.53   	-252.99   	127.85   	 157.68		120.63   	 239.06		
-78.74   	-238.65   	128.48   	 147.51		121.59   	 228.89		
-75.68   	-225.22   	129.07   	 137.33		122.50   	 218.72		
-67.75   	-212.71   	129.62   	 132.25		123.38   	 208.54		
-61.04   	-198.67   	130.15   	 127.16		124.21   	 203.46		
-55.54   	-183.72   	130.66   	 132.25		125.02   	 193.29		
-44.86   	-169.37   	131.19   	 122.07		125.80   	 183.11		
-39.37   	-149.54   	131.68   	 111.90		126.53   	 178.03		
-32.35   	-130.00   	132.13   	  96.64		127.24   	 162.77		
-25.63   	-118.71   	132.51   	  76.30		127.89   	 157.68		
-18.01   	-112.00   	132.82   	  50.86		128.52   	 147.51		
 -9.16   	-105.90   	133.02   	  15.26		129.11   	 137.33		
 -8.54   	-103.76   	133.08(S)	 -25.43		129.66   	 122.07		
 -2.44   	-98.57   	132.98   	 -71.21		130.15   	 116.99		
  2.14   	-85.14   	132.70   	-106.82		130.62   	  96.64		
  2.44   	-79.65   	132.27   	-152.59		131.01   	  86.47		
  7.32   	-76.60   	131.66   	-183.11		131.35   	  71.21		
  9.16   	-72.63   	130.93   	-208.54		131.64   	  55.95		
  8.54   	-79.65   	130.09   	-228.89		131.86   	  40.69		
 11.60   	-82.70   	129.18   	-249.24		132.02   	  20.35		
 18.01   	-81.79   	128.18   	-274.67		132.11   	   5.09		
 16.78   	-81.18   	127.08   	-310.27		132.13(S)	 -20.35		
 17.09   	-79.35   	125.84   	-356.05		132.04   	 -40.69		
 13.43   	-74.77   	124.41   	-412.00		131.88   	 -61.04		
 13.73   	-76.29   	122.77   	-457.78		131.64   	 -91.56		
 13.12   	-82.40   	120.94   	-498.47		131.27   	-111.90		
 12.21   	-79.96   	118.94   	-503.56		130.82   	-142.42		
 15.87   	-81.18   	116.93   	-483.21		130.25   	-172.94		
 11.60   	-82.09   	114.99   	-432.35		129.56   	-193.29		
 16.17   	-75.07   	113.27   	-345.88		128.79   	-218.72		
 18.01   	-76.60   	111.88   	-249.24		127.91   	-239.06		
 19.23   	-79.65   	110.88   	-147.51		126.96   	-254.32		
 25.33   	-72.63   	110.29   	 -45.78		125.94   	-269.58		
 12.82   	-71.41   	110.11   	  20.35		124.86   	-274.67		
 16.78   	-69.58   	110.19   	  71.21		123.76   	-274.67		
 14.65   	-64.70   	110.48   	  76.30		122.66   	-279.75		
  8.54   	-69.89   	110.78   	  61.04		121.55   	-269.58		
 17.70   	-72.02   	111.03   	  15.26		120.47   	-264.50		
 16.17   	-74.77   	111.09   	 -30.52		119.41   	-249.24		
 12.82   	-75.38   	110.97   	 -86.47		118.41   	-244.15		
 16.17   	-72.63   	110.62   	-132.25		117.44   	-223.80		
 18.01   	-74.46   	110.09   	-162.77		116.54   	-213.63		
