  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-214.54   	 40.89   	 72.27   	 -45.78		 74.89   	 -30.52		
-220.64   	 45.78   	 72.09   	 -45.78		 74.77   	 -35.61		
-225.52   	 58.90   	 71.90   	 -45.78		 74.63   	 -30.52		
-218.20   	 76.29   	 71.72   	 -50.86		 74.51   	 -35.61		
-190.43   	101.62   	 71.52   	 -45.78		 74.36   	 -35.61		
-186.77   	112.61   	 71.33   	 -45.78		 74.22   	 -35.61		
-197.45   	104.06   	 71.15   	 -40.69		 74.08   	 -30.52		
-212.71   	 90.33   	 70.99   	 -40.69		 73.96   	 -35.61		
-241.39   	 82.09   	 70.82   	 -35.61		 73.81   	 -40.69		
-260.62   	 80.57   	 70.68   	 -35.61		 73.65   	 -35.61		
-278.63   	 75.99   	 70.54   	 -30.52		 73.51   	 -40.69		
-305.48   	 49.13   	 70.42   	 -30.52		 73.35   	 -40.69		
-333.25   	 11.29   	 70.29   	 -25.43		 73.18   	 -40.69		
-354.61   	-22.89   	 70.19   	 -30.52		 73.02   	 -40.69		
-375.37   	-44.56   	 70.07   	 -25.43		 72.86   	 -35.61		
-392.46   	-44.86   	 69.97   	 -25.43		 72.72   	 -40.69		
-400.39   	-42.72   	 69.87   	 -30.52		 72.55   	 -40.69		
-403.44   	-45.47   	 69.75   	 -25.43		 72.39   	 -35.61		
-403.75   	-51.88   	 69.64   	 -30.52		 72.25   	 -40.69		
-401.92   	-52.19   	 69.52   	 -35.61		 72.09   	 -35.61		
-404.36   	-46.39   	 69.38   	 -30.52		 71.94   	 -40.69		
-408.63   	-44.86   	 69.26   	 -35.61		 71.78   	 -35.61		
-415.65   	-47.00   	 69.11   	 -40.69		 71.64   	 -35.61		
-418.09   	-48.22   	 68.95   	 -45.78		 71.50   	 -35.61		
-419.31   	-47.91   	 68.77   	 -45.78		 71.35   	 -35.61		
-417.79   	-45.78   	 68.59   	 -45.78		 71.21   	 -35.61		
-414.43   	-44.25   	 68.40   	 -45.78		 71.07   	 -30.52		
-409.55   	-43.03   	 68.22   	 -45.78		 70.95   	 -35.61		
-406.49   	-43.33   	 68.04   	 -35.61		 70.80   	 -30.52		
-407.41   	-43.95   	 67.89   	 -35.61		 70.68   	 -35.61		
-410.46   	-43.03   	 67.75   	 -25.43		 70.54   	 -30.52		
-411.38   	-41.20   	 67.65   	 -20.35		 70.42   	 -30.52		
-411.07   	-44.25   	 67.57   	 -15.26		 70.29   	 -30.52		
-406.80   	-44.56   	 67.51   	 -15.26		 70.17   	 -30.52		
-403.44   	-42.11   	 67.45   	 -20.35		 70.05   	 -35.61		
-407.41   	-45.47   	 67.36   	 -20.35		 69.91   	 -35.61		
-413.21   	-48.83   	 67.28   	 -30.52		 69.77   	 -35.61		
-426.03   	-50.96   	 67.16   	 -35.61		 69.62   	 -35.61		
-443.73   	-63.48   	 67.02   	 -40.69		 69.48   	 -35.61		
-441.28   	-78.43   	 66.86   	 -40.69		 69.34   	 -40.69		
