  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
-28.38   	-39.67   	 63.15   	 -96.64		 53.98   	 -30.52		
-24.41   	-37.84   	 62.77   	 -96.64		 53.86   	 -40.69		
-22.28   	-34.48   	 62.38   	 -96.64		 53.69   	 -40.69		
-22.28   	-32.35   	 61.99   	 -96.64		 53.53   	 -35.61		
-23.19   	-33.57   	 61.61   	 -81.38		 53.39   	 -40.69		
-22.89   	-37.84   	 61.28   	 -76.30		 53.22   	 -40.69		
-18.62   	-40.89   	 60.98   	 -61.04		 53.06   	 -40.69		
-10.38   	-38.15   	 60.73   	 -55.95		 52.90   	 -50.86		
 -1.83   	-28.08   	 60.51   	 -40.69		 52.70   	 -40.69		
  3.36   	-16.17   	 60.35   	 -35.61		 52.53   	 -45.78		
  1.22   	-10.68   	 60.20   	 -35.61		 52.35   	 -45.78		
 -7.32   	-15.87   	 60.06   	 -30.52		 52.17   	 -45.78		
-16.78   	-25.94   	 59.94   	 -30.52		 51.98   	 -45.78		
-21.36   	-31.43   	 59.82   	 -40.69		 51.80   	 -35.61		
-19.84   	-28.08   	 59.65   	 -40.69		 51.66   	 -35.61		
-16.17   	-18.01   	 59.49   	 -40.69		 51.52   	 -30.52		
-17.40   	 -9.16   	 59.33   	 -50.86		 51.39   	 -30.52		
-28.69   	 -6.41   	 59.12   	 -50.86		 51.27   	 -30.52		
-48.52   	 -7.63   	 58.92   	 -55.95		 51.15   	 -25.43		
-67.14   	 -5.49   	 58.70   	 -50.86		 51.05   	 -35.61		
-70.80   	  4.88   	 58.49   	 -45.78		 50.91   	 -35.61		
-49.13   	 25.63   	 58.31   	 -40.69		 50.76   	 -30.52		
  1.22   	 57.37   	 58.15   	 -40.69		 50.64   	 -35.61		
 78.13   	101.32   	 57.99   	 -30.52		 50.50   	 -30.52		
181.58   	163.57   	 57.86   	 -25.43		 50.38   	 -35.61		
316.16   	255.74   	 57.76   	 -25.43		 50.23   	 -40.69		
485.23   	390.32   	 57.66   	 -20.35		 50.07   	 -40.69		
678.41   	567.63   	 57.58   	 -20.35		 49.91   	 -45.78		
856.32   	758.67   	 57.50   	 -45.78		 49.73   	 -81.38		
944.82   	941.77(R)	 57.31   	 -25.43		 49.40   	 -40.69		
794.98   	837.71   	 57.21   	 -30.52		 49.24   	 -40.69		
547.79   	619.81   	 57.09   	 -30.52		 49.07   	 -35.61		
273.13   	359.80   	 56.97   	 -35.61		 48.93   	 -35.61		
