  I     	  II     	  AO     	  AO'		  FA     	  FA'		
 63.78   	 41.81   	 76.15   	 -35.61		 77.60   	 -50.86		
 47.91   	 26.25   	 76.01   	 -30.52		 77.40   	 -61.04		
 28.69   	  6.10   	 75.89   	 -30.52		 77.15   	 -61.04		
  7.93   	-18.92   	 75.77   	 -25.43		 76.91   	 -45.78		
-12.21   	-45.47   	 75.67   	 -15.26		 76.72   	 -30.52		
-28.99   	-68.66   	 75.60   	 -10.17		 76.60   	 -35.61		
-41.81   	-85.14   	 75.56   	   5.09		 76.46   	 -30.52		
-49.74   	-95.52   	 75.58   	  10.17		 76.34   	 -25.43		
-53.10   	-101.32   	 75.63   	  10.17		 76.24   	 -25.43		
-52.80   	-105.29   	 75.67   	  10.17		 76.13   	 -15.26		
-51.57   	-108.34   	 75.71   	 -15.26		 76.07   	 -20.35		
-51.57   	-112.00   	 75.65   	 -30.52		 75.99   	 -35.61		
-54.02   	-115.97   	 75.52   	 -50.86		 75.85   	 -40.69		
-57.68   	-119.63   	 75.32   	 -71.21		 75.69   	 -35.61		
-61.04   	-122.38   	 75.04   	 -81.38		 75.54   	 -45.78		
-63.48   	-124.21   	 74.71   	-101.73		 75.36   	 -61.04		
-64.70   	-125.43   	 74.30   	-116.99		 75.12   	 -81.38		
-65.92   	-125.73   	 73.83   	-106.82		 74.79   	 -76.30		
-66.53   	-124.82   	 73.41   	-101.73		 74.49   	 -61.04		
-65.92   	-122.07   	 73.00   	 -91.56		 74.24   	 -55.95		
-63.48   	-118.71   	 72.63   	 -81.38		 74.02   	 -55.95		
-59.81   	-119.02   	 72.31   	 -71.21		 73.79   	 -55.95		
-56.46   	-130.92   	 72.02   	 -55.95		 73.57   	 -55.95		
-52.19   	-156.86   	 71.80   	 -40.69		 73.35   	 -50.86		
-38.15   	-184.02   	 71.64   	 -25.43		 73.14   	 -50.86		
  2.44   	-182.50   	 71.54   	 -15.26		 72.94   	 -40.69		
 88.81   	-117.49   	 71.47   	 -10.17		 72.78   	 -40.69		
234.38   	 32.35   	 71.43   	   5.09		 72.61   	 -40.69		
439.15   	257.57   	 71.45   	   0.00		 72.45   	 -35.61		
682.07   	521.55   	 71.45   	   0.00		 72.31   	 -40.69		
921.02   	778.50   	 71.45   	 -30.52		 72.15   	 -71.21		
1138.31   	1135.56   	 71.33   	 -35.61		 71.86   	 -30.52		
995.18   	1177.98(R)	 71.19   	 -55.95		 71.74   	 -35.61		
671.08   	1093.75   	 70.97   	 -61.04		 71.60   	 -40.69		
247.19   	882.87   	 70.72   	 -76.30		 71.43   	 -40.69		
-143.43   	587.46   	 70.42   	 -86.47		 71.27   	 -40.69		
-377.81   	289.00   	 70.07   	 -86.47		 71.11   	 -30.52		
